"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-15.solr8.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output direct_128.110.153.170_dstat_traffic_gen.csv",,,,"Date:","04 Dec 2019 18:51:45 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
04-12 18:51:45,0.417,0.042,99.530,0.011,0,616710144,65864949760,258891776,516706304,1221.670,546215.724,0.072,2.691,0,0,5.708,9.669,6.172,326.289,641.524,0,3221221376,6,8,0,0,0
04-12 18:51:46,0,0.062,99.938,0,0,616742912,65864912896,258891776,516710400,0,0,0,0,1169,894,0,0,0,70,105,0,3221221376,6,8,0,0,0
04-12 18:51:47,0,0.063,99.937,0,0,616734720,65864921088,258891776,516710400,0,0,0,0,306,334,0,0,0,50,83,0,3221221376,6,8,0,0,0
04-12 18:51:48,0.062,0.062,99.875,0,0,616734720,65864921088,258891776,516710400,0,2809856,0,510,485,400,0,0,0,302,154,0,3221221376,6,8,0,0,0
04-12 18:51:49,0,0.125,99.875,0,0,616726528,65864929280,258891776,516710400,0,172032,0,6,486,342,0,0,0,68,101,0,3221221376,6,8,0,0,0
04-12 18:51:50,0,0.125,99.875,0,0,616726528,65864929280,258891776,516710400,0,0,0,0,605,425,0,0,0,60,83,0,3221221376,6,8,0,0,0
04-12 18:51:51,0,0.062,99.938,0,0,616726528,65864929280,258891776,516710400,0,0,0,0,640,334,0,0,0,56,87,0,3221221376,6,8,0,0,0
04-12 18:51:52,0,0.063,99.937,0,0,616726528,65864929280,258891776,516710400,0,0,0,0,1627,334,0,0,0,88,131,0,3221221376,6,8,0,0,0
04-12 18:51:53,0.062,0.125,99.813,0,0,616607744,65865048064,258891776,516710400,0,0,0,0,246,334,0,0,0,73,107,0,3221221376,6,8,0,0,0
04-12 18:51:54,0,0.063,99.937,0,0,616607744,65865048064,258891776,516710400,0,0,0,0,1162,334,0,0,0,65,93,0,3221221376,6,8,0,0,0
