"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-7.solr8.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output solrj_128.110.153.166_dstat_traffic_gen.csv",,,,"Date:","05 Dec 2019 18:18:18 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
05-12 18:18:18,0.941,0.102,98.934,0.023,0,4195196928,58504237056,347475968,4154167296,1133.254,1284927.353,0.067,4.920,0,0,25.610,28.725,31.083,817.512,1333.058,0,3221221376,8,18,0,1,0
05-12 18:18:19,0,0.063,99.937,0,0,4195274752,58504155136,347475968,4154171392,0,1515520,0,300,939,1036,0,0,0,240,192,0,3221221376,8,18,0,1,0
05-12 18:18:20,0.125,0.062,99.813,0,0,4195250176,58504179712,347475968,4154171392,0,0,0,0,1984,811,0,1,1,121,215,0,3221221376,8,18,0,1,0
05-12 18:18:21,0,0.125,99.875,0,0,4195233792,58504196096,347475968,4154171392,0,0,0,0,845,470,0,0,0,110,184,0,3221221376,8,18,0,0,0
05-12 18:18:22,0,0.125,99.875,0,0,4193533952,58505895936,347475968,4154171392,0,0,0,0,899,815,0,0,0,163,300,0,3221221376,8,17,0,0,0
05-12 18:18:23,0.062,0.062,99.875,0,0,4193533952,58505895936,347475968,4154171392,0,0,0,0,1225,454,0,0,0,103,168,0,3221221376,8,17,0,0,0
05-12 18:18:24,0,0.063,99.875,0.063,0,4193533952,58505895936,347475968,4154171392,0,794624,0,164,1342,394,0,0,0,178,175,0,3221221376,8,17,0,0,0
05-12 18:18:25,0.062,0.125,99.813,0,0,4193525760,58505904128,347475968,4154171392,0,0,0,0,1367,642,0,0,0,146,227,0,3221221376,8,17,0,0,0
05-12 18:18:26,0,0.063,99.937,0,0,4193525760,58505904128,347475968,4154171392,0,0,0,0,1292,804,0,2,0,134,189,0,3221221376,8,17,0,0,0
05-12 18:18:27,0.062,0.062,99.875,0,0,4193525760,58505904128,347475968,4154171392,0,0,0,0,725,394,0,0,0,92,145,0,3221221376,8,17,0,0,0
05-12 18:18:28,0,0.125,99.875,0,0,4193525760,58505904128,347475968,4154171392,0,0,0,0,426,394,0,0,0,90,151,0,3221221376,8,17,0,0,0
05-12 18:18:29,0.062,0.062,99.875,0,0,4193525760,58505904128,347475968,4154171392,0,0,0,0,1240,574,0,0,0,120,187,0,3221221376,8,17,0,0,0
05-12 18:18:30,0,0.063,99.875,0.063,0,4193525760,58505904128,347475968,4154171392,0,32768,0,4,606,514,0,0,0,115,184,0,3221221376,8,17,0,0,0
05-12 18:18:31,10.821,0.746,88.433,0,0,4232732672,58466689024,347475968,4154179584,0,0,0,0,176677,197608,61,11,9,1834,12023,0,3221221376,8,39,0,0,0
