"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-5.solr8-3.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output node5_128.110.153.131_direct::rf4_s1_cluster2_dstat.csv",,,,"Date:","11 Dec 2019 18:00:46 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
11-12 18:00:46,1.896,0.241,97.845,0.017,0,591745024,63578624000,293810176,2697076736,3402.703,1297310.149,0.263,7.040,0,0,90.986,76.953,93.422,1789.737,2268.016,0,3221221376,6,9,0,1,0
11-12 18:00:47,0.062,0.187,99.750,0,0,591507456,63578857472,293810176,2697080832,0,0,0,0,311,1268,0,0,0,95,139,0,3221221376,6,9,0,1,0
11-12 18:00:48,0.062,0.125,99.812,0,0,591507456,63578857472,293810176,2697080832,0,0,0,0,826,668,0,0,0,81,121,0,3221221376,6,9,0,1,0
11-12 18:00:49,0.062,0.125,99.812,0,0,591507456,63578857472,293810176,2697080832,0,0,0,0,895,668,0,0,0,82,118,0,3221221376,6,9,0,1,0
11-12 18:00:50,0.062,0.188,99.750,0,0,591507456,63578857472,293810176,2697080832,0,122880,0,6,921,668,0,0,0,104,153,0,3221221376,6,9,0,1,0
11-12 18:00:51,0,0.188,99.812,0,0,591507456,63578857472,293810176,2697080832,0,0,0,0,491,700,0,0,0,68,100,0,3221221376,6,9,0,1,0
11-12 18:00:52,0.063,0.125,99.812,0,0,591380480,63578984448,293810176,2697080832,0,0,0,0,312,668,0,0,0,85,127,0,3221221376,6,9,0,1,0
11-12 18:00:53,0.063,0.125,99.812,0,0,591380480,63578984448,293810176,2697080832,0,16384,0,2,671,668,0,0,0,82,109,0,3221221376,6,9,0,1,0
11-12 18:00:54,0.062,0.125,99.812,0,0,591372288,63578992640,293810176,2697080832,0,0,0,0,192,700,0,0,0,83,131,0,3221221376,6,9,0,1,0
11-12 18:00:55,0,0.188,99.812,0,0,591372288,63578992640,293810176,2697080832,0,0,0,0,251,668,0,0,0,63,102,0,3221221376,6,9,0,1,0
11-12 18:00:56,0.125,0.125,99.688,0.062,0,591372288,63578992640,293810176,2697080832,0,24576,0,4,714,684,0,0,0,81,111,0,3221221376,6,9,0,1,0
11-12 18:00:57,0.062,0.188,99.750,0,0,591372288,63578992640,293810176,2697080832,0,0,0,0,551,684,0,0,0,98,135,0,3221221376,6,9,0,1,0
11-12 18:00:58,0,0.125,99.875,0,0,591372288,63578992640,293810176,2697080832,0,0,0,0,646,668,0,0,0,95,139,0,3221221376,6,9,0,1,0
11-12 18:00:59,0.062,0.125,99.812,0,0,591368192,63578992640,293810176,2697084928,0,0,0,0,825,668,0,0,0,73,107,0,3221221376,6,9,0,1,0
11-12 18:01:00,0.062,0.125,99.812,0,0,591368192,63578992640,293810176,2697084928,0,0,0,0,492,668,0,0,0,66,95,0,3221221376,6,9,0,1,0
11-12 18:01:01,0.063,0.125,99.812,0,0,591368192,63578992640,293810176,2697084928,0,57344,0,6,491,668,0,0,0,73,112,0,3221221376,6,9,0,1,0
11-12 18:01:02,0.063,0.125,99.812,0,0,591368192,63578992640,293810176,2697084928,0,0,0,0,766,700,0,0,0,107,153,0,3221221376,6,9,0,1,0
11-12 18:01:03,0.062,0.187,99.750,0,0,591368192,63578992640,293810176,2697084928,0,0,0,0,911,668,0,0,0,80,107,0,3221221376,6,9,0,1,0
11-12 18:01:04,0.062,0.125,99.812,0,0,591368192,63578992640,293810176,2697084928,0,0,0,0,486,1002,0,0,0,71,105,0,3221221376,6,9,0,1,0
11-12 18:01:05,0,0.188,99.812,0,0,591368192,63578992640,293810176,2697084928,0,0,0,0,911,668,0,0,0,75,100,0,3221221376,6,9,0,1,0
11-12 18:01:06,0.062,0.125,99.812,0,0,591368192,63578992640,293810176,2697084928,0,0,0,0,552,668,0,0,0,84,129,0,3221221376,6,9,0,1,0
11-12 18:01:07,0.063,0.125,99.812,0,0,591376384,63578984448,293810176,2697084928,0,24576,0,4,431,684,0,0,0,99,138,0,3221221376,6,9,0,1,0
11-12 18:01:08,0,0.125,99.875,0,0,591368192,63578992640,293810176,2697084928,0,0,0,0,192,684,0,0,0,62,99,0,3221221376,6,9,0,1,0
11-12 18:01:09,0.062,0.188,99.750,0,0,591368192,63578992640,293810176,2697084928,0,0,0,0,627,800,0,0,0,80,109,0,3221221376,6,9,0,1,0
11-12 18:01:10,0.062,0.187,99.750,0,0,591368192,63578992640,293810176,2697084928,0,0,0,0,972,728,0,0,0,93,126,0,3221221376,6,9,0,1,0
