"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-22.solr8-3.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output node22_128.110.153.136_solrj::rf16_s2_cluster8_dstat.csv",,,,"Date:","12 Dec 2019 02:52:13 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
12-12 02:52:13,0.859,0.216,98.921,0.004,0,675594240,63219470336,264069120,3022057472,3074.919,402290.726,0.237,6.204,0,0,19.131,24.264,18.394,499.287,4906.470,0,3221221376,10,10,0,1,0
12-12 02:52:14,0.125,0.187,99.688,0,0,674324480,63220756480,264069120,3022041088,0,0,0,0,1649,2157,0,0,0,277,373,0,3221221376,10,9,0,1,0
12-12 02:52:15,1.063,0.375,98.499,0.063,0,680218624,63214862336,264073216,3022045184,0,204800,0,8,4351,3555,0,0,0,562,563,0,3221221376,10,10,0,1,0
12-12 02:52:16,0.938,0.312,98.750,0,0,675123200,63220207616,264073216,3021787136,0,0,0,0,1879,2523,0,2,0,633,567,0,3221221376,10,9,0,1,0
12-12 02:52:17,0,0.063,99.937,0,0,675033088,63220297728,264073216,3021787136,0,0,0,0,606,358,0,0,0,117,186,0,3221221376,10,9,0,1,0
12-12 02:52:18,0,0.125,99.875,0,0,675033088,63220297728,264073216,3021787136,0,1474560,0,332,887,334,0,0,0,230,154,0,3221221376,10,9,0,1,0
12-12 02:52:19,0,0.062,99.938,0,0,675033088,63220297728,264073216,3021787136,0,0,0,0,358,580,0,2,0,106,207,0,3221221376,10,9,0,1,0
12-12 02:52:20,0,0.063,99.937,0,0,675033088,63220297728,264073216,3021787136,0,0,0,0,305,342,0,0,0,83,152,0,3221221376,10,9,0,1,0
12-12 02:52:21,0,0.125,99.875,0,0,675024896,63220305920,264073216,3021787136,0,196608,0,4,426,334,0,0,0,87,145,0,3221221376,10,9,0,1,0
12-12 02:52:22,0.062,0.062,99.875,0,0,675024896,63220305920,264073216,3021787136,0,0,0,0,717,580,0,2,0,93,173,0,3221221376,10,9,0,1,0
12-12 02:52:23,0.062,0.125,99.813,0,0,675024896,63220305920,264073216,3021787136,0,0,0,0,580,342,0,0,0,106,187,0,3221221376,10,9,0,1,0
12-12 02:52:24,0,0.063,99.937,0,0,675024896,63220305920,264073216,3021787136,0,0,0,0,305,400,0,0,0,85,149,0,3221221376,10,9,0,1,0
12-12 02:52:25,0,0.125,99.875,0,0,675024896,63220305920,264073216,3021787136,0,0,0,0,486,334,0,0,0,94,152,0,3221221376,10,9,0,1,0
12-12 02:52:26,0.062,0.062,99.875,0,0,675024896,63220305920,264073216,3021787136,0,0,0,0,537,564,0,2,0,94,189,0,3221221376,10,9,0,1,0
12-12 02:52:27,0,0.125,99.812,0.062,0,675024896,63220305920,264073216,3021787136,0,24576,0,4,426,342,0,0,0,112,185,0,3221221376,10,9,0,1,0
12-12 02:52:28,0,0.125,99.875,0,0,675024896,63220305920,264073216,3021787136,0,0,0,0,699,350,0,0,0,90,148,0,3221221376,10,9,0,1,0
12-12 02:52:29,0,0.063,99.937,0,0,675024896,63220305920,264073216,3021787136,0,0,0,0,598,564,0,2,0,96,182,0,3221221376,10,9,0,1,0
12-12 02:52:30,0.062,0.062,99.875,0,0,675024896,63220305920,264073216,3021787136,0,0,0,0,759,342,0,0,0,89,147,0,3221221376,10,9,0,1,0
12-12 02:52:31,0,0.125,99.875,0,0,675024896,63220305920,264073216,3021787136,0,0,0,0,306,334,0,0,0,98,175,0,3221221376,10,9,0,1,0
12-12 02:52:32,0.063,0.063,99.875,0,0,675024896,63220305920,264073216,3021787136,0,0,0,0,764,787,0,2,0,88,171,0,3221221376,10,9,0,1,0
12-12 02:52:33,0,0.063,99.937,0,0,675024896,63220305920,264073216,3021787136,0,24576,0,4,426,342,0,0,0,93,155,0,3221221376,10,9,0,1,0
12-12 02:52:34,0.188,0.062,99.750,0,0,675835904,63219494912,264073216,3021787136,0,0,0,0,1875,2229,0,0,0,199,179,0,3221221376,10,10,0,1,0
12-12 02:52:35,0,0.125,99.875,0,0,675835904,63219494912,264073216,3021787136,0,0,0,0,704,596,0,0,0,120,191,0,3221221376,10,10,0,1,0
12-12 02:52:36,0.125,0.125,99.750,0,0,674652160,63220678656,264073216,3021787136,0,0,0,0,967,1204,0,2,0,205,280,0,3221221376,10,9,0,1,0
12-12 02:52:37,0.062,0.062,99.875,0,0,674652160,63220678656,264073216,3021787136,0,0,0,0,648,342,0,0,0,90,154,0,3221221376,10,9,0,1,0
12-12 02:52:38,0,0.063,99.937,0,0,674648064,63220678656,264073216,3021791232,0,0,0,0,1154,334,0,0,0,97,155,0,3221221376,10,9,0,1,0
12-12 02:52:39,0,0.063,99.937,0,0,674639872,63220686848,264073216,3021791232,0,81920,0,6,658,564,0,2,0,119,251,0,3221221376,10,9,0,1,0
12-12 02:52:40,0.062,0.125,99.813,0,0,674639872,63220686848,264073216,3021791232,0,0,0,0,759,358,0,0,0,92,158,0,3221221376,10,9,0,1,0
12-12 02:52:41,0,0.063,99.937,0,0,674639872,63220686848,264073216,3021791232,0,0,0,0,306,334,0,0,0,81,143,0,3221221376,10,9,0,1,0
12-12 02:52:42,0.062,0.062,99.875,0,0,674639872,63220686848,264073216,3021791232,0,0,0,0,889,334,0,0,0,92,151,0,3221221376,10,9,0,1,0
12-12 02:52:43,0,0.125,99.875,0,0,674639872,63220686848,264073216,3021791232,0,0,0,0,958,564,0,2,0,117,221,0,3221221376,10,9,0,1,0
12-12 02:52:44,0.062,0.125,99.813,0,0,674639872,63220686848,264073216,3021791232,0,0,0,0,759,342,0,0,0,93,154,0,3221221376,10,9,0,1,0
12-12 02:52:45,0,0.062,99.875,0.062,0,674639872,63220686848,264073216,3021791232,0,24576,0,4,306,334,0,0,0,102,161,0,3221221376,10,9,0,1,0
12-12 02:52:46,0.062,0.062,99.875,0,0,674639872,63220686848,264073216,3021791232,0,0,0,0,939,580,0,2,0,95,178,0,3221221376,10,9,0,1,0
12-12 02:52:47,0,0.125,99.875,0,0,674639872,63220686848,264073216,3021791232,0,0,0,0,546,342,0,0,0,103,179,0,3221221376,10,9,0,1,0
12-12 02:52:48,0.062,0.062,99.875,0,0,674639872,63220686848,264073216,3021791232,0,0,0,0,605,334,0,0,0,89,145,0,3221221376,10,9,0,1,0
12-12 02:52:49,0,0.063,99.937,0,0,674639872,63220686848,264073216,3021791232,0,49152,0,6,418,564,0,2,0,94,202,0,3221221376,10,9,0,1,0
12-12 02:52:50,0,0.125,99.875,0,0,674639872,63220686848,264073216,3021791232,0,0,0,0,605,358,0,0,0,91,155,0,3221221376,10,9,0,1,0
12-12 02:52:51,0.063,0.063,99.875,0,0,674639872,63220686848,264073216,3021791232,0,32768,0,4,306,334,0,0,0,109,189,0,3221221376,10,9,0,1,0
12-12 02:52:52,0,0.125,99.875,0,0,675282944,63220043776,264073216,3021791232,0,0,0,0,2066,1817,0,0,0,180,168,0,3221221376,10,10,0,1,0
