"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-38.solr8-3.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output node38_128.110.153.170_direct::rf8_s2_cluster4_dstat.csv",,,,"Date:","11 Dec 2019 22:31:37 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
11-12 22:31:37,0.299,0.108,99.591,0.003,0,998375424,64268185600,232140800,1765842944,3203.057,240764.261,0.248,4.380,0,0,5.721,5.613,5.418,210.053,1959.659,0,3221221376,10,10,0,0,0
11-12 22:31:38,1.688,0.500,97.812,0,0,1000706048,64265834496,232140800,1765855232,0,0,0,0,5342,5105,0,0,0,933,743,0,3221221376,10,11,0,0,0
11-12 22:31:39,0.187,0.250,99.563,0,0,997879808,64268926976,232140800,1765584896,0,0,0,0,2651,2117,0,0,0,463,421,0,3221221376,10,9,0,0,0
11-12 22:31:40,0,0.125,99.875,0,0,997879808,64268926976,232140800,1765584896,0,0,0,0,984,334,0,0,0,100,162,0,3221221376,10,9,0,0,0
11-12 22:31:41,0,0.125,99.875,0,0,997863424,64268943360,232140800,1765584896,0,0,0,0,982,334,0,0,0,109,201,0,3221221376,10,9,0,0,0
11-12 22:31:42,0,0.063,99.875,0.063,0,997847040,64268959744,232140800,1765584896,0,2433024,0,480,365,334,0,0,0,349,198,0,3221221376,10,9,0,0,0
11-12 22:31:43,0,0.125,99.875,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,838,572,0,0,0,102,155,0,3221221376,10,9,0,0,0
11-12 22:31:44,0.063,0.063,99.875,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,767,334,0,0,0,103,164,0,3221221376,10,9,0,0,0
11-12 22:31:45,0.062,0.125,99.813,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,426,334,0,0,0,125,166,0,3221221376,10,9,0,0,0
11-12 22:31:46,0,0.125,99.875,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,717,564,0,0,0,120,219,0,3221221376,10,9,0,0,0
11-12 22:31:47,0,0.063,99.937,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,246,334,0,0,0,82,143,0,3221221376,10,9,0,0,0
11-12 22:31:48,0.062,0.062,99.875,0,0,997847040,64268959744,232140800,1765584896,0,32768,0,4,425,334,0,0,0,93,161,0,3221221376,10,9,0,0,0
11-12 22:31:49,0,0.125,99.875,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,306,342,0,0,0,83,141,0,3221221376,10,9,0,0,0
11-12 22:31:50,0.062,0.125,99.813,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,717,564,0,0,0,109,180,0,3221221376,10,9,0,0,0
11-12 22:31:51,0,0.063,99.937,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,486,334,0,0,0,100,181,0,3221221376,10,9,0,0,0
11-12 22:31:52,0,0.125,99.875,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,699,334,0,0,0,91,154,0,3221221376,10,9,0,0,0
11-12 22:31:53,0.062,0.125,99.813,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,418,564,0,0,0,87,147,0,3221221376,10,9,0,0,0
11-12 22:31:54,0.062,0.125,99.812,0,0,997847040,64268959744,232140800,1765584896,0,24576,0,4,425,394,0,0,0,123,185,0,3221221376,10,9,0,0,0
11-12 22:31:55,0,0.125,99.875,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,306,342,0,0,0,104,143,0,3221221376,10,9,0,0,0
11-12 22:31:56,0,0.063,99.937,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,1119,564,0,0,0,110,183,0,3221221376,10,9,0,0,0
11-12 22:31:57,0,0.125,99.875,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,246,334,0,0,0,84,145,0,3221221376,10,9,0,0,0
11-12 22:31:58,0.062,0.125,99.813,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,699,334,0,0,0,107,181,0,3221221376,10,9,0,0,0
11-12 22:31:59,0.062,0.062,99.875,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,426,334,0,0,0,87,143,0,3221221376,10,9,0,0,0
11-12 22:32:00,0,0.125,99.812,0.062,0,997847040,64268959744,232140800,1765584896,0,24576,0,4,999,564,0,0,0,107,164,0,3221221376,10,9,0,0,0
11-12 22:32:01,0,0.125,99.875,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,306,342,0,0,0,96,183,0,3221221376,10,9,0,0,0
11-12 22:32:02,0,0.125,99.875,0,0,997847040,64268959744,232140800,1765584896,0,0,0,0,1334,334,0,0,0,114,181,0,3221221376,10,9,0,0,0
11-12 22:32:03,0.062,0.062,99.875,0,0,997842944,64268959744,232140800,1765588992,0,0,0,0,658,564,0,0,0,94,149,0,3221221376,10,9,0,0,0
11-12 22:32:04,0,0.125,99.875,0,0,997842944,64268959744,232140800,1765588992,0,0,0,0,305,334,0,0,0,86,155,0,3221221376,10,9,0,0,0
11-12 22:32:05,0,0.125,99.875,0,0,997842944,64268959744,232140800,1765588992,0,0,0,0,820,334,0,0,0,93,148,0,3221221376,10,9,0,0,0
11-12 22:32:06,0.125,0.125,99.750,0,0,997842944,64268959744,232140800,1765588992,0,49152,0,6,549,898,0,0,0,138,243,0,3221221376,10,9,0,0,0
