"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-37.solr8-3.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output node37_128.110.153.198_solrj::rf4_s1_cluster2_dstat.csv",,,,"Date:","11 Dec 2019 20:09:47 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
11-12 20:09:47,0.513,0.140,99.345,0.003,0,668921856,64571764736,234344448,1787756544,3294.665,316593.759,0.255,6.187,0,0,9.985,9.740,10.021,301.282,3319.694,0,3221221376,10,11,0,0,0
11-12 20:09:48,1.001,0.313,98.687,0,0,673570816,64567107584,234344448,1787752448,0,0,0,0,6090,5370,0,0,0,796,773,0,3221221376,10,11,0,0,0
11-12 20:09:49,0.563,0.375,99.062,0,0,668549120,64572862464,234344448,1787011072,0,0,0,0,1700,2507,2,0,0,537,575,0,3221221376,10,10,0,0,0
11-12 20:09:50,0.062,0.062,99.875,0,0,668540928,64572870656,234344448,1787011072,0,0,0,0,425,350,0,0,0,91,154,0,3221221376,10,10,0,0,0
11-12 20:09:51,0,0.063,99.937,0,0,668540928,64572870656,234344448,1787011072,0,0,0,0,1102,334,0,0,0,100,167,0,3221221376,10,10,0,0,0
11-12 20:09:52,0,0.125,99.875,0,0,668540928,64572870656,234344448,1787011072,0,0,0,0,365,334,0,0,0,99,179,0,3221221376,10,10,0,0,0
11-12 20:09:53,0.125,0.125,99.688,0.062,0,668536832,64572870656,234348544,1787011072,0,229376,0,8,598,564,2,0,0,109,194,0,3221221376,10,10,0,0,0
11-12 20:09:54,0,0.063,99.937,0,0,668536832,64572870656,234348544,1787011072,0,0,0,0,425,350,0,0,0,85,150,0,3221221376,10,10,0,0,0
11-12 20:09:55,0,0.125,99.875,0,0,668536832,64572870656,234348544,1787011072,0,0,0,0,306,334,0,0,0,84,146,0,3221221376,10,10,0,0,0
11-12 20:09:56,0.062,0.062,99.875,0,0,668536832,64572870656,234348544,1787011072,0,0,0,0,657,564,2,0,0,106,231,0,3221221376,10,10,0,0,0
11-12 20:09:57,0,0.125,99.875,0,0,668536832,64572870656,234348544,1787011072,0,0,0,0,528,334,0,0,0,83,137,0,3221221376,10,10,0,0,0
11-12 20:09:58,0,0.062,99.938,0,0,668536832,64572870656,234348544,1787011072,0,1466368,0,320,425,334,0,0,0,250,145,0,3221221376,10,10,0,0,0
11-12 20:09:59,0.063,0.063,99.875,0,0,668528640,64572870656,234356736,1787011072,0,32768,0,4,358,572,2,0,0,103,213,0,3221221376,10,10,0,0,0
11-12 20:10:00,0,0.125,99.875,0,0,668528640,64572870656,234356736,1787011072,0,0,0,0,365,350,0,0,0,104,189,0,3221221376,10,10,0,0,0
11-12 20:10:01,0,0.063,99.937,0,0,668528640,64572870656,234356736,1787011072,0,0,0,0,803,334,0,0,0,93,156,0,3221221376,10,10,0,0,0
11-12 20:10:02,0,0.250,99.750,0,0,668598272,64572796928,234360832,1787011072,0,81920,0,8,485,334,0,0,0,191,250,0,3221221376,10,10,0,0,0
11-12 20:10:03,0.062,0.062,99.875,0,0,668573696,64572821504,234360832,1787011072,0,0,0,0,478,572,2,0,0,88,176,0,3221221376,10,10,0,0,0
11-12 20:10:04,0,0.063,99.937,0,0,668573696,64572821504,234360832,1787011072,0,0,0,0,425,334,0,0,0,98,173,0,3221221376,10,10,0,0,0
11-12 20:10:05,0.062,0.062,99.875,0,0,668573696,64572821504,234360832,1787011072,0,0,0,0,1068,334,0,0,0,98,152,0,3221221376,10,10,0,0,0
11-12 20:10:06,0,0.125,99.875,0,0,668573696,64572821504,234360832,1787011072,0,0,0,0,897,624,2,0,0,96,175,0,3221221376,10,10,0,0,0
11-12 20:10:07,0,0.062,99.875,0.062,0,668573696,64572821504,234360832,1787011072,0,98304,0,4,588,334,0,0,0,96,164,0,3221221376,10,10,0,0,0
11-12 20:10:08,0.062,0.062,99.875,0,0,668573696,64572821504,234360832,1787011072,0,573440,0,124,879,342,0,0,0,174,186,0,3221221376,10,10,0,0,0
11-12 20:10:09,0.062,0.062,99.875,0,0,668573696,64572821504,234360832,1787011072,0,0,0,0,418,572,2,0,0,93,197,0,3221221376,10,10,0,0,0
11-12 20:10:10,0,0.125,99.875,0,0,668573696,64572821504,234360832,1787011072,0,0,0,0,545,334,0,0,0,95,163,0,3221221376,10,10,0,0,0
