"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.solr8-3.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output node0_128.110.153.169_direct::rf4_s1_cluster2_dstat.csv",,,,"Date:","16 Dec 2019 11:09:44 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
16-12 11:09:44,2.466,0.274,97.244,0.016,0,35103965184,23690899456,344457216,7872921600,1434.840,1664547.213,0.110,7.269,0,0,113.678,111.550,102.363,2310.881,2957.680,0,3221221376,12,28,0,545,0
16-12 11:09:45,0,0.250,99.750,0,0,35103555584,23691304960,344457216,7872929792,0,0,0,0,7851,7737,8,3,18,354,395,0,3221221376,12,28,0,537,0
16-12 11:09:46,0.063,0.125,99.812,0,0,35103543296,23691313152,344457216,7872933888,0,0,0,0,7013,6134,10,10,6,282,340,0,3221221376,12,28,0,547,0
16-12 11:09:47,0.375,0.187,99.438,0,0,35103543296,23691313152,344457216,7872933888,0,0,0,0,8228,6526,11,0,8,337,393,0,3221221376,12,28,0,540,0
16-12 11:09:48,0.063,0.125,99.812,0,0,35103539200,23691313152,344457216,7872937984,0,0,0,0,4958,4611,8,0,8,231,318,0,3221221376,12,28,0,547,0
16-12 11:09:49,0.063,0.250,99.687,0,0,35103539200,23691313152,344457216,7872937984,0,212992,0,8,9562,8331,3,5,9,415,563,0,3221221376,12,28,0,537,0
16-12 11:09:50,0.063,0.188,99.750,0,0,35103535104,23691313152,344457216,7872942080,0,0,0,0,5172,4571,9,1,9,241,323,0,3221221376,12,28,0,544,0
16-12 11:09:51,0.063,0.125,99.812,0,0,35103789056,23691059200,344457216,7872942080,0,0,0,0,5865,5340,10,4,4,302,354,0,3221221376,12,28,0,534,0
16-12 11:09:52,0.125,0.188,99.688,0,0,35103657984,23691186176,344457216,7872946176,0,0,0,0,9220,8120,8,3,13,351,397,0,3221221376,12,28,0,545,0
16-12 11:09:53,0,0.188,99.812,0,0,35103657984,23691186176,344457216,7872946176,0,0,0,0,4119,3561,2,5,8,260,328,0,3221221376,12,28,0,532,0
16-12 11:09:54,0.063,0.188,99.750,0,0,35103649792,23691186176,344461312,7872950272,0,1277952,0,272,8168,7516,10,6,7,494,407,0,3221221376,12,28,0,543,0
16-12 11:09:55,0.125,0.187,99.688,0,0,35103649792,23691186176,344461312,7872950272,0,0,0,0,7003,6338,16,0,16,316,368,0,3221221376,12,28,0,534,0
