"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-33.solr8-3.uic-cs-edu-pg0.utah.cloudlab.us",,,,"User:","dporte7"
"Cmdline:","dstat -t --cpu --mem --disk --io --net --int --sys --swap --tcp --output node33_128.110.153.225_direct::rf8_s1_cluster4_dstat.csv",,,,"Date:","19 Dec 2019 15:11:58 MST"
"system","total cpu usage",,,,,"memory usage",,,,"dsk/total",,"io/total",,"net/total",,"interrupts",,,"system",,"swap",,"tcp sockets",,,,
"time","usr","sys","idl","wai","stl","used","free","buff","cach","read","writ","read","writ","recv","send","79","80","81","int","csw","used","free","lis","act","syn","tim","clo"
19-12 15:11:58,0.439,0.115,99.444,0.002,0,1031196672,64113782784,246046720,1859608576,1008.277,166772.763,0.078,3.260,0,0,9.840,9.675,9.538,292.266,3033.970,0,3221221376,6,10,0,0,0
19-12 15:11:59,0.188,0.125,99.687,0,0,1029730304,64115265536,246046720,1859579904,0,0,0,0,3657,4253,0,0,0,411,411,0,3221221376,6,10,0,0,0
19-12 15:12:00,1.503,0.564,97.934,0,0,1029398528,64115597312,246046720,1859579904,0,294912,0,10,4245,3492,2,0,0,972,906,0,3221221376,6,9,0,0,0
19-12 15:12:01,0.062,0.062,99.875,0,0,1029226496,64116019200,246046720,1859330048,0,1875968,0,398,306,366,0,0,0,247,154,0,3221221376,6,9,0,0,0
19-12 15:12:02,0,0.063,99.937,0,0,1029226496,64116019200,246046720,1859330048,0,0,0,0,425,342,0,0,0,88,143,0,3221221376,6,9,0,0,0
19-12 15:12:03,0.062,0.125,99.813,0,0,1029152768,64116092928,246046720,1859330048,0,0,0,0,873,624,2,0,0,104,177,0,3221221376,6,9,0,0,0
19-12 15:12:04,0,0.063,99.937,0,0,1029152768,64116092928,246046720,1859330048,0,0,0,0,647,334,0,0,0,102,177,0,3221221376,6,9,0,0,0
19-12 15:12:05,0,0.125,99.875,0,0,1029152768,64116092928,246046720,1859330048,0,0,0,0,186,334,0,0,0,75,130,0,3221221376,6,9,0,0,0
19-12 15:12:06,0,0.062,99.875,0.062,0,1029152768,64116092928,246046720,1859330048,0,32768,0,4,717,564,2,0,0,101,159,0,3221221376,6,9,0,0,0
19-12 15:12:07,0,0.063,99.937,0,0,1029152768,64116092928,246046720,1859330048,0,0,0,0,366,350,0,0,0,84,143,0,3221221376,6,9,0,0,0
19-12 15:12:08,0,0.125,99.875,0,0,1029152768,64116092928,246046720,1859330048,0,0,0,0,819,334,0,0,0,120,201,0,3221221376,6,9,0,0,0
19-12 15:12:09,0,0.062,99.938,0,0,1029152768,64116092928,246046720,1859330048,0,0,0,0,606,334,0,0,0,85,137,0,3221221376,6,9,0,0,0
19-12 15:12:10,0.062,0.062,99.875,0,0,1029152768,64116092928,246046720,1859330048,0,0,0,0,597,624,2,0,0,85,137,0,3221221376,6,9,0,0,0
19-12 15:12:11,0,0.063,99.937,0,0,1029152768,64116092928,246046720,1859330048,0,0,0,0,888,334,0,0,0,87,141,0,3221221376,6,9,0,0,0
19-12 15:12:12,0,0.125,99.875,0,0,1029144576,64116101120,246046720,1859330048,0,24576,0,4,767,334,0,0,0,140,218,0,3221221376,6,9,0,0,0
19-12 15:12:13,0,0.063,99.937,0,0,1029144576,64116101120,246046720,1859330048,0,0,0,0,1053,572,2,0,0,105,170,0,3221221376,6,9,0,0,0
19-12 15:12:14,0,0.062,99.938,0,0,1029144576,64116101120,246046720,1859330048,0,0,0,0,830,334,0,0,0,85,147,0,3221221376,6,9,0,0,0
19-12 15:12:15,0.062,0.125,99.813,0,0,1029144576,64116101120,246046720,1859330048,0,0,0,0,126,334,0,0,0,76,132,0,3221221376,6,9,0,0,0
19-12 15:12:16,0,0.063,99.937,0,0,1029144576,64116101120,246046720,1859330048,0,0,0,0,597,564,2,0,0,105,179,0,3221221376,6,9,0,0,0
19-12 15:12:17,0,0.125,99.875,0,0,1029144576,64116101120,246046720,1859330048,0,0,0,0,588,334,0,0,0,84,138,0,3221221376,6,9,0,0,0
19-12 15:12:18,0,0.063,99.937,0,0,1029144576,64116101120,246046720,1859330048,0,24576,0,4,425,334,0,0,0,100,177,0,3221221376,6,9,0,0,0
19-12 15:12:19,0,0.062,99.938,0,0,1029144576,64116101120,246046720,1859330048,0,0,0,0,306,342,0,0,0,79,133,0,3221221376,6,9,0,0,0
19-12 15:12:20,0,0.063,99.937,0,0,1029144576,64116101120,246046720,1859330048,0,0,0,0,537,564,2,0,0,97,169,0,3221221376,6,9,0,0,0
19-12 15:12:21,0.062,0.062,99.875,0,0,1029144576,64116101120,246046720,1859330048,0,0,0,0,306,334,0,0,0,78,128,0,3221221376,6,9,0,0,0
19-12 15:12:22,0,0.125,99.875,0,0,1029144576,64116101120,246046720,1859330048,0,0,0,0,820,394,0,0,0,90,145,0,3221221376,6,9,0,0,0
19-12 15:12:23,0,0.063,99.937,0,0,1029144576,64116101120,246046720,1859330048,0,0,0,0,1454,564,2,0,0,115,180,0,3221221376,6,9,0,0,0
19-12 15:12:24,0.062,0.125,99.750,0.062,0,1029140480,64116101120,246046720,1859334144,0,49152,0,6,485,334,0,0,0,114,185,0,3221221376,6,9,0,0,0
19-12 15:12:25,0,0.063,99.937,0,0,1029140480,64116101120,246046720,1859334144,0,0,0,0,306,342,0,0,0,77,132,0,3221221376,6,9,0,0,0
19-12 15:12:26,0,0.063,99.937,0,0,1029140480,64116101120,246046720,1859334144,0,0,0,0,657,564,2,0,0,91,149,0,3221221376,6,9,0,0,0
19-12 15:12:27,0,0.062,99.938,0,0,1029140480,64116101120,246046720,1859334144,0,0,0,0,246,334,0,0,0,79,142,0,3221221376,6,9,0,0,0
19-12 15:12:28,0,0.063,99.937,0,0,1029140480,64116101120,246046720,1859334144,0,0,0,0,759,334,0,0,0,116,199,0,3221221376,6,9,0,0,0
19-12 15:12:29,0.062,0.062,99.875,0,0,1029140480,64116101120,246046720,1859334144,0,0,0,0,366,334,0,0,0,81,137,0,3221221376,6,9,0,0,0
19-12 15:12:30,0,0.063,99.937,0,0,1029140480,64116101120,246046720,1859334144,0,24576,0,4,597,564,2,0,0,93,149,0,3221221376,6,9,0,0,0
19-12 15:12:31,0,0.125,99.875,0,0,1029140480,64116101120,246046720,1859334144,0,0,0,0,468,350,0,0,0,82,141,0,3221221376,6,9,0,0,0
19-12 15:12:32,0,0.063,99.937,0,0,1029140480,64116101120,246046720,1859334144,0,32768,0,6,545,334,0,0,0,105,171,0,3221221376,6,9,0,0,0
19-12 15:12:33,0.062,0.125,99.813,0,0,1029140480,64116101120,246046720,1859334144,0,0,0,0,478,572,2,0,0,99,168,0,3221221376,6,9,0,0,0
19-12 15:12:34,0,0.063,99.937,0,0,1029140480,64116101120,246046720,1859334144,0,0,0,0,425,334,0,0,0,77,133,0,3221221376,6,9,0,0,0
19-12 15:12:35,0,0.062,99.938,0,0,1029140480,64116101120,246046720,1859334144,0,0,0,0,426,334,0,0,0,79,135,0,3221221376,6,9,0,0,0
19-12 15:12:36,0,0.063,99.875,0.063,0,1029140480,64116101120,246046720,1859334144,0,32768,0,4,1171,564,2,0,0,132,200,0,3221221376,6,9,0,0,0
19-12 15:12:37,0,0.125,99.875,0,0,1029140480,64116101120,246046720,1859334144,0,24576,0,6,306,350,0,0,0,86,137,0,3221221376,6,9,0,0,0
19-12 15:12:38,1.504,0.689,97.807,0,0,1031233536,64114008064,246046720,1859342336,0,0,0,0,5040,4741,0,0,0,825,740,0,3221221376,6,10,0,0,0
19-12 15:12:39,1.501,0.688,97.811,0,0,1034649600,64110592000,246046720,1859346432,0,0,0,0,5101,4195,0,0,0,852,822,0,3221221376,6,10,0,0,0
19-12 15:12:40,0.313,0.250,99.437,0,0,1029091328,64116150272,246046720,1859334144,0,0,0,0,2405,2926,2,0,0,430,503,0,3221221376,6,9,0,0,0
19-12 15:12:41,0.062,0.062,99.875,0,0,1029091328,64116150272,246046720,1859334144,0,0,0,0,640,342,0,0,0,89,153,0,3221221376,6,9,0,0,0
19-12 15:12:42,0,0.063,99.937,0,0,1029091328,64116150272,246046720,1859334144,0,1482752,0,314,880,334,0,0,0,221,159,0,3221221376,6,9,0,0,0
19-12 15:12:43,0,0.063,99.937,0,0,1029066752,64116174848,246046720,1859334144,0,0,0,0,658,572,2,0,0,113,178,0,3221221376,6,9,0,0,0
19-12 15:12:44,0.062,0.062,99.875,0,0,1029074944,64116166656,246046720,1859334144,0,0,0,0,1097,567,0,0,0,136,217,0,3221221376,6,9,0,0,0
19-12 15:12:45,0,0.063,99.937,0,0,1029074944,64116166656,246046720,1859334144,0,0,0,0,366,334,0,0,0,78,134,0,3221221376,6,9,0,0,0
19-12 15:12:46,0,0.125,99.875,0,0,1028939776,64116301824,246046720,1859334144,0,0,0,0,1013,827,2,0,0,155,196,0,3221221376,6,9,0,0,0
19-12 15:12:47,0,0.063,99.937,0,0,1029083136,64116158464,246046720,1859334144,0,0,0,0,366,334,0,0,0,81,146,0,3221221376,6,9,0,0,0
19-12 15:12:48,0,0.063,99.937,0,0,1029074944,64116166656,246046720,1859334144,0,32768,0,4,545,334,0,0,0,121,212,0,3221221376,6,9,0,0,0
19-12 15:12:49,0.062,0.125,99.813,0,0,1028915200,64116326400,246046720,1859334144,0,0,0,0,366,342,0,0,0,85,142,0,3221221376,6,9,0,0,0
19-12 15:12:50,0,0.062,99.938,0,0,1028915200,64116326400,246046720,1859334144,0,0,0,0,357,564,2,0,0,80,132,0,3221221376,6,9,0,0,0
19-12 15:12:51,0.062,0.062,99.875,0,0,1028915200,64116326400,246046720,1859334144,0,0,0,0,988,668,0,0,0,92,148,0,3221221376,6,9,0,0,0
19-12 15:12:52,0,0.063,99.937,0,0,1028915200,64116326400,246046720,1859334144,0,0,0,0,707,334,0,0,0,99,167,0,3221221376,6,9,0,0,0
19-12 15:12:53,0,0.062,99.938,0,0,1028915200,64116326400,246046720,1859334144,0,0,0,0,418,564,2,0,0,94,164,0,3221221376,6,9,0,0,0
19-12 15:12:54,0,0.062,99.875,0.062,0,1028911104,64116326400,246046720,1859338240,0,49152,0,6,425,334,0,0,0,86,157,0,3221221376,6,9,0,0,0
19-12 15:12:55,0,0.125,99.875,0,0,1028911104,64116326400,246046720,1859338240,0,0,0,0,246,342,0,0,0,85,135,0,3221221376,6,9,0,0,0
19-12 15:12:56,0,0.063,99.937,0,0,1028911104,64116326400,246046720,1859338240,0,0,0,0,657,564,2,0,0,105,179,0,3221221376,6,9,0,0,0
19-12 15:12:57,0.062,0.062,99.875,0,0,1028911104,64116326400,246046720,1859338240,0,0,0,0,768,334,0,0,0,88,143,0,3221221376,6,9,0,0,0
19-12 15:12:58,0,0.063,99.937,0,0,1028911104,64116326400,246046720,1859338240,0,0,0,0,879,334,0,0,0,99,173,0,3221221376,6,9,0,0,0
19-12 15:12:59,0,0.062,99.938,0,0,1028911104,64116326400,246046720,1859338240,0,0,0,0,366,334,0,0,0,79,135,0,3221221376,6,9,0,0,0
19-12 15:13:00,0.062,0.062,99.875,0,0,1028911104,64116326400,246046720,1859338240,0,24576,0,4,717,564,2,0,0,112,181,0,3221221376,6,9,0,0,0
19-12 15:13:01,0,0.125,99.875,0,0,1028911104,64116326400,246046720,1859338240,0,0,0,0,186,350,0,0,0,78,140,0,3221221376,6,9,0,0,0
19-12 15:13:02,0,0.125,99.875,0,0,1028911104,64116326400,246046720,1859338240,0,0,0,0,665,334,0,0,0,84,139,0,3221221376,6,9,0,0,0
19-12 15:13:03,0,0,100,0,0,1028902912,64116334592,246046720,1859338240,0,0,0,0,952,898,2,0,0,104,178,0,3221221376,6,9,0,0,0
19-12 15:13:04,0,0.125,99.875,0,0,1028902912,64116334592,246046720,1859338240,0,0,0,0,1049,334,0,0,0,111,188,0,3221221376,6,9,0,0,0
19-12 15:13:05,0,0.063,99.937,0,0,1028902912,64116334592,246046720,1859338240,0,0,0,0,700,334,0,0,0,87,142,0,3221221376,6,9,0,0,0
19-12 15:13:06,0.062,0.062,99.875,0,0,1028902912,64116334592,246046720,1859338240,0,24576,0,4,597,564,2,0,0,98,150,0,3221221376,6,9,0,0,0
19-12 15:13:07,0,0.125,99.875,0,0,1028902912,64116334592,246046720,1859338240,0,0,0,0,1103,350,0,0,0,99,153,0,3221221376,6,9,0,0,0
