parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,19705.7,16,143,16,direct,rf4_s4__
832,20916.6,22,145,16,direct,rf4_s4__
960,21309.1,24,162,16,direct,rf4_s4__
1088,22528.7,29,170,16,direct,rf4_s4__
1216,23372.7,32,179,16,direct,rf4_s4__
64,4714.6,5,44,16,direct,rf4_s4__
1344,23488.0,35,191,16,direct,rf4_s4__
1472,23787.8,41,194,16,direct,rf4_s4__
192,13083.7,6,90,16,direct,rf4_s4__
320,17095.0,10,95,16,direct,rf4_s4__
448,18481.5,13,107,16,direct,rf4_s4__
576,18304.7,15,126,16,direct,rf4_s4__
