parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,17131.6,11,176,16,solrj,rf4_s4__
832,18118.2,15,188,16,solrj,rf4_s4__
960,15156.1,15,269,16,solrj,rf4_s4__
1088,18240.7,21,238,16,solrj,rf4_s4__
1216,17192.1,25,286,16,solrj,rf4_s4__
64,8783.9,3,11,16,solrj,rf4_s4__
1344,11748.9,17,737,16,solrj,rf4_s4__
1472,15183.9,24,552,16,solrj,rf4_s4__
192,13410.2,5,91,16,solrj,rf4_s4__
320,13963.2,6,118,16,solrj,rf4_s4__
448,15815.4,8,135,16,solrj,rf4_s4__
576,16069.9,10,157,16,solrj,rf4_s4__
