parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
1408,12613.5,23,603,32,solrj,rf4_s4__
1664,14495.0,31,727,32,solrj,rf4_s4__
1920,10467.1,25,2195,32,solrj,rf4_s4__
2176,14936.9,56,928,32,solrj,rf4_s4__
2432,10973.9,44,2852,32,solrj,rf4_s4__
128,12446.8,4,72,32,solrj,rf4_s4__
2688,5458.5,583,2708,32,solrj,rf4_s4__
2944,9287.8,84,3099,32,solrj,rf4_s4__
384,15033.8,8,131,32,solrj,rf4_s4__
640,15946.6,11,178,32,solrj,rf4_s4__
896,17843.3,14,218,32,solrj,rf4_s4__
1152,13107.5,14,532,32,solrj,rf4_s4__
