parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
352,22817.47,29,241,32,direct,rf6_s4__
416,24852.2,35,255,32,direct,rf6_s4__
480,24927.2,46,286,32,direct,rf6_s4__
544,26124.8,54,290,32,direct,rf6_s4__
608,25529.33,60,339,32,direct,rf6_s4__
32,7778.73,4,114,32,direct,rf6_s4__
672,27035.53,73,328,32,direct,rf6_s4__
736,26860.53,80,357,32,direct,rf6_s4__
800,27128.47,87,399,32,direct,rf6_s4__
864,26573.93,99,405,32,direct,rf6_s4__
928,26357.73,112,426,32,direct,rf6_s4__
992,26913.53,118,442,32,direct,rf6_s4__
1056,27338.53,129,479,32,direct,rf6_s4__
1120,27449.93,136,529,32,direct,rf6_s4__
1184,26428.07,147,526,32,direct,rf6_s4__
1248,27549.4,160,536,32,direct,rf6_s4__
96,14550.07,7,152,32,direct,rf6_s4__
1312,26941.47,163,532,32,direct,rf6_s4__
1376,27631.2,170,603,32,direct,rf6_s4__
1440,25601.0,178,687,32,direct,rf6_s4__
1504,27383.6,190,611,32,direct,rf6_s4__
1568,27291.47,196,644,32,direct,rf6_s4__
1632,26942.67,205,654,32,direct,rf6_s4__
1696,27616.47,205,648,32,direct,rf6_s4__
1760,27310.8,222,625,32,direct,rf6_s4__
1824,27455.53,228,628,32,direct,rf6_s4__
1888,26973.6,231,678,32,direct,rf6_s4__
160,17348.13,10,175,32,direct,rf6_s4__
1952,26001.53,232,798,32,direct,rf6_s4__
2016,26176.73,250,698,32,direct,rf6_s4__
2080,26381.2,256,706,32,direct,rf6_s4__
2144,25665.73,261,709,32,direct,rf6_s4__
2208,27042.87,264,684,32,direct,rf6_s4__
224,19718.6,15,193,32,direct,rf6_s4__
288,22017.8,19,217,32,direct,rf6_s4__
