parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
144,145040.4,1.0260376211715072,1.6736543341858747,8,direct,rf16_s1_,12
192,161914.3,1.158204275308196,2.2698689981834175,8,direct,rf16_s1_,12
240,166308.4,1.3444532047618518,3.1074512103372367,8,direct,rf16_s1_,12
288,168074.5,1.5423166340795056,3.947410090216275,8,direct,rf16_s1_,12
336,171209.1,1.7166962990394006,4.783950613800591,8,direct,rf16_s1_,12
384,184991.1,1.7751949438776995,5.293786216893962,8,direct,rf16_s1_,12
432,193126.9,1.848008775491319,6.004340088312527,8,direct,rf16_s1_,12
480,197963.9,1.9360449304224545,6.946877325224184,8,direct,rf16_s1_,12
48,47922.9,1.0136127471923828,1.759486198425293,8,direct,rf16_s1_,12
528,201039.4,2.0291832258116522,7.883921209371315,8,direct,rf16_s1_,12
576,206449.5,2.085349964023049,8.862115107605614,8,direct,rf16_s1_,12
624,207497.0,2.1591695506920976,10.014102700051296,8,direct,rf16_s1_,12
672,209312.4,2.184612200810359,10.648223803593563,8,direct,rf16_s1_,12
720,159540.2,2.255689153794206,12.327314520848171,8,direct,rf16_s1_,12
96,99575.0,1.012493153007663,1.5816931821862046,8,direct,rf16_s1_,12
144,18044.9,6.873504756248161,13.796770409361956,8,direct,rf16_s2_,22
192,18821.0,8.706506994581714,19.094228744506836,8,direct,rf16_s2_,22
240,19826.0,10.264776954966143,22.42966624330883,8,direct,rf16_s2_,22
288,20801.3,12.007840748490958,27.50939994022764,8,direct,rf16_s2_,22
336,22271.4,13.157215344129934,31.285077157105214,8,direct,rf16_s2_,22
384,22540.8,14.575760599245061,39.90634241252366,8,direct,rf16_s2_,22
432,24061.0,16.624281483311808,39.492521417855116,8,direct,rf16_s2_,22
480,27025.8,17.221331101730158,38.82838878394163,8,direct,rf16_s2_,22
48,9741.3,4.415903091430664,8.125581741333008,8,direct,rf16_s2_,22
528,29539.9,18.082182362394512,36.90698911558907,8,direct,rf16_s2_,22
576,32060.7,18.466651645911195,38.07466912847077,8,direct,rf16_s2_,22
672,30827.7,22.580177918386035,44.94974662712844,8,direct,rf16_s2_,22
720,30732.8,24.221737629158675,48.817189776666275,8,direct,rf16_s2_,22
96,17136.5,4.768938434367278,8.90282222202846,8,direct,rf16_s2_,22
144,51526.4,1.9700608841360432,9.10327042618843,2,direct,rf2_s1__,11
192,52610.0,2.1700883649059177,12.7145211721204,2,direct,rf2_s1__,11
240,53714.3,2.242064673053332,15.072348689244798,2,direct,rf2_s1__,11
288,53278.1,2.3987663203272325,17.98143057987608,2,direct,rf2_s1__,11
336,53586.1,2.3820781143459344,17.712352543892944,2,direct,rf2_s1__,11
384,53713.7,2.442522370135846,19.19201309816825,2,direct,rf2_s1__,11
432,53555.0,2.4510347348753756,19.84628828989196,2,direct,rf2_s1__,11
480,53279.5,2.5531157418405366,20.91754917287233,2,direct,rf2_s1__,11
48,39876.4,1.13128662109375,2.332491874694824,2,direct,rf2_s1__,11
528,56153.2,2.495241694000865,20.77162023392711,2,direct,rf2_s1__,11
576,56494.3,2.4405577603508446,21.3291075815379,2,direct,rf2_s1__,11
624,56913.8,2.5510355519253407,21.172779521054288,2,direct,rf2_s1__,11
672,56782.0,2.581761923317386,23.315034209797574,2,direct,rf2_s1__,11
720,61436.9,2.5030014587571414,20.778590952590562,2,direct,rf2_s1__,11
96,47547.2,1.7111958289632991,5.169564363907795,2,direct,rf2_s1__,11
144,7086.7,20.041469025285277,44.21407882481405,2,direct,rf2_s2__,21
192,7322.4,27.30341301750891,50.26801959755495,2,direct,rf2_s2__,21
288,8281.1,36.38535943524591,71.30805295089195,2,direct,rf2_s2__,21
336,8390.0,41.801280523898335,82.05714874719021,2,direct,rf2_s2__,21
384,8648.0,46.4666995359826,91.26725592143795,2,direct,rf2_s2__,21
432,9246.0,48.8359126077819,96.1653411663073,2,direct,rf2_s2__,21
480,9274.5,54.70304419885532,106.71377280935707,2,direct,rf2_s2__,21
48,6613.5,7.0717573165893555,14.506945610046387,2,direct,rf2_s2__,21
528,9834.3,58.1666222158468,108.042818195415,2,direct,rf2_s2__,21
576,10165.3,61.601326952343584,116.9561910794268,2,direct,rf2_s2__,21
624,10106.7,66.78162634182281,124.58932323577686,2,direct,rf2_s2__,21
672,10091.3,71.79108111723949,136.31657181578504,2,direct,rf2_s2__,21
720,10156.6,76.36422872211737,139.97240723091306,2,direct,rf2_s2__,21
96,7725.7,13.110681455962512,23.216099155192474,2,direct,rf2_s2__,21
144,52025.7,2.065147439094439,8.592009544372559,2,direct,rf4_s1__,12
192,53826.0,2.2947923424317667,12.776682057331518,2,direct,rf4_s1__,12
240,53406.0,2.558690457304647,17.266390737423226,2,direct,rf4_s1__,12
288,54223.1,2.700175910160459,20.76367920842664,2,direct,rf4_s1__,12
336,54268.0,2.8658526888965854,24.912910348564914,2,direct,rf4_s1__,12
384,54415.0,2.971223598934826,27.867251727247485,2,direct,rf4_s1__,12
432,54043.6,3.1266404736426567,32.85756144106114,2,direct,rf4_s1__,12
480,54540.9,3.171913851346218,34.55496131137199,2,direct,rf4_s1__,12
