parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP,fcts
144,147552.7,1.0155063785918772,1.6390052560257584,8,direct,rf16_s1_,12,0.0003876686096191406--0.0005662441253662109--0.0006654262542724609--0.000782012939453125--0.0008409023284912109--0.0008797645568847656--0.0009102821350097656--0.0009412765502929688--0.0009667873382568359--0.0009930133819580078--0.0010178089141845703--0.0010459423065185547--0.0010743141174316406--0.001107931137084961--0.0011448860168457031--0.0011892318725585938--0.00124359130859375--0.001318216323852539--0.0014281272888183594--0.0016286373138427734
192,164645.7,1.1459797928013753,2.277307903643736,8,direct,rf16_s1_,12,0.00038623809814453125--0.0006339550018310547--0.0007958412170410156--0.0008835792541503906--0.0009322166442871094--0.0009703636169433594--0.0010056495666503906--0.0010380744934082031--0.0010707378387451172--0.0011060237884521484--0.0011432170867919922--0.001186370849609375--0.0012331008911132812--0.0012903213500976562--0.0013582706451416016--0.0014386177062988281--0.001539468765258789--0.001676321029663086--0.0018815994262695312--0.0022509098052978516
240,168826.7,1.3361538737273413,3.1627544686813986,8,direct,rf16_s1_,12,0.00043463706970214844--0.0007200241088867188--0.0008950233459472656--0.0009777545928955078--0.0010333061218261719--0.0010814666748046875--0.0011260509490966797--0.0011701583862304688--0.0012178421020507812--0.0012710094451904297--0.0013279914855957031--0.0013921260833740234--0.0014681816101074219--0.0015523433685302734--0.0016498565673828125--0.0017676353454589844--0.0019211769104003906--0.002127408981323242--0.0024755001068115234--0.0031020641326904297
288,168430.1,1.5573616685538456,4.070339531734072,8,direct,rf16_s1_,12,0.00042748451232910156--0.0008392333984375--0.0010006427764892578--0.001087188720703125--0.001155853271484375--0.0012149810791015625--0.0012760162353515625--0.0013337135314941406--0.0013980865478515625--0.0014684200286865234--0.001544952392578125--0.001630544662475586--0.0017235279083251953--0.0018284320831298828--0.001959562301635742--0.002112150192260742--0.0023190975189208984--0.002602100372314453--0.0030694007873535156--0.004044532775878906
336,170966.2,1.7219330432146964,5.031005165280675,8,direct,rf16_s1_,12,0.0004570484161376953--0.0009114742279052734--0.0010800361633300781--0.0011723041534423828--0.0012466907501220703--0.0013186931610107422--0.0013890266418457031--0.0014612674713134766--0.0015366077423095703--0.0016188621520996094--0.0017058849334716797--0.0018033981323242188--0.0019168853759765625--0.0020492076873779297--0.002203702926635742--0.002393007278442383--0.002651691436767578--0.0030181407928466797--0.0036284923553466797--0.004934787750244141
384,182822.2,1.8068187595031422,5.620814358014517,8,direct,rf16_s1_,12,0.0004322528839111328--0.0009417533874511719--0.0011000633239746094--0.0011944770812988281--0.0012714862823486328--0.0013480186462402344--0.0014247894287109375--0.0015053749084472656--0.0015912055969238281--0.001680612564086914--0.0017809867858886719--0.001895904541015625--0.002018451690673828--0.0021584033966064453--0.0023241043090820312--0.0025403499603271484--0.0028204917907714844--0.003223419189453125--0.003926515579223633--0.005487203598022461
432,195882.7,1.851427939630324,6.2505045244770665,8,direct,rf16_s1_,12,0.0004260540008544922--0.0009672641754150391--0.0011150836944580078--0.0012083053588867188--0.0012888908386230469--0.0013670921325683594--0.0014503002166748047--0.0015349388122558594--0.0016219615936279297--0.0017218589782714844--0.0018281936645507812--0.0019464492797851562--0.002074718475341797--0.002225637435913086--0.002408742904663086--0.002640962600708008--0.002953767776489258--0.0034122467041015625--0.004221439361572266--0.006052732467651367
480,200626.6,1.934819201710808,7.187690477648217,8,direct,rf16_s1_,12,0.00044465065002441406--0.0010204315185546875--0.0011572837829589844--0.0012531280517578125--0.0013391971588134766--0.0014243125915527344--0.0015096664428710938--0.0015990734100341797--0.001692056655883789--0.0017917156219482422--0.001909494400024414--0.0020356178283691406--0.002181529998779297--0.0023450851440429688--0.002550363540649414--0.0028047561645507812--0.0031495094299316406--0.003679513931274414--0.004629611968994141--0.006865501403808594
48,48278.7,1.022353172302246,1.7523002624511719,8,direct,rf16_s1_,12,0.0004165172576904297--0.0006008148193359375--0.0007219314575195312--0.0008094310760498047--0.0008523464202880859--0.0008909702301025391--0.0009188652038574219--0.0009467601776123047--0.0009753704071044922--0.0010056495666503906--0.0010368824005126953--0.0010683536529541016--0.0011050701141357422--0.0011484622955322266--0.0011954307556152344--0.0012540817260742188--0.0013365745544433594--0.001435995101928711--0.0015799999237060547--0.0017905235290527344
528,205140.2,2.0129167808676667,8.162076518220722,8,direct,rf16_s1_,12,0.0004074573516845703--0.0010275840759277344--0.0011816024780273438--0.0012850761413574219--0.001377105712890625--0.0014674663543701172--0.0015573501586914062--0.0016536712646484375--0.0017542839050292969--0.001861572265625--0.0019829273223876953--0.0021126270294189453--0.002270936965942383--0.0024623870849609375--0.002685070037841797--0.002966165542602539--0.003353595733642578--0.003939628601074219--0.0050508975982666016--0.007729768753051758
