parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
144,52103.8,1.975998486558052,5.57150416178246,9.22397881338041,27.330741490403266,2,direct,rf2_s1__,11,0.0004405975341796875--0.0010235309600830078--0.001173257827758789--0.0012705326080322266--0.0013585090637207031--0.0014505386352539062--0.0015423297882080078--0.0016396045684814453--0.0017328262329101562--0.0018355846405029297--0.0019521713256835938--0.002079010009765625--0.0022432804107666016--0.002431631088256836--0.0026636123657226562--0.0029664039611816406--0.003409147262573242--0.0041081905364990234--0.005344390869140625--0.00866246223449707
192,53191.3,2.1863659632574652,7.251896809056862,14.017204648440647,51.90272183762383,2,direct,rf2_s1__,11,0.0004322528839111328--0.0010912418365478516--0.0012481212615966797--0.0013651847839355469--0.0014679431915283203--0.0015697479248046875--0.0016760826110839844--0.0017812252044677734--0.0018949508666992188--0.002018451690673828--0.0021538734436035156--0.002303600311279297--0.0024869441986083984--0.0027205944061279297--0.003003358840942383--0.0034215450286865234--0.004002571105957031--0.004943370819091797--0.006902933120727539--0.01254129409790039
240,53907.4,2.3046791060896945,8.625089629622531,19.080465490167793,85.6522301997035,2,direct,rf2_s1__,11,0.0004558563232421875--0.0011479854583740234--0.0013113021850585938--0.0014281272888183594--0.0015358924865722656--0.0016448497772216797--0.0017549991607666016--0.0018672943115234375--0.001990795135498047--0.0021262168884277344--0.002274036407470703--0.0024421215057373047--0.0026438236236572266--0.002882242202758789--0.0032057762145996094--0.0036590099334716797--0.004334688186645508--0.0054779052734375--0.00817251205444336--0.015614509582519531
288,54038.5,2.418829654825145,9.303802457349054,21.781373023986816,119.32551367529507,2,direct,rf2_s1__,11,0.00045680999755859375--0.0011897087097167969--0.0013549327850341797--0.0014765262603759766--0.0015931129455566406--0.0017066001892089844--0.0018188953399658203--0.0019397735595703125--0.0020651817321777344--0.0022110939025878906--0.002374410629272461--0.0025606155395507812--0.0027763843536376953--0.0030498504638671875--0.0034019947052001953--0.0038633346557617188--0.004594087600708008--0.005898714065551758--0.0086669921875--0.01696038246154785
336,54141.7,2.4671660372491417,9.78277138704379,24.39536709757246,153.4287005486573,2,direct,rf2_s1__,11,0.00046133995056152344--0.001216888427734375--0.001386880874633789--0.0015141963958740234--0.0016279220581054688--0.001745462417602539--0.0018613338470458984--0.0019826889038085938--0.0021147727966308594--0.002259492874145508--0.0024247169494628906--0.0026128292083740234--0.002835988998413086--0.003107786178588867--0.0034825801849365234--0.003992795944213867--0.004738569259643555--0.00609898567199707--0.009063482284545898--0.01822352409362793
384,54234.7,2.470725558582365,10.159641967536254,29.60827437089515,208.00704350743268,2,direct,rf2_s1__,11,0.00048422813415527344--0.0011970996856689453--0.0013747215270996094--0.0015032291412353516--0.0016236305236816406--0.0017437934875488281--0.0018634796142578125--0.0019905567169189453--0.002122640609741211--0.0022678375244140625--0.002438068389892578--0.0026209354400634766--0.0028519630432128906--0.0031371116638183594--0.0035092830657958984--0.004044055938720703--0.004824638366699219--0.006228208541870117--0.009344339370727539--0.019747018814086914
432,53942.1,2.474366245181879,9.84314949281754,29.759928378091978,258.72161970709874,2,direct,rf2_s1__,11,0.0004467964172363281--0.001207590103149414--0.0013859272003173828--0.0015096664428710938--0.001630544662475586--0.0017483234405517578--0.001867055892944336--0.0019888877868652344--0.0021195411682128906--0.0022666454315185547--0.002431154251098633--0.0026166439056396484--0.002847433090209961--0.0031311511993408203--0.0034940242767333984--0.0039904117584228516--0.004764080047607422--0.0061757564544677734--0.009127616882324219--0.01937246322631836
480,55287.2,2.5404849982360584,10.521656250063314,32.17441560816468,300.97277926211535,2,direct,rf2_s1__,11,0.00042247772216796875--0.0011854171752929688--0.001377105712890625--0.0015132427215576172--0.0016372203826904297--0.0017597675323486328--0.0018813610076904297--0.002015829086303711--0.002155780792236328--0.0023107528686523438--0.0024869441986083984--0.0026950836181640625--0.002939939498901367--0.0032417774200439453--0.003641843795776367--0.004190206527709961--0.00499272346496582--0.00645899772644043--0.009702682495117188--0.0198516845703125
48,40501.5,1.1337614059448242,1.9251728057861328,2.3860836029052734,6.63325309753418,2,direct,rf2_s1__,11,0.0004074573516845703--0.0006253719329833984--0.0007870197296142578--0.0008764266967773438--0.0009272098541259766--0.0009660720825195312--0.0010004043579101562--0.0010349750518798828--0.0010709762573242188--0.001110076904296875--0.0011534690856933594--0.001199483871459961--0.0012500286102294922--0.0013053417205810547--0.0013756752014160156--0.0014638900756835938--0.0015723705291748047--0.0017004013061523438--0.0019342899322509766--0.002396106719970703
528,55188.5,2.53023606426311,10.81033967575937,37.074093998603104,348.64538660589255,2,direct,rf2_s1__,11,0.0004513263702392578--0.0011928081512451172--0.0013806819915771484--0.0015149116516113281--0.0016384124755859375--0.0017619132995605469--0.0018835067749023438--0.0020117759704589844--0.002151012420654297--0.002307891845703125--0.0024836063385009766--0.002681255340576172--0.002917051315307617--0.0032122135162353516--0.0036230087280273438--0.004170417785644531--0.005030155181884766--0.0065937042236328125--0.009815216064453125--0.021531105041503906
576,56895.6,2.562562487117147,10.657216025883764,36.46241876080787,383.36679432218875,2,direct,rf2_s1__,11,0.0004367828369140625--0.0012056827545166016--0.0013959407806396484--0.0015304088592529297--0.001659393310546875--0.0017843246459960938--0.0019097328186035156--0.0020356178283691406--0.002174854278564453--0.0023310184478759766--0.002510547637939453--0.0027129650115966797--0.0029535293579101562--0.0032548904418945312--0.003664731979370117--0.004220485687255859--0.00506901741027832--0.006528615951538086--0.009762048721313477--0.019971847534179688
681,57724.4,2.648070476414693,11.660182109514407,40.851836672290005,478.1121799223245,2,direct,rf2_s1__,11,0.0004324913024902344--0.0012154579162597656--0.0014033317565917969--0.001546621322631836--0.0016739368438720703--0.0018036365509033203--0.0019328594207763672--0.002068042755126953--0.002216815948486328--0.002386331558227539--0.0025720596313476562--0.0028009414672851562--0.003069162368774414--0.003406047821044922--0.003839254379272461--0.004442453384399414--0.005383491516113281--0.0070722103118896484--0.010654687881469727--0.02297067642211914
786,58475.3,2.6686914407523576,11.73680633496327,43.47663958361194,582.916995370464,2,direct,rf2_s1__,11,0.0004096031188964844--0.001233816146850586--0.0014226436614990234--0.0015690326690673828--0.0017004013061523438--0.0018286705017089844--0.001962900161743164--0.002100706100463867--0.0022482872009277344--0.0024182796478271484--0.002610445022583008--0.0028257369995117188--0.003091096878051758--0.0034253597259521484--0.003873109817504883--0.0044803619384765625--0.005419015884399414--0.007105588912963867--0.010710000991821289--0.02235555648803711
891,59245.1,2.7357021074616505,12.142305159836672,47.52383473214139,685.3339830141389,2,direct,rf2_s1__,11,0.00041985511779785156--0.001220703125--0.0014190673828125--0.0015668869018554688--0.0017066001892089844--0.001840829849243164--0.0019826889038085938--0.002124786376953125--0.00228118896484375--0.002457141876220703--0.0026509761810302734--0.002878904342651367--0.003159046173095703--0.0035092830657958984--0.003955841064453125--0.004591464996337891--0.005582332611083984--0.007340431213378906--0.01103520393371582--0.023122072219848633
96,47707.3,1.729449447320432,3.9003917149135043,5.386882898758869,13.812880126797424,2,direct,rf2_s1__,11,0.00045871734619140625--0.0009233951568603516--0.0010752677917480469--0.0011649131774902344--0.001239776611328125--0.0013113021850585938--0.001383066177368164--0.0014603137969970703--0.0015358924865722656--0.001623392105102539--0.0017201900482177734--0.0018305778503417969--0.0019524097442626953--0.002092599868774414--0.0022535324096679688--0.0024471282958984375--0.002717733383178711--0.003117084503173828--0.0038437843322753906--0.005304098129272461
996,59570.4,2.776437388632245,12.995257167395705,59.10821453125061,817.915924087555,2,direct,rf2_s1__,11,0.0004456043243408203--0.0012285709381103516--0.001425027847290039--0.0015721321105957031--0.0017130374908447266--0.0018520355224609375--0.0019919872283935547--0.0021364688873291016--0.0023000240325927734--0.0024793148040771484--0.0026841163635253906--0.0029265880584716797--0.0032274723052978516--0.0036067962646484375--0.004103422164916992--0.0048067569732666016--0.005898952484130859--0.00773167610168457--0.011796951293945312--0.025754928588867188
144,87383.2,1.5006261329128319,3.0296926629053402,3.9310716602900255,8.305494099447172,4,direct,rf4_s1__,11,0.0004329681396484375--0.0008053779602050781--0.0009751319885253906--0.0010600090026855469--0.0011258125305175781--0.0011858940124511719--0.0012400150299072266--0.0012934207916259766--0.0013582706451416016--0.0014226436614990234--0.0014972686767578125--0.0015747547149658203--0.0016641616821289062--0.0017681121826171875--0.0018894672393798828--0.002034425735473633--0.0022253990173339844--0.002508878707885742--0.0029463768005371094--0.0038886070251464844
192,91228.0,1.7782302246880286,4.070025129416554,5.663070482077058,14.02444814898304,4,direct,rf4_s1__,11,0.00043845176696777344--0.0009441375732421875--0.0011069774627685547--0.0011963844299316406--0.0012769699096679688--0.0013494491577148438--0.0014188289642333984--0.0014982223510742188--0.0015759468078613281--0.0016644001007080078--0.0017635822296142578--0.001867532730102539--0.001988649368286133--0.002131223678588867--0.0022974014282226562--0.002513408660888672--0.002812623977661133--0.0032339096069335938--0.00393223762512207--0.005486726760864258
240,101081.7,1.8559782958227742,4.763718478935809,7.372483734256965,19.862811427471065,4,direct,rf4_s1__,11,0.00044536590576171875--0.0009572505950927734--0.0011134147644042969--0.0012090206146240234--0.0012934207916259766--0.001373291015625--0.0014522075653076172--0.0015370845794677734--0.0016279220581054688--0.0017249584197998047--0.0018310546875--0.001956939697265625--0.002094268798828125--0.002263307571411133--0.0024662017822265625--0.0027205944061279297--0.003072977066040039--0.003624439239501953--0.004617452621459961--0.0069429874420166016
288,102061.4,2.049186311919114,5.8284373118959625,9.64371993623931,27.868816770356275,4,direct,rf4_s1__,11,0.0004572868347167969--0.0010445117950439453--0.001191854476928711--0.0013020038604736328--0.0013966560363769531--0.0014896392822265625--0.0015826225280761719--0.0016796588897705078--0.0017812252044677734--0.0018992424011230469--0.0020189285278320312--0.002160310745239258--0.0023250579833984375--0.002512693405151367--0.002756357192993164--0.0030841827392578125--0.003520488739013672--0.004242420196533203--0.005601644515991211--0.009048700332641602
336,103596.2,2.135015803681323,6.773792780362642,12.036284046060235,39.25360659875813,4,direct,rf4_s1__,11,0.0004215240478515625--0.001085042953491211--0.0012352466583251953--0.0013425350189208984--0.0014388561248779297--0.0015380382537841797--0.001638650894165039--0.001741647720336914--0.0018553733825683594--0.0019719600677490234--0.0021028518676757812--0.002251148223876953--0.0024290084838867188--0.002651691436767578--0.0029180049896240234--0.0032918453216552734--0.003823995590209961--0.0047016143798828125--0.0063974857330322266--0.011071205139160156
384,104928.8,2.2175361455413345,7.600450145148243,14.208878877867072,52.05195493648707,4,direct,rf4_s1__,11,0.00041294097900390625--0.0011129379272460938--0.0012726783752441406--0.0013871192932128906--0.0014920234680175781--0.001592874526977539--0.0016989707946777344--0.0018072128295898438--0.0019230842590332031--0.0020477771759033203--0.002185344696044922--0.0023398399353027344--0.002527475357055664--0.0027599334716796875--0.003062725067138672--0.0034546852111816406--0.004033565521240234--0.0050542354583740234--0.007079362869262695--0.01266026496887207
432,105107.9,2.317198410561557,8.269279233870968,16.451563153948104,66.77117655354161,4,direct,rf4_s1__,11,0.00042700767517089844--0.0011398792266845703--0.001306295394897461--0.0014243125915527344--0.0015320777893066406--0.0016438961029052734--0.0017540454864501953--0.0018668174743652344--0.001990795135498047--0.0021228790283203125--0.0022759437561035156--0.00244903564453125--0.0026547908782958984--0.0029239654541015625--0.0032434463500976562--0.0036821365356445312--0.0043451786041259766--0.005472421646118164--0.007788658142089844--0.014183282852172852
480,105021.5,2.4137269411838895,9.155473273819412,18.377184373214533,79.787275108559,4,direct,rf4_s1__,11,0.00044655799865722656--0.0011870861053466797--0.0013535022735595703--0.0014770030975341797--0.0015993118286132812--0.0017137527465820312--0.0018286705017089844--0.0019478797912597656--0.002076387405395508--0.0022153854370117188--0.0023741722106933594--0.0025556087493896484--0.0027763843536376953--0.003045320510864258--0.003387928009033203--0.003865957260131836--0.0045893192291259766--0.00586700439453125--0.00862431526184082--0.015764474868774414
