parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
128,136623.3,0.9969692963820237,1.3556333688589244,1.5414017897385817,3.4499498514028697,8,direct,rf16_s1_,12,0.0004000663757324219--0.000560760498046875--0.000659942626953125--0.0007736682891845703--0.0008263587951660156--0.0008656978607177734--0.0008983612060546875--0.0009272098541259766--0.0009534358978271484--0.0009777545928955078--0.0010025501251220703--0.0010263919830322266--0.0010542869567871094--0.0010838508605957031--0.0011169910430908203--0.0011556148529052734--0.001203298568725586--0.0012674331665039062--0.0013566017150878906--0.0015201568603515625
160,160596.2,1.0219223705338842,1.4898526815720547,1.7168286405963662,3.821461289017289,8,direct,rf16_s1_,12,0.00038886070251464844--0.0005817413330078125--0.0006997585296630859--0.0008015632629394531--0.0008540153503417969--0.0008912086486816406--0.0009219646453857422--0.0009491443634033203--0.0009756088256835938--0.0010001659393310547--0.0010247230529785156--0.0010540485382080078--0.0010845661163330078--0.0011167526245117188--0.0011570453643798828--0.0012061595916748047--0.0012671947479248047--0.0013492107391357422--0.0014753341674804688--0.0016965866088867188
192,171452.5,1.1081683267023146,1.7816774623910177,2.1047493846146104,4.899746363924951,8,direct,rf16_s1_,12,0.00039839744567871094--0.0006103515625--0.0007658004760742188--0.0008585453033447266--0.0009098052978515625--0.0009467601776123047--0.0009789466857910156--0.0010099411010742188--0.001041412353515625--0.0010747909545898438--0.0011103153228759766--0.0011494159698486328--0.0011935234069824219--0.001245260238647461--0.0013039112091064453--0.0013728141784667969--0.0014660358428955078--0.0015838146209716797--0.0017628669738769531--0.002088308334350586
224,174254.1,1.224106391974255,2.157801020461901,2.7015567880816165,6.011397437711732,8,direct,rf16_s1_,12,0.0004017353057861328--0.0006685256958007812--0.0008339881896972656--0.00092315673828125--0.0009758472442626953--0.0010187625885009766--0.001058816909790039--0.001096963882446289--0.0011360645294189453--0.0011773109436035156--0.0012240409851074219--0.0012774467468261719--0.0013365745544433594--0.0014066696166992188--0.0014872550964355469--0.0015850067138671875--0.0017018318176269531--0.0018641948699951172--0.0021257400512695312--0.0026123523712158203
256,173116.6,1.3733011807582176,2.621157224788222,3.3076576484266176,6.953411324079647,8,direct,rf16_s1_,12,0.0004165172576904297--0.0007388591766357422--0.0009095668792724609--0.0009920597076416016--0.0010519027709960938--0.0011034011840820312--0.001149892807006836--0.0011987686157226562--0.0012505054473876953--0.001306295394897461--0.0013685226440429688--0.0014348030090332031--0.0015072822570800781--0.0015947818756103516--0.0016977787017822266--0.0018177032470703125--0.0019779205322265625--0.0022063255310058594--0.0025680065155029297--0.0032777786254882812
288,171544.7,1.52555827436776,3.0463218688964844,3.998642954333075,10.62644678970863,8,direct,rf16_s1_,12,0.00043702125549316406--0.000823974609375--0.0009925365447998047--0.0010793209075927734--0.0011434555053710938--0.0012018680572509766--0.0012545585632324219--0.0013129711151123047--0.0013766288757324219--0.0014421939849853516--0.0015149116516113281--0.0015950202941894531--0.0016863346099853516--0.0017924308776855469--0.0019161701202392578--0.002065896987915039--0.002257108688354492--0.002532482147216797--0.002977609634399414--0.003932952880859375
320,175953.8,1.622611691492685,3.360340313881821,4.509904369804429,11.646994892854869,8,direct,rf16_s1_,12,0.0004062652587890625--0.0008842945098876953--0.0010459423065185547--0.0011317729949951172--0.0011987686157226562--0.0012617111206054688--0.0013256072998046875--0.0013887882232666016--0.0014562606811523438--0.0015304088592529297--0.0016067028045654297--0.0016984939575195312--0.001796722412109375--0.001909017562866211--0.0020444393157958984--0.0022068023681640625--0.0024290084838867188--0.002749919891357422--0.0032792091369628906--0.004402875900268555
32,32572.5,0.9974030887379366,1.5199955771951115,1.7775016672470991,3.0890703201293945,8,direct,rf16_s1_,12,0.0004115104675292969--0.0005984306335449219--0.0007054805755615234--0.0008034706115722656--0.0008492469787597656--0.0008828639984130859--0.0009086132049560547--0.0009367465972900391--0.0009646415710449219--0.0009913444519042969--0.001016855239868164--0.001049041748046875--0.0010881423950195312--0.0011343955993652344--0.0011811256408691406--0.0012390613555908203--0.0013213157653808594--0.0014414787292480469--0.0016031265258789062--0.0018515586853027344
352,180153.5,1.713271194932151,3.6578447805286127,5.012501431050274,12.412160129870399,8,direct,rf16_s1_,12,0.0004353523254394531--0.0009105205535888672--0.0010714530944824219--0.0011630058288574219--0.0012395381927490234--0.0013070106506347656--0.001375436782836914--0.0014450550079345703--0.0015218257904052734--0.0016067028045654297--0.0016961097717285156--0.00179290771484375--0.0019047260284423828--0.002027273178100586--0.0021812915802001953--0.0023698806762695312--0.0026154518127441406--0.002966642379760742--0.003572702407836914--0.004846811294555664
384,189453.5,1.7412017664143458,3.826990646401835,5.3282506725331045,14.308556373872905,8,direct,rf16_s1_,12,0.00041222572326660156--0.0009272098541259766--0.0010771751403808594--0.001168966293334961--0.0012447834014892578--0.0013170242309570312--0.0013880729675292969--0.001463174819946289--0.0015411376953125--0.0016295909881591797--0.001722574234008789--0.0018222332000732422--0.001941680908203125--0.0020797252655029297--0.002233266830444336--0.0024306774139404297--0.002686023712158203--0.0030760765075683594--0.003733396530151367--0.005223989486694336
