parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
16,7365.1,1,3,4,direct,rf16_s1_,14
16,9797.8,0,2,4,direct,rf16_s1_,14
32,21763.8,0,1,4,direct,rf16_s1_,14
48,28027.2,0,1,4,direct,rf16_s1_,14
64,27733.1,1,3,4,direct,rf16_s1_,14
64,27733.1,1,3,4,direct,rf16_s1_,14
80,27639.1,1,4,4,direct,rf16_s1_,14
96,27629.5,2,5,4,direct,rf16_s1_,14
112,28217.4,3,7,4,direct,rf16_s1_,14
128,29133.6,3,8,4,direct,rf16_s1_,14
144,29745.8,4,8,4,direct,rf16_s1_,14
144,29745.8,4,8,4,direct,rf16_s1_,14
640,160955.3,3,7,8,direct,rf16_s1_,12
64,37670.4,0,3,8,direct,rf16_s1_,12
64,37670.4,0,3,8,direct,rf16_s1_,12
64,57782.4,0,1,8,direct,rf16_s1_,12
64,57782.4,0,1,8,direct,rf16_s1_,12
128,116494.2,0,0,8,direct,rf16_s1_,12
192,144458.3,0,1,8,direct,rf16_s1_,12
256,156952.9,0,2,8,direct,rf16_s1_,12
320,158919.9,1,3,8,direct,rf16_s1_,12
384,159074.0,2,4,8,direct,rf16_s1_,12
448,158840.4,2,5,8,direct,rf16_s1_,12
512,159363.5,3,6,8,direct,rf16_s1_,12
576,159797.8,3,6,8,direct,rf16_s1_,12
576,159797.8,3,6,8,direct,rf16_s1_,12
16,1879.3,4,12,4,direct,rf16_s2_,24
16,2278.3,4,6,4,direct,rf16_s2_,24
32,3652.7,3,7,4,direct,rf16_s2_,24
48,4761.8,4,9,4,direct,rf16_s2_,24
64,5878.9,5,13,4,direct,rf16_s2_,24
80,6050.0,6,19,4,direct,rf16_s2_,24
96,6717.9,7,28,4,direct,rf16_s2_,24
112,7234.7,8,35,4,direct,rf16_s2_,24
128,7090.1,9,106,4,direct,rf16_s2_,24
144,6871.1,10,105,4,direct,rf16_s2_,24
64,4978.9,5,29,8,direct,rf16_s2_,22
64,6015.9,3,9,8,direct,rf16_s2_,22
128,7226.0,5,181,8,direct,rf16_s2_,22
192,9176.9,7,179,8,direct,rf16_s2_,22
256,10924.3,9,161,8,direct,rf16_s2_,22
320,13374.1,10,137,8,direct,rf16_s2_,22
384,14933.8,12,131,8,direct,rf16_s2_,22
448,16954.7,13,123,8,direct,rf16_s2_,22
448,16954.7,13,123,8,direct,rf16_s2_,22
512,17602.6,17,121,8,direct,rf16_s2_,22
576,18361.5,17,124,8,direct,rf16_s2_,22
128,82117.4,0,2,16,direct,rf32_s1_,12
128,124989.3,0,1,16,direct,rf32_s1_,12
256,245337.2,0,1,16,direct,rf32_s1_,12
384,224561.6,0,2,16,direct,rf32_s1_,12
512,188609.2,1,5,16,direct,rf32_s1_,12
640,170552.8,2,7,16,direct,rf32_s1_,12
768,163288.1,3,10,16,direct,rf32_s1_,12
896,160124.6,4,12,16,direct,rf32_s1_,12
1024,153824.7,5,16,16,direct,rf32_s1_,12
1152,153755.5,6,18,16,direct,rf32_s1_,12
64,32314.7,0,3,8,direct,rf32_s1_,14
64,46210.4,0,2,8,direct,rf32_s1_,14
128,108799.9,0,1,8,direct,rf32_s1_,14
192,137861.9,0,1,8,direct,rf32_s1_,14
256,154060.9,0,2,8,direct,rf32_s1_,14
320,158772.1,1,3,8,direct,rf32_s1_,14
384,159680.7,2,4,8,direct,rf32_s1_,14
448,158886.4,2,5,8,direct,rf32_s1_,14
512,160040.3,2,6,8,direct,rf32_s1_,14
576,159978.1,3,6,8,direct,rf32_s1_,14
128,7250.2,6,118,16,direct,rf32_s2_,22
128,8007.0,4,119,16,direct,rf32_s2_,22
256,10527.1,6,207,16,direct,rf32_s2_,22
384,14277.2,6,186,16,direct,rf32_s2_,22
512,18320.5,7,168,16,direct,rf32_s2_,22
640,21648.2,8,162,16,direct,rf32_s2_,22
768,24964.7,11,150,16,direct,rf32_s2_,22
896,28315.6,11,143,16,direct,rf32_s2_,22
1024,30998.6,14,144,16,direct,rf32_s2_,22
1024,30998.6,14,144,16,direct,rf32_s2_,22
1152,32040.6,17,147,16,direct,rf32_s2_,22
64,3559.9,7,45,8,direct,rf32_s2_,24
64,4117.2,4,13,8,direct,rf32_s2_,24
128,5662.5,7,209,8,direct,rf32_s2_,24
192,6760.2,9,207,8,direct,rf32_s2_,24
192,6760.2,9,207,8,direct,rf32_s2_,24
256,7944.5,11,199,8,direct,rf32_s2_,24
320,8724.3,13,195,8,direct,rf32_s2_,24
384,9521.7,13,197,8,direct,rf32_s2_,24
448,11403.3,16,182,8,direct,rf32_s2_,24
512,11976.9,15,190,8,direct,rf32_s2_,24
576,13022.8,18,183,8,direct,rf32_s2_,24
8,6614.0,0,0,2,direct,rf4_s1__,12
8,7187.4,0,0,2,direct,rf4_s1__,12
16,14023.6,0,0,2,direct,rf4_s1__,12
16,14023.6,0,0,2,direct,rf4_s1__,12
24,13783.4,1,2,2,direct,rf4_s1__,12
32,11390.1,2,4,2,direct,rf4_s1__,12
40,10320.8,2,7,2,direct,rf4_s1__,12
48,9892.2,3,9,2,direct,rf4_s1__,12
56,10171.5,4,11,2,direct,rf4_s1__,12
64,10015.1,4,12,2,direct,rf4_s1__,12
72,10022.9,5,14,2,direct,rf4_s1__,12
8,1394.0,3,9,2,direct,rf4_s2__,22
8,1394.0,3,9,2,direct,rf4_s2__,22
8,1739.0,3,5,2,direct,rf4_s2__,22
16,3540.6,2,4,2,direct,rf4_s2__,22
24,5258.3,2,5,2,direct,rf4_s2__,22
32,6319.6,3,6,2,direct,rf4_s2__,22
40,6723.5,4,8,2,direct,rf4_s2__,22
48,6211.1,5,12,2,direct,rf4_s2__,22
56,6367.2,6,12,2,direct,rf4_s2__,22
56,6367.2,6,12,2,direct,rf4_s2__,22
64,5775.5,7,14,2,direct,rf4_s2__,22
72,5623.4,8,18,2,direct,rf4_s2__,22
128,0.0,0,0,16,direct,rf64_s1_,14
128,0.0,0,0,16,direct,rf64_s1_,14
256,0.0,0,0,16,direct,rf64_s1_,14
384,0.0,0,0,16,direct,rf64_s1_,14
512,0.0,0,0,16,direct,rf64_s1_,14
640,0.0,0,0,16,direct,rf64_s1_,14
768,0.0,0,0,16,direct,rf64_s1_,14
896,0.0,0,0,16,direct,rf64_s1_,14
1024,0.0,0,0,16,direct,rf64_s1_,14
1152,0.0,0,0,16,direct,rf64_s1_,14
128,0.0,0,0,16,direct,rf64_s2_,24
128,0.0,0,0,16,direct,rf64_s2_,24
256,0.0,0,0,16,direct,rf64_s2_,24
384,0.0,0,0,16,direct,rf64_s2_,24
512,0.0,0,0,16,direct,rf64_s2_,24
640,0.0,0,0,16,direct,rf64_s2_,24
768,0.0,0,0,16,direct,rf64_s2_,24
896,0.0,0,0,16,direct,rf64_s2_,24
1024,0.0,0,0,16,direct,rf64_s2_,24
1152,0.0,0,0,16,direct,rf64_s2_,24
8,3512.3,1,3,2,direct,rf8_s1__,14
8,4360.9,0,2,2,direct,rf8_s1__,14
16,10130.8,0,2,2,direct,rf8_s1__,14
24,13396.8,0,2,2,direct,rf8_s1__,14
32,12539.0,1,3,2,direct,rf8_s1__,14
40,11161.8,2,5,2,direct,rf8_s1__,14
48,10814.7,3,7,2,direct,rf8_s1__,14
56,10423.0,4,9,2,direct,rf8_s1__,14
64,10766.3,4,11,2,direct,rf8_s1__,14
72,10722.3,5,13,2,direct,rf8_s1__,14
16,8294.0,0,3,4,direct,rf8_s1__,12
16,11797.4,0,2,4,direct,rf8_s1__,12
32,26162.8,0,1,4,direct,rf8_s1__,12
48,30422.8,0,1,4,direct,rf8_s1__,12
64,28334.8,1,3,4,direct,rf8_s1__,12
80,27745.5,1,4,4,direct,rf8_s1__,12
96,27960.9,2,5,4,direct,rf8_s1__,12
96,27960.9,2,5,4,direct,rf8_s1__,12
112,29291.3,3,7,4,direct,rf8_s1__,12
128,29663.5,3,8,4,direct,rf8_s1__,12
144,30053.5,4,8,4,direct,rf8_s1__,12
8,2079.6,3,4,2,direct,rf8_s2__,24
8,2000.8,3,4,2,direct,rf8_s2__,24
16,2500.1,6,9,2,direct,rf8_s2__,24
24,2617.3,9,14,2,direct,rf8_s2__,24
32,2612.5,12,20,2,direct,rf8_s2__,24
40,2552.0,15,27,2,direct,rf8_s2__,24
48,2508.1,19,33,2,direct,rf8_s2__,24
56,2467.9,23,41,2,direct,rf8_s2__,24
56,2467.9,23,41,2,direct,rf8_s2__,24
64,2758.8,26,44,2,direct,rf8_s2__,24
72,2538.6,31,53,2,direct,rf8_s2__,24
16,2388.3,3,10,4,direct,rf8_s2__,22
16,2388.3,3,10,4,direct,rf8_s2__,22
16,2850.1,3,5,4,direct,rf8_s2__,22
32,4969.7,2,5,4,direct,rf8_s2__,22
48,7341.9,3,6,4,direct,rf8_s2__,22
64,8940.4,4,9,4,direct,rf8_s2__,22
80,8669.9,5,16,4,direct,rf8_s2__,22
96,9466.9,6,19,4,direct,rf8_s2__,22
112,9797.9,7,24,4,direct,rf8_s2__,22
128,8861.3,8,31,4,direct,rf8_s2__,22
144,9744.0,9,36,4,direct,rf8_s2__,22
