parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
64,37844.9,0,3,8,direct,rf16_s1_,12
64,57990.4,0,1,8,direct,rf16_s1_,12
128,117466.2,0,0,8,direct,rf16_s1_,12
192,144486.6,0,1,8,direct,rf16_s1_,12
256,159132.1,0,2,8,direct,rf16_s1_,12
320,159196.5,1,3,8,direct,rf16_s1_,12
384,159358.0,2,4,8,direct,rf16_s1_,12
448,159022.8,2,5,8,direct,rf16_s1_,12
512,159755.4,3,6,8,direct,rf16_s1_,12
576,139025.1,3,7,8,direct,rf16_s1_,12
64,4705.1,5,30,8,direct,rf16_s2_,22
64,5821.3,3,9,8,direct,rf16_s2_,22
128,7199.0,5,184,8,direct,rf16_s2_,22
192,9235.7,7,175,8,direct,rf16_s2_,22
192,9235.7,7,175,8,direct,rf16_s2_,22
256,11167.3,9,162,8,direct,rf16_s2_,22
320,13018.4,10,144,8,direct,rf16_s2_,22
384,15979.9,12,127,8,direct,rf16_s2_,22
448,16330.3,13,129,8,direct,rf16_s2_,22
448,16330.3,13,129,8,direct,rf16_s2_,22
512,18286.4,14,121,8,direct,rf16_s2_,22
576,17709.5,16,127,8,direct,rf16_s2_,22
128,83909.4,0,2,16,direct,rf32_s1_,12
128,125502.9,0,1,16,direct,rf32_s1_,12
256,245472.8,0,1,16,direct,rf32_s1_,12
384,233811.4,0,2,16,direct,rf32_s1_,12
384,233811.4,0,2,16,direct,rf32_s1_,12
512,191736.3,1,5,16,direct,rf32_s1_,12
640,170542.3,2,7,16,direct,rf32_s1_,12
768,165242.0,3,10,16,direct,rf32_s1_,12
896,160108.1,4,13,16,direct,rf32_s1_,12
896,160108.1,4,13,16,direct,rf32_s1_,12
1024,157789.7,5,15,16,direct,rf32_s1_,12
1152,154732.0,6,18,16,direct,rf32_s1_,12
64,32551.0,0,3,8,direct,rf32_s1_,14
64,46728.7,0,1,8,direct,rf32_s1_,14
128,105312.9,0,1,8,direct,rf32_s1_,14
192,140065.7,0,1,8,direct,rf32_s1_,14
256,152267.5,0,2,8,direct,rf32_s1_,14
320,157906.1,1,3,8,direct,rf32_s1_,14
384,158833.6,2,4,8,direct,rf32_s1_,14
448,159239.9,2,5,8,direct,rf32_s1_,14
512,160394.1,3,6,8,direct,rf32_s1_,14
576,160395.5,3,6,8,direct,rf32_s1_,14
128,7379.7,6,104,16,direct,rf32_s2_,22
128,8220.1,4,123,16,direct,rf32_s2_,22
256,10711.1,6,210,16,direct,rf32_s2_,22
384,14314.0,6,185,16,direct,rf32_s2_,22
512,18431.4,7,173,16,direct,rf32_s2_,22
512,18431.4,7,173,16,direct,rf32_s2_,22
640,21661.3,10,159,16,direct,rf32_s2_,22
768,25488.8,10,150,16,direct,rf32_s2_,22
896,27601.8,12,149,16,direct,rf32_s2_,22
896,27601.8,12,149,16,direct,rf32_s2_,22
1024,30602.9,16,145,16,direct,rf32_s2_,22
1152,31673.5,18,148,16,direct,rf32_s2_,22
64,3612.8,7,39,8,direct,rf32_s2_,24
64,4374.3,4,11,8,direct,rf32_s2_,24
128,6007.3,7,199,8,direct,rf32_s2_,24
192,6534.4,9,211,8,direct,rf32_s2_,24
256,7999.0,11,200,8,direct,rf32_s2_,24
320,8762.3,13,201,8,direct,rf32_s2_,24
384,10359.5,14,190,8,direct,rf32_s2_,24
448,11339.6,18,186,8,direct,rf32_s2_,24
512,12138.7,20,180,8,direct,rf32_s2_,24
576,14125.3,21,175,8,direct,rf32_s2_,24
128,46722.1,2,10,16,direct,rf64_s1_,14
128,68450.8,2,5,16,direct,rf64_s1_,14
128,68450.8,2,5,16,direct,rf64_s1_,14
256,151316.6,1,13,16,direct,rf64_s1_,14
384,198381.6,1,22,16,direct,rf64_s1_,14
512,222456.8,2,12,16,direct,rf64_s1_,14
640,226033.1,2,14,16,direct,rf64_s1_,14
768,226664.0,3,14,16,direct,rf64_s1_,14
896,227026.2,3,15,16,direct,rf64_s1_,14
1024,230461.1,4,19,16,direct,rf64_s1_,14
1152,223406.5,4,22,16,direct,rf64_s1_,14
128,4130.0,9,239,16,direct,rf64_s2_,24
128,5107.2,6,245,16,direct,rf64_s2_,24
256,7446.1,7,262,16,direct,rf64_s2_,24
384,11433.4,8,206,16,direct,rf64_s2_,24
512,13067.0,10,206,16,direct,rf64_s2_,24
640,15164.3,10,211,16,direct,rf64_s2_,24
768,17643.2,13,202,16,direct,rf64_s2_,24
896,19222.8,17,213,16,direct,rf64_s2_,24
1024,21114.5,20,198,16,direct,rf64_s2_,24
1152,22825.8,24,198,16,direct,rf64_s2_,24
