parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
128,67049.1,0,3,16,direct,rf64_s1_,14
128,99086.6,0,1,16,direct,rf64_s1_,14
256,226317.9,0,1,16,direct,rf64_s1_,14
384,230757.3,0,2,16,direct,rf64_s1_,14
512,197663.4,1,4,16,direct,rf64_s1_,14
640,174631.3,2,7,16,direct,rf64_s1_,14
768,167093.8,3,10,16,direct,rf64_s1_,14
768,167093.8,3,10,16,direct,rf64_s1_,14
896,158198.1,4,13,16,direct,rf64_s1_,14
1024,158492.7,5,15,16,direct,rf64_s1_,14
1152,156371.2,6,18,16,direct,rf64_s1_,14
1152,156371.2,6,18,16,direct,rf64_s1_,14
