parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
16,7292.5,1,3,4,direct,rf16_s1_,14
16,9572.9,0,2,4,direct,rf16_s1_,14
32,20660.1,0,2,4,direct,rf16_s1_,14
48,28369.6,0,1,4,direct,rf16_s1_,14
64,27782.6,1,3,4,direct,rf16_s1_,14
64,27782.6,1,3,4,direct,rf16_s1_,14
80,27317.5,2,4,4,direct,rf16_s1_,14
96,27902.1,2,5,4,direct,rf16_s1_,14
112,28582.0,3,7,4,direct,rf16_s1_,14
128,29238.0,3,8,4,direct,rf16_s1_,14
64,37842.5,0,3,8,direct,rf16_s1_,12
64,56089.7,0,1,8,direct,rf16_s1_,12
128,119748.7,0,0,8,direct,rf16_s1_,12
192,142021.8,0,1,8,direct,rf16_s1_,12
256,158404.6,0,2,8,direct,rf16_s1_,12
320,159040.0,1,3,8,direct,rf16_s1_,12
384,157208.3,1,4,8,direct,rf16_s1_,12
448,151941.5,2,5,8,direct,rf16_s1_,12
512,159819.5,2,6,8,direct,rf16_s1_,12
16,1970.3,4,12,4,direct,rf16_s2_,24
16,2236.1,4,6,4,direct,rf16_s2_,24
32,3838.9,3,7,4,direct,rf16_s2_,24
48,4962.2,4,9,4,direct,rf16_s2_,24
64,5830.6,5,13,4,direct,rf16_s2_,24
80,6190.1,6,19,4,direct,rf16_s2_,24
80,6190.1,6,19,4,direct,rf16_s2_,24
96,6541.9,7,29,4,direct,rf16_s2_,24
112,6618.7,8,58,4,direct,rf16_s2_,24
128,7860.5,9,60,4,direct,rf16_s2_,24
64,4905.3,6,27,8,direct,rf16_s2_,22
64,5784.5,3,10,8,direct,rf16_s2_,22
128,7889.1,5,78,8,direct,rf16_s2_,22
192,10146.3,7,157,8,direct,rf16_s2_,22
256,11729.6,9,146,8,direct,rf16_s2_,22
256,11729.6,9,146,8,direct,rf16_s2_,22
320,13692.2,10,130,8,direct,rf16_s2_,22
320,13692.2,10,130,8,direct,rf16_s2_,22
384,15995.5,12,123,8,direct,rf16_s2_,22
448,15961.8,14,119,8,direct,rf16_s2_,22
512,18558.9,14,119,8,direct,rf16_s2_,22
512,18558.9,14,119,8,direct,rf16_s2_,22
128,83377.3,0,2,16,direct,rf32_s1_,12
128,124169.8,0,1,16,direct,rf32_s1_,12
256,232067.5,0,1,16,direct,rf32_s1_,12
256,232067.5,0,1,16,direct,rf32_s1_,12
384,221760.6,0,2,16,direct,rf32_s1_,12
512,178740.5,1,4,16,direct,rf32_s1_,12
640,172891.4,2,7,16,direct,rf32_s1_,12
768,163344.8,3,10,16,direct,rf32_s1_,12
896,160334.3,4,12,16,direct,rf32_s1_,12
1024,155069.3,5,15,16,direct,rf32_s1_,12
64,32289.2,0,3,8,direct,rf32_s1_,14
64,45971.1,0,2,8,direct,rf32_s1_,14
128,106641.4,0,1,8,direct,rf32_s1_,14
192,140306.7,0,1,8,direct,rf32_s1_,14
192,140306.7,0,1,8,direct,rf32_s1_,14
256,153429.8,0,2,8,direct,rf32_s1_,14
320,158983.3,1,3,8,direct,rf32_s1_,14
384,158521.1,2,4,8,direct,rf32_s1_,14
384,158521.1,2,4,8,direct,rf32_s1_,14
448,159575.5,2,5,8,direct,rf32_s1_,14
512,159234.3,3,6,8,direct,rf32_s1_,14
128,6710.1,6,151,16,direct,rf32_s2_,22
128,8288.1,4,119,16,direct,rf32_s2_,22
256,10300.9,5,205,16,direct,rf32_s2_,22
256,10300.9,5,205,16,direct,rf32_s2_,22
384,14066.5,6,187,16,direct,rf32_s2_,22
512,17580.4,7,177,16,direct,rf32_s2_,22
640,22230.7,9,159,16,direct,rf32_s2_,22
768,24817.1,11,148,16,direct,rf32_s2_,22
896,27533.5,13,148,16,direct,rf32_s2_,22
896,27533.5,13,148,16,direct,rf32_s2_,22
1024,29345.5,15,148,16,direct,rf32_s2_,22
64,3704.0,7,36,8,direct,rf32_s2_,24
64,4145.1,4,13,8,direct,rf32_s2_,24
128,5447.9,7,204,8,direct,rf32_s2_,24
192,6518.0,9,207,8,direct,rf32_s2_,24
256,7588.6,11,207,8,direct,rf32_s2_,24
320,8244.5,12,206,8,direct,rf32_s2_,24
384,9581.9,13,195,8,direct,rf32_s2_,24
448,10812.3,15,197,8,direct,rf32_s2_,24
512,11455.8,19,189,8,direct,rf32_s2_,24
8,6687.0,0,0,2,direct,rf4_s1__,12
8,6687.0,0,0,2,direct,rf4_s1__,12
8,7184.1,0,0,2,direct,rf4_s1__,12
16,13600.0,0,0,2,direct,rf4_s1__,12
24,13836.9,1,2,2,direct,rf4_s1__,12
24,13836.9,1,2,2,direct,rf4_s1__,12
32,11145.7,1,4,2,direct,rf4_s1__,12
40,10271.0,2,7,2,direct,rf4_s1__,12
48,10075.6,3,9,2,direct,rf4_s1__,12
56,9991.2,4,11,2,direct,rf4_s1__,12
64,9933.7,4,13,2,direct,rf4_s1__,12
8,1414.6,3,8,2,direct,rf4_s2__,22
8,1689.8,3,5,2,direct,rf4_s2__,22
16,3547.2,2,4,2,direct,rf4_s2__,22
24,4991.7,2,5,2,direct,rf4_s2__,22
32,6267.8,3,6,2,direct,rf4_s2__,22
40,6552.8,4,8,2,direct,rf4_s2__,22
48,6516.2,5,10,2,direct,rf4_s2__,22
48,6516.2,5,10,2,direct,rf4_s2__,22
56,6111.8,6,13,2,direct,rf4_s2__,22
64,6469.6,7,15,2,direct,rf4_s2__,22
128,67059.5,0,3,16,direct,rf64_s1_,14
128,100703.9,0,1,16,direct,rf64_s1_,14
256,229358.4,0,1,16,direct,rf64_s1_,14
384,229205.6,0,2,16,direct,rf64_s1_,14
512,194262.9,1,4,16,direct,rf64_s1_,14
640,173496.6,2,7,16,direct,rf64_s1_,14
768,158464.5,3,9,16,direct,rf64_s1_,14
896,160330.4,4,12,16,direct,rf64_s1_,14
1024,118622.8,5,15,16,direct,rf64_s1_,14
128,3854.7,10,244,16,direct,rf64_s2_,24
128,4550.0,7,256,16,direct,rf64_s2_,24
256,7213.4,7,255,16,direct,rf64_s2_,24
384,10609.9,9,209,16,direct,rf64_s2_,24
512,12896.3,10,199,16,direct,rf64_s2_,24
640,15031.2,12,204,16,direct,rf64_s2_,24
768,16358.5,14,208,16,direct,rf64_s2_,24
896,18386.3,19,205,16,direct,rf64_s2_,24
1024,19401.6,21,205,16,direct,rf64_s2_,24
1024,19401.6,21,205,16,direct,rf64_s2_,24
8,3789.0,1,3,2,direct,rf8_s1__,14
8,4544.1,0,2,2,direct,rf8_s1__,14
8,4544.1,0,2,2,direct,rf8_s1__,14
16,9672.7,0,2,2,direct,rf8_s1__,14
24,13179.7,0,2,2,direct,rf8_s1__,14
32,12831.6,1,3,2,direct,rf8_s1__,14
40,11441.7,2,5,2,direct,rf8_s1__,14
40,11441.7,2,5,2,direct,rf8_s1__,14
48,10482.5,3,8,2,direct,rf8_s1__,14
56,10578.4,4,10,2,direct,rf8_s1__,14
64,10660.5,4,11,2,direct,rf8_s1__,14
16,8193.8,0,3,4,direct,rf8_s1__,12
16,12003.6,0,2,4,direct,rf8_s1__,12
32,24237.8,0,1,4,direct,rf8_s1__,12
48,30267.8,0,1,4,direct,rf8_s1__,12
64,27849.7,1,3,4,direct,rf8_s1__,12
64,27849.7,1,3,4,direct,rf8_s1__,12
80,28068.7,1,4,4,direct,rf8_s1__,12
96,27857.0,2,5,4,direct,rf8_s1__,12
112,29399.1,3,6,4,direct,rf8_s1__,12
128,29774.4,3,8,4,direct,rf8_s1__,12
8,1816.3,3,5,2,direct,rf8_s2__,24
8,1759.5,4,5,2,direct,rf8_s2__,24
16,2196.6,7,11,2,direct,rf8_s2__,24
24,2317.0,11,17,2,direct,rf8_s2__,24
24,2317.0,11,17,2,direct,rf8_s2__,24
32,2351.1,15,24,2,direct,rf8_s2__,24
32,2351.1,15,24,2,direct,rf8_s2__,24
40,2439.3,18,31,2,direct,rf8_s2__,24
40,2439.3,18,31,2,direct,rf8_s2__,24
48,2487.8,22,38,2,direct,rf8_s2__,24
56,2279.6,27,48,2,direct,rf8_s2__,24
64,2242.1,32,56,2,direct,rf8_s2__,24
16,2425.1,3,10,4,direct,rf8_s2__,22
16,2922.1,3,5,4,direct,rf8_s2__,22
32,5320.2,2,5,4,direct,rf8_s2__,22
48,7359.4,3,6,4,direct,rf8_s2__,22
64,8505.2,3,9,4,direct,rf8_s2__,22
80,9770.4,4,12,4,direct,rf8_s2__,22
96,10095.5,6,15,4,direct,rf8_s2__,22
112,10385.9,7,20,4,direct,rf8_s2__,22
128,10172.0,8,26,4,direct,rf8_s2__,22
