parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
112,138503.8,1,2,8,direct,rf16_s1_,12
128,145099.7,1,2,8,direct,rf16_s1_,12
144,172339.3,1,2,8,direct,rf16_s1_,12
160,176201.4,1,3,8,direct,rf16_s1_,12
16,19273.7,0,3,8,direct,rf16_s1_,12
176,179575.7,1,3,8,direct,rf16_s1_,12
192,181078.3,1,4,8,direct,rf16_s1_,12
208,196994.7,1,4,8,direct,rf16_s1_,12
224,210770.9,1,4,8,direct,rf16_s1_,12
240,217019.7,1,5,8,direct,rf16_s1_,12
256,223332.3,1,5,8,direct,rf16_s1_,12
32,37306.3,0,2,8,direct,rf16_s1_,12
48,70341.5,0,1,8,direct,rf16_s1_,12
64,78977.1,0,2,8,direct,rf16_s1_,12
80,97219.8,1,2,8,direct,rf16_s1_,12
96,105701.5,1,2,8,direct,rf16_s1_,12
112,13569.2,8,110,8,direct,rf16_s2_,22
128,15823.7,9,97,8,direct,rf16_s2_,22
144,16134.0,9,99,8,direct,rf16_s2_,22
160,16160.0,10,103,8,direct,rf16_s2_,22
16,3421.9,4,15,8,direct,rf16_s2_,22
176,16641.2,11,104,8,direct,rf16_s2_,22
192,18287.1,12,102,8,direct,rf16_s2_,22
208,17688.7,14,111,8,direct,rf16_s2_,22
224,18118.5,13,114,8,direct,rf16_s2_,22
240,19180.0,15,110,8,direct,rf16_s2_,22
256,18855.5,15,121,8,direct,rf16_s2_,22
32,5869.5,3,10,8,direct,rf16_s2_,22
48,6220.2,4,39,8,direct,rf16_s2_,22
64,9050.9,5,41,8,direct,rf16_s2_,22
80,9782.0,6,144,8,direct,rf16_s2_,22
96,11988.9,7,120,8,direct,rf16_s2_,22
112,6715.5,15,169,8,direct,rf16_s4_,42
128,7152.4,17,164,8,direct,rf16_s4_,42
144,7637.9,18,157,8,direct,rf16_s4_,42
160,8032.8,20,161,8,direct,rf16_s4_,42
16,2032.1,6,28,8,direct,rf16_s4_,42
176,8828.2,22,154,8,direct,rf16_s4_,42
192,9677.2,23,149,8,direct,rf16_s4_,42
208,10488.9,26,151,8,direct,rf16_s4_,42
224,10869.2,28,148,8,direct,rf16_s4_,42
240,10357.6,32,158,8,direct,rf16_s4_,42
256,10374.3,32,162,8,direct,rf16_s4_,42
32,3510.2,5,98,8,direct,rf16_s4_,42
48,4479.3,7,192,8,direct,rf16_s4_,42
64,5264.7,9,186,8,direct,rf16_s4_,42
80,5637.8,11,188,8,direct,rf16_s4_,42
96,6372.6,13,169,8,direct,rf16_s4_,42
112,137018.9,1,2,16,direct,rf32_s1_,12
128,145971.9,1,2,16,direct,rf32_s1_,12
144,179941.4,1,2,16,direct,rf32_s1_,12
