parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
1024,181827.1,1,15,8,direct,rf16_s1_,12
1152,174285.6,1,18,8,direct,rf16_s1_,12
1280,113520.7,1,17,8,direct,rf16_s1_,12
128,58733.4,0,4,8,direct,rf16_s1_,12
1408,132335.6,1,14,8,direct,rf16_s1_,12
1536,129627.8,1,17,8,direct,rf16_s1_,12
256,142548.1,0,2,8,direct,rf16_s1_,12
384,180826.8,0,3,8,direct,rf16_s1_,12
512,197718.1,1,6,8,direct,rf16_s1_,12
640,207775.0,1,10,8,direct,rf16_s1_,12
768,212019.7,1,12,8,direct,rf16_s1_,12
896,158342.0,2,21,8,direct,rf16_s1_,12
1024,419642.2,1,6,16,direct,rf32_s1_,12
1152,422848.3,1,7,16,direct,rf32_s1_,12
1280,428742.5,1,9,16,direct,rf32_s1_,12
128,59089.8,1,3,16,direct,rf32_s1_,12
1408,0.0,0,0,16,direct,rf32_s1_,12
1536,430268.0,1,12,16,direct,rf32_s1_,12
256,143939.1,0,2,16,direct,rf32_s1_,12
384,223995.7,0,2,16,direct,rf32_s1_,12
512,297653.4,0,2,16,direct,rf32_s1_,12
640,338229.6,0,3,16,direct,rf32_s1_,12
768,362842.3,1,4,16,direct,rf32_s1_,12
896,410169.6,1,5,16,direct,rf32_s1_,12
1024,53059.0,4,77,2,direct,rf4_s1__,12
1152,53232.5,4,92,2,direct,rf4_s1__,12
1280,53735.5,5,99,2,direct,rf4_s1__,12
128,22790.1,1,19,2,direct,rf4_s1__,12
1408,53103.9,6,117,2,direct,rf4_s1__,12
1536,22140.7,3,87,2,direct,rf4_s1__,12
256,48035.5,2,19,2,direct,rf4_s1__,12
384,49395.1,2,29,2,direct,rf4_s1__,12
512,51958.1,2,39,2,direct,rf4_s1__,12
640,52889.0,3,46,2,direct,rf4_s1__,12
768,53856.5,3,56,2,direct,rf4_s1__,12
896,52988.2,4,74,2,direct,rf4_s1__,12
1024,101710.0,2,41,4,direct,rf8_s1__,12
1152,102660.5,3,45,4,direct,rf8_s1__,12
1280,99646.0,3,51,4,direct,rf8_s1__,12
128,45714.2,0,7,4,direct,rf8_s1__,12
1408,99863.2,3,58,4,direct,rf8_s1__,12
1536,101997.3,3,60,4,direct,rf8_s1__,12
256,92940.9,1,7,4,direct,rf8_s1__,12
384,94978.9,1,13,4,direct,rf8_s1__,12
512,102178.4,1,19,4,direct,rf8_s1__,12
640,102046.1,2,25,4,direct,rf8_s1__,12
768,100219.6,2,31,4,direct,rf8_s1__,12
896,106207.3,2,34,4,direct,rf8_s1__,12
