parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
1024,148948.6,1,20,8,direct,rf16_s1_,12
1152,178747.7,1,18,8,direct,rf16_s1_,12
1280,102647.9,1,18,8,direct,rf16_s1_,12
128,56403.9,0,4,8,direct,rf16_s1_,12
1408,131942.0,1,15,8,direct,rf16_s1_,12
1536,132246.4,1,16,8,direct,rf16_s1_,12
256,142669.5,0,2,8,direct,rf16_s1_,12
384,179927.7,0,3,8,direct,rf16_s1_,12
512,194263.4,1,6,8,direct,rf16_s1_,12
640,206954.6,1,10,8,direct,rf16_s1_,12
768,208529.0,1,13,8,direct,rf16_s1_,12
896,205216.6,1,16,8,direct,rf16_s1_,12
1024,21322.3,28,201,8,direct,rf16_s2_,22
1152,21746.4,31,210,8,direct,rf16_s2_,22
1280,22824.7,39,210,8,direct,rf16_s2_,22
128,5905.0,10,69,8,direct,rf16_s2_,22
1408,22893.7,35,240,8,direct,rf16_s2_,22
1536,23011.2,39,253,8,direct,rf16_s2_,22
256,9542.8,9,253,8,direct,rf16_s2_,22
384,10333.5,13,325,8,direct,rf16_s2_,22
512,12542.6,15,271,8,direct,rf16_s2_,22
640,15468.4,17,232,8,direct,rf16_s2_,22
768,17888.7,19,213,8,direct,rf16_s2_,22
896,20188.9,23,197,8,direct,rf16_s2_,22
1024,4429.1,31,234,8,direct,rf16_s4_,42
1152,5244.5,34,188,8,direct,rf16_s4_,42
1280,5613.7,38,177,8,direct,rf16_s4_,42
128,2476.0,21,314,8,direct,rf16_s4_,42
1408,6440.8,39,165,8,direct,rf16_s4_,42
1536,7037.2,42,150,8,direct,rf16_s4_,42
256,4275.8,16,306,8,direct,rf16_s4_,42
384,4682.5,23,348,8,direct,rf16_s4_,42
512,6396.0,28,294,8,direct,rf16_s4_,42
640,3700.6,30,325,8,direct,rf16_s4_,42
768,3081.6,29,289,8,direct,rf16_s4_,42
896,3566.8,29,269,8,direct,rf16_s4_,42
1024,416765.8,1,6,16,direct,rf32_s1_,12
1152,420159.2,1,8,16,direct,rf32_s1_,12
1280,426072.9,1,9,16,direct,rf32_s1_,12
128,61190.6,0,3,16,direct,rf32_s1_,12
1408,429962.9,1,11,16,direct,rf32_s1_,12
1536,294994.1,1,14,16,direct,rf32_s1_,12
256,146949.7,0,2,16,direct,rf32_s1_,12
384,225522.8,0,2,16,direct,rf32_s1_,12
512,301020.8,0,2,16,direct,rf32_s1_,12
640,341638.1,0,3,16,direct,rf32_s1_,12
768,362689.9,1,4,16,direct,rf32_s1_,12
896,405799.6,1,5,16,direct,rf32_s1_,12
1024,26973.4,12,199,16,direct,rf32_s2_,22
1152,28473.8,13,201,16,direct,rf32_s2_,22
