parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
1024,188864.2,1,6,8,direct,rf16_s1_,12
1152,187180.0,1,6,8,direct,rf16_s1_,12
1280,192365.6,1,6,8,direct,rf16_s1_,12
128,47421.2,1,4,8,direct,rf16_s1_,12
1408,189539.7,1,6,8,direct,rf16_s1_,12
1536,189260.4,2,6,8,direct,rf16_s1_,12
256,99920.1,1,4,8,direct,rf16_s1_,12
384,145400.6,1,4,8,direct,rf16_s1_,12
512,171203.6,1,4,8,direct,rf16_s1_,12
640,186742.5,1,5,8,direct,rf16_s1_,12
768,187370.5,2,5,8,direct,rf16_s1_,12
896,188909.0,2,5,8,direct,rf16_s1_,12
1024,322098.4,2,5,16,direct,rf32_s1_,12
1152,357479.8,1,5,16,direct,rf32_s1_,12
1280,359991.8,1,5,16,direct,rf32_s1_,12
128,48895.0,1,4,16,direct,rf32_s1_,12
1408,359744.9,1,5,16,direct,rf32_s1_,12
1536,362366.3,2,5,16,direct,rf32_s1_,12
256,100254.0,1,4,16,direct,rf32_s1_,12
384,147068.0,1,4,16,direct,rf32_s1_,12
512,196445.1,1,4,16,direct,rf32_s1_,12
640,254398.5,1,4,16,direct,rf32_s1_,12
768,285584.4,2,5,16,direct,rf32_s1_,12
896,318365.3,2,5,16,direct,rf32_s1_,12
1024,50237.3,2,47,2,direct,rf4_s1__,12
1152,49254.2,2,72,2,direct,rf4_s1__,12
1280,52767.5,2,64,2,direct,rf4_s1__,12
128,35743.9,1,7,2,direct,rf4_s1__,12
1408,50386.5,3,120,2,direct,rf4_s1__,12
1536,51165.8,3,170,2,direct,rf4_s1__,12
256,48797.0,1,5,2,direct,rf4_s1__,12
384,47918.2,1,6,2,direct,rf4_s1__,12
512,48599.4,2,7,2,direct,rf4_s1__,12
640,47394.9,2,10,2,direct,rf4_s1__,12
768,48752.1,2,17,2,direct,rf4_s1__,12
896,50659.0,2,27,2,direct,rf4_s1__,12
1024,95228.6,2,8,4,direct,rf8_s1__,12
1152,95860.1,2,10,4,direct,rf8_s1__,12
1280,97372.8,2,9,4,direct,rf8_s1__,12
128,46324.3,1,5,4,direct,rf8_s1__,12
1408,97497.3,2,12,4,direct,rf8_s1__,12
1536,98284.6,2,18,4,direct,rf8_s1__,12
256,84837.7,1,4,4,direct,rf8_s1__,12
384,92611.0,1,5,4,direct,rf8_s1__,12
512,92996.7,1,6,4,direct,rf8_s1__,12
640,94607.7,1,6,4,direct,rf8_s1__,12
768,92629.6,2,8,4,direct,rf8_s1__,12
896,94930.7,2,8,4,direct,rf8_s1__,12
