parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
16,7296.8,1,3,4,direct,rf16_s1_,14
32,18482.5,0,2,4,direct,rf16_s1_,14
48,27260.8,0,2,4,direct,rf16_s1_,14
64,27565.3,1,3,4,direct,rf16_s1_,14
64,27565.3,1,3,4,direct,rf16_s1_,14
80,26565.8,2,4,4,direct,rf16_s1_,14
16,1850.0,4,13,4,direct,rf16_s2_,24
32,3433.3,4,9,4,direct,rf16_s2_,24
48,4356.7,5,11,4,direct,rf16_s2_,24
64,4834.1,6,19,4,direct,rf16_s2_,24
80,5223.6,7,31,4,direct,rf16_s2_,24
8,3715.2,1,3,2,direct,rf4_s1__,12
16,10861.8,0,1,2,direct,rf4_s1__,12
24,14288.2,0,2,2,direct,rf4_s1__,12
32,12649.5,1,3,2,direct,rf4_s1__,12
40,11370.2,2,5,2,direct,rf4_s1__,12
8,1286.7,4,10,2,direct,rf4_s2__,22
16,2881.8,3,6,2,direct,rf4_s2__,22
24,4212.6,3,6,2,direct,rf4_s2__,22
32,4685.5,4,9,2,direct,rf4_s2__,22
40,5073.9,5,12,2,direct,rf4_s2__,22
8,3641.8,1,3,2,direct,rf8_s1__,14
16,8821.4,0,2,2,direct,rf8_s1__,14
24,13013.9,0,2,2,direct,rf8_s1__,14
32,12532.6,1,3,2,direct,rf8_s1__,14
40,11496.7,2,5,2,direct,rf8_s1__,14
16,7920.7,1,3,4,direct,rf8_s1__,12
32,22620.0,0,1,4,direct,rf8_s1__,12
48,29785.3,0,1,4,direct,rf8_s1__,12
64,28580.5,1,3,4,direct,rf8_s1__,12
80,27304.7,2,4,4,direct,rf8_s1__,12
8,1111.7,4,9,2,direct,rf8_s2__,24
16,2629.3,3,6,2,direct,rf8_s2__,24
24,3680.7,4,7,2,direct,rf8_s2__,24
24,3680.7,4,7,2,direct,rf8_s2__,24
32,3835.5,5,10,2,direct,rf8_s2__,24
40,3710.9,5,13,2,direct,rf8_s2__,24
16,2263.6,4,11,4,direct,rf8_s2__,22
32,4395.9,3,7,4,direct,rf8_s2__,22
48,5623.6,4,9,4,direct,rf8_s2__,22
64,6350.5,5,13,4,direct,rf8_s2__,22
80,7224.2,6,18,4,direct,rf8_s2__,22
80,7224.2,6,18,4,direct,rf8_s2__,22
