parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
176,30291.8,5,11,4,direct,rf16_s1_,14
192,30322.8,5,12,4,direct,rf16_s1_,14
208,30235.1,6,13,4,direct,rf16_s1_,14
224,30395.2,6,15,4,direct,rf16_s1_,14
240,30359.6,7,16,4,direct,rf16_s1_,14
16,7043.9,1,3,4,direct,rf16_s1_,14
16,9035.0,0,3,4,direct,rf16_s1_,14
32,20249.8,0,2,4,direct,rf16_s1_,14
48,27872.7,0,2,4,direct,rf16_s1_,14
64,27875.8,1,3,4,direct,rf16_s1_,14
80,27061.3,2,4,4,direct,rf16_s1_,14
96,27860.3,2,5,4,direct,rf16_s1_,14
112,27952.6,3,7,4,direct,rf16_s1_,14
128,29024.6,3,8,4,direct,rf16_s1_,14
144,29618.5,4,8,4,direct,rf16_s1_,14
176,7101.2,13,114,4,direct,rf16_s2_,24
192,7216.2,14,118,4,direct,rf16_s2_,24
208,7325.0,14,121,4,direct,rf16_s2_,24
224,7596.9,16,117,4,direct,rf16_s2_,24
240,7583.0,17,123,4,direct,rf16_s2_,24
16,1849.3,4,13,4,direct,rf16_s2_,24
16,2250.2,4,7,4,direct,rf16_s2_,24
32,3683.3,3,8,4,direct,rf16_s2_,24
48,4591.2,5,11,4,direct,rf16_s2_,24
48,4591.2,5,11,4,direct,rf16_s2_,24
64,5041.9,6,16,4,direct,rf16_s2_,24
80,5523.0,7,26,4,direct,rf16_s2_,24
96,5998.7,8,39,4,direct,rf16_s2_,24
112,5952.9,9,77,4,direct,rf16_s2_,24
128,6289.1,10,112,4,direct,rf16_s2_,24
144,7110.4,11,108,4,direct,rf16_s2_,24
88,11004.2,6,16,2,direct,rf4_s1__,12
96,10982.2,6,17,2,direct,rf4_s1__,12
104,10949.0,7,19,2,direct,rf4_s1__,12
112,10981.5,8,20,2,direct,rf4_s1__,12
120,10998.8,8,22,2,direct,rf4_s1__,12
8,3718.8,1,3,2,direct,rf4_s1__,12
8,5344.2,0,2,2,direct,rf4_s1__,12
16,12000.5,0,1,2,direct,rf4_s1__,12
24,14017.9,0,1,2,direct,rf4_s1__,12
24,14017.9,0,1,2,direct,rf4_s1__,12
32,12621.8,1,3,2,direct,rf4_s1__,12
40,11481.5,2,5,2,direct,rf4_s1__,12
48,10735.0,3,8,2,direct,rf4_s1__,12
56,10701.8,4,10,2,direct,rf4_s1__,12
64,10715.9,4,11,2,direct,rf4_s1__,12
72,10698.4,5,13,2,direct,rf4_s1__,12
88,5225.1,12,38,2,direct,rf4_s2__,22
96,5372.3,12,41,2,direct,rf4_s2__,22
104,5126.1,14,52,2,direct,rf4_s2__,22
112,5303.0,14,57,2,direct,rf4_s2__,22
120,5261.9,15,66,2,direct,rf4_s2__,22
8,1305.5,3,10,2,direct,rf4_s2__,22
8,1685.2,3,5,2,direct,rf4_s2__,22
16,3216.7,3,5,2,direct,rf4_s2__,22
24,3973.4,3,6,2,direct,rf4_s2__,22
32,5082.9,4,8,2,direct,rf4_s2__,22
40,4546.7,5,11,2,direct,rf4_s2__,22
48,4533.2,6,15,2,direct,rf4_s2__,22
48,4533.2,6,15,2,direct,rf4_s2__,22
56,4966.3,8,20,2,direct,rf4_s2__,22
64,5205.3,8,23,2,direct,rf4_s2__,22
64,5205.3,8,23,2,direct,rf4_s2__,22
72,5292.0,9,26,2,direct,rf4_s2__,22
88,10854.3,6,16,2,direct,rf8_s1__,14
96,11037.5,6,17,2,direct,rf8_s1__,14
104,10914.1,7,19,2,direct,rf8_s1__,14
112,10982.8,8,21,2,direct,rf8_s1__,14
120,10968.7,8,22,2,direct,rf8_s1__,14
120,10968.7,8,22,2,direct,rf8_s1__,14
8,3381.9,1,3,2,direct,rf8_s1__,14
8,4233.0,0,3,2,direct,rf8_s1__,14
16,9655.7,0,2,2,direct,rf8_s1__,14
16,9655.7,0,2,2,direct,rf8_s1__,14
24,13691.2,0,2,2,direct,rf8_s1__,14
32,12497.4,1,3,2,direct,rf8_s1__,14
40,10985.7,2,6,2,direct,rf8_s1__,14
48,10647.0,3,8,2,direct,rf8_s1__,14
56,10483.0,4,9,2,direct,rf8_s1__,14
64,10677.4,4,11,2,direct,rf8_s1__,14
72,10760.1,5,12,2,direct,rf8_s1__,14
176,30130.0,5,11,4,direct,rf8_s1__,12
192,30235.4,5,12,4,direct,rf8_s1__,12
208,30306.4,6,13,4,direct,rf8_s1__,12
224,30349.1,6,15,4,direct,rf8_s1__,12
240,30260.2,7,16,4,direct,rf8_s1__,12
16,8076.7,0,3,4,direct,rf8_s1__,12
16,11453.3,0,2,4,direct,rf8_s1__,12
32,24773.3,0,1,4,direct,rf8_s1__,12
48,30127.0,0,1,4,direct,rf8_s1__,12
64,27950.7,1,3,4,direct,rf8_s1__,12
80,27465.1,2,4,4,direct,rf8_s1__,12
96,27790.1,2,5,4,direct,rf8_s1__,12
112,29182.3,3,7,4,direct,rf8_s1__,12
128,29463.4,3,8,4,direct,rf8_s1__,12
144,29932.5,4,8,4,direct,rf8_s1__,12
88,4958.3,12,39,2,direct,rf8_s2__,24
96,4403.9,12,48,2,direct,rf8_s2__,24
104,5320.1,13,48,2,direct,rf8_s2__,24
112,3878.2,14,53,2,direct,rf8_s2__,24
120,5092.2,16,67,2,direct,rf8_s2__,24
8,1224.8,4,9,2,direct,rf8_s2__,24
8,1574.0,3,5,2,direct,rf8_s2__,24
16,2892.8,3,5,2,direct,rf8_s2__,24
24,3893.2,3,7,2,direct,rf8_s2__,24
32,4335.7,4,9,2,direct,rf8_s2__,24
40,4661.2,5,11,2,direct,rf8_s2__,24
48,4211.5,7,14,2,direct,rf8_s2__,24
56,4679.5,8,21,2,direct,rf8_s2__,24
64,4916.8,9,23,2,direct,rf8_s2__,24
72,4815.5,10,29,2,direct,rf8_s2__,24
72,4815.5,10,29,2,direct,rf8_s2__,24
176,7583.5,11,83,4,direct,rf8_s2__,22
192,7538.1,12,91,4,direct,rf8_s2__,22
208,8996.5,13,94,4,direct,rf8_s2__,22
224,8298.4,14,97,4,direct,rf8_s2__,22
240,8651.6,15,107,4,direct,rf8_s2__,22
16,2024.0,4,12,4,direct,rf8_s2__,22
16,2782.8,3,6,4,direct,rf8_s2__,22
32,4366.8,3,6,4,direct,rf8_s2__,22
48,6320.9,3,8,4,direct,rf8_s2__,22
64,7173.3,5,13,4,direct,rf8_s2__,22
80,7567.0,6,21,4,direct,rf8_s2__,22
96,7762.7,7,30,4,direct,rf8_s2__,22
112,8047.7,8,38,4,direct,rf8_s2__,22
128,8480.6,8,52,4,direct,rf8_s2__,22
144,8359.2,9,76,4,direct,rf8_s2__,22
