parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
176,30216.5,5,11,4,direct,rf16_s1_,14
192,30101.6,5,12,4,direct,rf16_s1_,14
208,30460.6,6,13,4,direct,rf16_s1_,14
224,30442.5,6,15,4,direct,rf16_s1_,14
240,30420.9,7,16,4,direct,rf16_s1_,14
16,7179.7,1,3,4,direct,rf16_s1_,14
16,9127.3,0,2,4,direct,rf16_s1_,14
32,21032.5,0,2,4,direct,rf16_s1_,14
48,29083.7,0,1,4,direct,rf16_s1_,14
64,27726.2,1,3,4,direct,rf16_s1_,14
80,26591.3,2,4,4,direct,rf16_s1_,14
96,27957.4,2,5,4,direct,rf16_s1_,14
112,28175.2,3,7,4,direct,rf16_s1_,14
128,29190.4,3,8,4,direct,rf16_s1_,14
128,29190.4,3,8,4,direct,rf16_s1_,14
144,29584.9,4,9,4,direct,rf16_s1_,14
704,148861.5,2,14,8,direct,rf16_s1_,12
768,150726.8,3,16,8,direct,rf16_s1_,12
832,148676.2,3,19,8,direct,rf16_s1_,12
896,150868.0,3,19,8,direct,rf16_s1_,12
896,150868.0,3,19,8,direct,rf16_s1_,12
960,149909.6,3,22,8,direct,rf16_s1_,12
960,149909.6,3,22,8,direct,rf16_s1_,12
64,37988.7,0,3,8,direct,rf16_s1_,12
64,54493.4,0,1,8,direct,rf16_s1_,12
128,114496.6,0,0,8,direct,rf16_s1_,12
192,135927.0,0,1,8,direct,rf16_s1_,12
256,149246.4,0,3,8,direct,rf16_s1_,12
320,150308.8,1,3,8,direct,rf16_s1_,12
384,149377.0,1,5,8,direct,rf16_s1_,12
448,149843.3,2,7,8,direct,rf16_s1_,12
512,150241.1,2,9,8,direct,rf16_s1_,12
576,149597.4,2,10,8,direct,rf16_s1_,12
576,149597.4,2,10,8,direct,rf16_s1_,12
176,7163.6,12,109,4,direct,rf16_s2_,24
192,6495.8,15,105,4,direct,rf16_s2_,24
192,6495.8,15,105,4,direct,rf16_s2_,24
208,7235.6,14,109,4,direct,rf16_s2_,24
224,7465.5,15,120,4,direct,rf16_s2_,24
240,7184.9,16,124,4,direct,rf16_s2_,24
16,1891.4,4,12,4,direct,rf16_s2_,24
16,2090.1,4,7,4,direct,rf16_s2_,24
32,3686.6,4,8,4,direct,rf16_s2_,24
48,4492.8,5,11,4,direct,rf16_s2_,24
48,4492.8,5,11,4,direct,rf16_s2_,24
64,5026.6,6,17,4,direct,rf16_s2_,24
80,5737.4,7,24,4,direct,rf16_s2_,24
80,5737.4,7,24,4,direct,rf16_s2_,24
96,5779.7,8,46,4,direct,rf16_s2_,24
96,5779.7,8,46,4,direct,rf16_s2_,24
112,6224.1,9,88,4,direct,rf16_s2_,24
128,6751.0,10,87,4,direct,rf16_s2_,24
144,6592.4,11,115,4,direct,rf16_s2_,24
