parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
1280,155397.6,7,20,16,direct,rf16_s1_,11
1408,160950.3,7,22,16,direct,rf16_s1_,11
1536,163391.9,8,24,16,direct,rf16_s1_,11
1664,169957.8,8,25,16,direct,rf16_s1_,11
1792,171035.5,9,26,16,direct,rf16_s1_,11
1920,158938.8,10,32,16,direct,rf16_s1_,11
128,95167.0,0,2,16,direct,rf16_s1_,11
256,241795.2,0,1,16,direct,rf16_s1_,11
384,236153.9,0,2,16,direct,rf16_s1_,11
512,192379.0,1,5,16,direct,rf16_s1_,11
640,173128.9,2,7,16,direct,rf16_s1_,11
768,164270.3,3,10,16,direct,rf16_s1_,11
896,162309.3,4,12,16,direct,rf16_s1_,11
896,162309.3,4,12,16,direct,rf16_s1_,11
1024,163851.7,5,14,16,direct,rf16_s1_,11
1152,154958.9,6,18,16,direct,rf16_s1_,11
640,148349.2,2,13,8,direct,rf16_s1_,12
704,149104.5,2,14,8,direct,rf16_s1_,12
768,148388.3,2,17,8,direct,rf16_s1_,12
832,148310.1,3,19,8,direct,rf16_s1_,12
896,148066.9,3,20,8,direct,rf16_s1_,12
896,148066.9,3,20,8,direct,rf16_s1_,12
960,148521.4,3,23,8,direct,rf16_s1_,12
64,38000.7,0,3,8,direct,rf16_s1_,12
64,38000.7,0,3,8,direct,rf16_s1_,12
128,109351.2,0,1,8,direct,rf16_s1_,12
192,135828.8,0,1,8,direct,rf16_s1_,12
256,145376.6,0,2,8,direct,rf16_s1_,12
320,149114.4,1,4,8,direct,rf16_s1_,12
384,149397.5,1,5,8,direct,rf16_s1_,12
448,151445.1,2,6,8,direct,rf16_s1_,12
512,148202.3,2,9,8,direct,rf16_s1_,12
576,150698.9,2,10,8,direct,rf16_s1_,12
1280,33375.8,11,172,16,direct,rf16_s2_,21
1408,34022.9,13,181,16,direct,rf16_s2_,21
1536,34562.2,16,191,16,direct,rf16_s2_,21
1664,34719.2,19,197,16,direct,rf16_s2_,21
1792,34738.2,22,209,16,direct,rf16_s2_,21
1920,35296.5,26,217,16,direct,rf16_s2_,21
128,8602.1,6,53,16,direct,rf16_s2_,21
256,12711.1,5,182,16,direct,rf16_s2_,21
384,15985.3,5,189,16,direct,rf16_s2_,21
512,21146.5,5,161,16,direct,rf16_s2_,21
512,21146.5,5,161,16,direct,rf16_s2_,21
640,26447.0,5,140,16,direct,rf16_s2_,21
640,26447.0,5,140,16,direct,rf16_s2_,21
768,29503.9,6,136,16,direct,rf16_s2_,21
896,31486.2,7,141,16,direct,rf16_s2_,21
1024,32161.6,9,150,16,direct,rf16_s2_,21
1152,32431.1,9,160,16,direct,rf16_s2_,21
640,16390.6,16,165,8,direct,rf16_s2_,22
704,16745.0,17,177,8,direct,rf16_s2_,22
704,16745.0,17,177,8,direct,rf16_s2_,22
768,16529.9,21,185,8,direct,rf16_s2_,22
832,16895.3,25,194,8,direct,rf16_s2_,22
896,17411.2,25,205,8,direct,rf16_s2_,22
960,17692.9,27,210,8,direct,rf16_s2_,22
64,4617.8,6,30,8,direct,rf16_s2_,22
128,5669.4,6,223,8,direct,rf16_s2_,22
192,6815.2,7,233,8,direct,rf16_s2_,22
256,8528.4,8,209,8,direct,rf16_s2_,22
320,10118.2,8,192,8,direct,rf16_s2_,22
384,12443.0,8,169,8,direct,rf16_s2_,22
448,13654.6,9,164,8,direct,rf16_s2_,22
512,15446.1,11,154,8,direct,rf16_s2_,22
576,15876.8,12,160,8,direct,rf16_s2_,22
160,21265.5,6,15,2,direct,rf2_s1__,11
176,21491.5,6,17,2,direct,rf2_s1__,11
192,21330.0,7,19,2,direct,rf2_s1__,11
