parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP,fcts
144,109236.1,1.037976513170216,3.0973071921361637,8,solrj,rf16_s1_,12,0.0005578994750976562--0.0007686614990234375--0.0008313655853271484--0.0008749961853027344--0.0009069442749023438--0.0009315013885498047--0.0009562969207763672--0.0009779930114746094--0.00099945068359375--0.001020193099975586--0.0010426044464111328--0.0010666847229003906--0.0010929107666015625--0.0011210441589355469--0.0011560916900634766--0.0012011528015136719--0.001268625259399414--0.0013625621795654297--0.0015265941619873047--0.002079010009765625
192,142966.6,1.0238382005199944,3.695913196839008,8,solrj,rf16_s1_,12,0.0005011558532714844--0.0007567405700683594--0.0008225440979003906--0.0008614063262939453--0.0008919239044189453--0.0009183883666992188--0.0009400844573974609--0.0009603500366210938--0.0009806156158447266--0.0010008811950683594--0.0010213851928710938--0.0010445117950439453--0.0010695457458496094--0.0010986328125--0.0011386871337890625--0.0011937618255615234--0.0012693405151367188--0.0013971328735351562--0.0016393661499023438--0.003920078277587891
240,174127.3,0.9985807513402514,3.8060531143314584,8,solrj,rf16_s1_,12,0.0005192756652832031--0.0007393360137939453--0.0008003711700439453--0.0008413791656494141--0.000873565673828125--0.0008988380432128906--0.0009210109710693359--0.0009412765502929688--0.0009605884552001953--0.0009796619415283203--0.00099945068359375--0.0010213851928710938--0.0010466575622558594--0.0010755062103271484--0.0011146068572998047--0.0011682510375976562--0.0012524127960205078--0.001379251480102539--0.0016312599182128906--0.0031766891479492188
288,207498.7,1.0031141083816002,4.019700247665932,8,solrj,rf16_s1_,12,0.00044846534729003906--0.0007293224334716797--0.0007948875427246094--0.0008385181427001953--0.0008702278137207031--0.0008959770202636719--0.0009176731109619141--0.0009388923645019531--0.0009589195251464844--0.0009796619415283203--0.001001596450805664--0.0010268688201904297--0.0010564327239990234--0.0010960102081298828--0.0011506080627441406--0.001226663589477539--0.0013337135314941406--0.001500844955444336--0.0018625259399414062--0.0034978389739990234
336,229839.3,1.0303491671409832,4.457857481826692,8,solrj,rf16_s1_,12,0.00047135353088378906--0.0007357597351074219--0.0008020401000976562--0.000843048095703125--0.0008749961853027344--0.0009026527404785156--0.000926971435546875--0.0009503364562988281--0.0009744167327880859--0.0009992122650146484--0.0010285377502441406--0.001062154769897461--0.001102447509765625--0.0011599063873291016--0.0012350082397460938--0.0013310909271240234--0.0014674663543701172--0.0017101764678955078--0.002191305160522461--0.0038976669311523438
384,239517.5,1.1048977856808992,4.759186907753426,8,solrj,rf16_s1_,12,0.00048351287841796875--0.0007724761962890625--0.0008404254913330078--0.0008857250213623047--0.000919342041015625--0.0009496212005615234--0.0009775161743164062--0.0010056495666503906--0.0010344982147216797--0.0010640621185302734--0.0011014938354492188--0.0011477470397949219--0.0012085437774658203--0.0012857913970947266--0.0013844966888427734--0.0015158653259277344--0.001703023910522461--0.002024412155151367--0.0025997161865234375--0.004244565963745117
432,260852.0,1.151668860615673,5.087235006868565,8,solrj,rf16_s1_,12,0.0004553794860839844--0.0007791519165039062--0.0008487701416015625--0.0008928775787353516--0.0009281635284423828--0.0009613037109375--0.0009911060333251953--0.0010235309600830078--0.0010576248168945312--0.0010962486267089844--0.0011439323425292969--0.0012054443359375--0.0012803077697753906--0.0013778209686279297--0.0014998912811279297--0.0016644001007080078--0.0018954277038574219--0.0022590160369873047--0.002920389175415039--0.004606485366821289
480,278174.5,1.2414633485786153,4.816696851579975,8,solrj,rf16_s1_,12,0.0004980564117431641--0.0008001327514648438--0.0008718967437744141--0.0009164810180664062--0.0009541511535644531--0.0009889602661132812--0.0010259151458740234--0.0010654926300048828--0.001111745834350586--0.00116729736328125--0.0012323856353759766--0.0013124942779541016--0.0014085769653320312--0.0015273094177246094--0.0016787052154541016--0.0018727779388427734--0.0021343231201171875--0.0025043487548828125--0.003149271011352539--0.004540443420410156
48,35706.8,1.1394596099853516,2.745089530944824,8,solrj,rf16_s1_,12,0.0006074905395507812--0.0008475780487060547--0.0009057521820068359--0.0009479522705078125--0.0009839534759521484--0.0010180473327636719--0.0010485649108886719--0.0010783672332763672--0.0011067390441894531--0.0011317729949951172--0.0011601448059082031--0.0011932849884033203--0.001226663589477539--0.0012617111206054688--0.001300811767578125--0.0013470649719238281--0.0014004707336425781--0.001458883285522461--0.0015614032745361328--0.001962900161743164
528,280113.1,1.3375426238437869,5.255321736605662,8,solrj,rf16_s1_,12,0.0005214214324951172--0.0008268356323242188--0.0009014606475830078--0.0009503364562988281--0.0009927749633789062--0.0010335445404052734--0.0010769367218017578--0.0011241436004638672--0.0011796951293945312--0.0012476444244384766--0.0013263225555419922--0.0014193058013916016--0.0015304088592529297--0.0016672611236572266--0.0018372535705566406--0.0020661354064941406--0.0023527145385742188--0.0027697086334228516--0.003473043441772461--0.004946470260620117
576,282615.5,1.4005091615938026,5.812826768157801,8,solrj,rf16_s1_,12,0.0005488395690917969--0.0008475780487060547--0.0009233951568603516--0.0009744167327880859--0.0010192394256591797--0.0010628700256347656--0.0011103153228759766--0.0011625289916992188--0.001222848892211914--0.0012969970703125--0.0013861656188964844--0.001489400863647461--0.0016124248504638672--0.001760721206665039--0.0019462108612060547--0.002184629440307617--0.002529144287109375--0.0029997825622558594--0.0037682056427001953--0.0054171085357666016
681,298824.9,1.560597024725739,6.594433939668554,8,solrj,rf16_s1_,12,0.0005283355712890625--0.0008761882781982422--0.0009577274322509766--0.0010161399841308594--0.001069784164428711--0.0011248588562011719--0.0011875629425048828--0.001260519027709961--0.0013432502746582031--0.0014379024505615234--0.0015442371368408203--0.0016705989837646484--0.0018205642700195312--0.002001047134399414--0.002223968505859375--0.002503633499145508--0.002880096435546875--0.003427743911743164--0.004317045211791992--0.006175041198730469
786,322640.3,1.654009151826009,7.499558628753153,8,solrj,rf16_s1_,12,0.0005071163177490234--0.0008859634399414062--0.0009670257568359375--0.0010306835174560547--0.0010914802551269531--0.0011568069458007812--0.0012326240539550781--0.0013153553009033203--0.0014085769653320312--0.001512765884399414--0.0016326904296875--0.0017774105072021484--0.0019481182098388672--0.0021533966064453125--0.0024056434631347656--0.0027227401733398438--0.003156900405883789--0.003780841827392578--0.004805088043212891--0.007036924362182617
891,333465.3,1.768911457716464,8.506413728203325,8,solrj,rf16_s1_,12,0.0004978179931640625--0.0009036064147949219--0.0009908676147460938--0.0010612010955810547--0.0011315345764160156--0.001209259033203125--0.0012941360473632812--0.0013852119445800781--0.0014882087707519531--0.0016083717346191406--0.0017476081848144531--0.0019083023071289062--0.002097606658935547--0.002326488494873047--0.0026116371154785156--0.0029671192169189453--0.0034477710723876953--0.004160642623901367--0.005361080169677734--0.007938385009765625
96,73082.1,1.0700225830078125,2.7157141237842795,8,solrj,rf16_s1_,12,0.0005426406860351562--0.0007898807525634766--0.0008578300476074219--0.0008993148803710938--0.0009322166442871094--0.0009598731994628906--0.0009834766387939453--0.001008749008178711--0.0010318756103515625--0.0010547637939453125--0.0010788440704345703--0.0011050701141357422--0.0011317729949951172--0.0011620521545410156--0.0011968612670898438--0.001238107681274414--0.0012965202331542969--0.0013790130615234375--0.0015101432800292969--0.0019409656524658203
996,347456.9,1.9038515062072323,9.750973925701183,8,solrj,rf16_s1_,12,0.0004923343658447266--0.0009162425994873047--0.001008749008178711--0.001085519790649414--0.001168966293334961--0.0012586116790771484--0.0013568401336669922--0.0014650821685791016--0.0015845298767089844--0.0017242431640625--0.0018801689147949219--0.0020630359649658203--0.002279043197631836--0.0025365352630615234--0.00286102294921875--0.0032720565795898438--0.003841876983642578--0.004667043685913086--0.006073713302612305--0.009096145629882812
144,17904.2,5.924375089880538,19.670608925492797,8,solrj,rf16_s2_,22,0.0018270015716552734--0.0034067630767822266--0.0038383007049560547--0.004137754440307617--0.004392147064208984--0.0046329498291015625--0.004880666732788086--0.005133152008056641--0.005391359329223633--0.00565791130065918--0.0059354305267333984--0.006223201751708984--0.006602048873901367--0.006994724273681641--0.007472038269042969--0.00805807113647461--0.008889198303222656--0.010018348693847656--0.012001991271972656--0.017350435256958008
192,19416.1,6.865298625120182,29.070999204497976,8,solrj,rf16_s2_,22,0.0017883777618408203--0.0035431385040283203--0.003989458084106445--0.0043370723724365234--0.004674196243286133--0.00500035285949707--0.00533604621887207--0.005682468414306641--0.0060422420501708984--0.006441354751586914--0.006845712661743164--0.007310628890991211--0.007845878601074219--0.008479118347167969--0.009256362915039062--0.010212421417236328--0.011447668075561523--0.013189077377319336--0.0164034366607666--0.025492429733276367
