parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
432,216526.2,1.225041354306832,4.85510979929278,8,solrj,rf16_s1_,12
480,265562.7,1.2522787474003076,4.694511286945264,8,solrj,rf16_s1_,12
576,0.0,0.0,0.0,8,solrj,rf16_s1_,12
681,419395.6,1.495177730303783,6.129839673735314,8,solrj,rf16_s1_,12
786,297247.8,1.6175947371561816,7.310205508189596,8,solrj,rf16_s1_,12
996,310984.8,1.8852680537833677,9.193194014831674,8,solrj,rf16_s1_,12
432,84379.7,2.579648373863115,15.911273143258512,2,solrj,rf4_s1__,12
480,86898.0,2.599364494387045,15.50040304413475,2,solrj,rf4_s1__,12
528,89485.4,2.7906606782157466,17.133453657042306,2,solrj,rf4_s1__,12
576,92139.6,2.9053428181314964,17.456967112927288,2,solrj,rf4_s1__,12
681,93297.6,3.121241617627243,20.496876727933348,2,solrj,rf4_s1__,12
786,92480.4,3.3191778097942377,24.765086022152264,2,solrj,rf4_s1__,12
891,94265.7,3.7128029905293323,29.179820917310757,2,solrj,rf4_s1__,12
996,93764.3,3.58766441543897,27.603972951571148,2,solrj,rf4_s1__,12
432,150033.1,1.8259840253869601,8.488842851845828,4,solrj,rf8_s1__,12
480,158798.8,1.939086003916887,9.078962674279431,4,solrj,rf8_s1__,12
528,168117.4,2.0053355198986127,9.446328541017929,4,solrj,rf8_s1__,12
576,169754.3,2.10775924801414,10.25458108182597,4,solrj,rf8_s1__,12
681,175698.9,2.301276520179895,11.73977367305615,4,solrj,rf8_s1__,12
786,174285.7,2.4534182500113086,13.695825780103654,4,solrj,rf8_s1__,12
891,179154.8,2.6875224199380963,15.5551887310303,4,solrj,rf8_s1__,12
996,168268.8,2.821059429899175,18.068501543491443,4,solrj,rf8_s1__,12
