parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
1101,293691.2,1.96293964345231,10.40831029924572,8,solrj,rf16_s1_,12
1206,292509.8,2.1161484378418467,11.006959586910707,8,solrj,rf16_s1_,12
1311,257626.6,2.1975758472657025,12.236272542878654,8,solrj,rf16_s1_,12
144,109991.8,1.0296024688302654,2.051492259926992,8,solrj,rf16_s1_,12
192,142869.0,1.0220095054390503,2.6155255504490174,8,solrj,rf16_s1_,12
240,176259.1,1.0082918750353096,2.792012592977729,8,solrj,rf16_s1_,12
288,205998.1,1.0056454417614789,3.2369018013502076,8,solrj,rf16_s1_,12
336,227010.1,1.0421480652848645,3.811484963230833,8,solrj,rf16_s1_,12
384,241527.7,1.0962944526176948,4.243435797753272,8,solrj,rf16_s1_,12
480,272629.9,1.2436145568784343,4.645606788856854,8,solrj,rf16_s1_,12
48,34726.5,1.143660545349121,2.090001106262207,8,solrj,rf16_s1_,12
528,274188.2,1.3335146993960973,5.099853029790914,8,solrj,rf16_s1_,12
576,284612.6,1.4106154854322388,5.415451155401843,8,solrj,rf16_s1_,12
681,302425.6,1.5434152569589028,6.0969147164800646,8,solrj,rf16_s1_,12
786,315457.5,1.655357440716119,7.146348505455831,8,solrj,rf16_s1_,12
891,328408.4,1.7443928149862027,8.053085946161813,8,solrj,rf16_s1_,12
96,72003.8,1.0648138669072365,1.9858151066059968,8,solrj,rf16_s1_,12
996,214770.0,1.8666748108902598,9.135345133339486,8,solrj,rf16_s1_,12
1101,86272.7,3.9283220966657004,30.063908298810322,2,solrj,rf4_s1__,12
1206,76005.0,4.061835893998338,37.12801575271557,2,solrj,rf4_s1__,12
1311,75991.5,4.1672221997604835,37.70299817296978,2,solrj,rf4_s1__,12
144,77699.2,1.4117270299833116,4.8725556020867336,2,solrj,rf4_s1__,12
240,85650.1,1.8617771873789386,8.328480168807605,2,solrj,rf4_s1__,12
288,87293.2,2.1005466066557785,9.985392669151569,2,solrj,rf4_s1__,12
336,88789.1,2.2328033955139523,11.321680785636225,2,solrj,rf4_s1__,12
384,88268.5,2.480610046979677,13.5318219970545,2,solrj,rf4_s1__,12
432,89256.0,2.648090437260641,14.602082116263253,2,solrj,rf4_s1__,12
480,90240.7,2.7176943062746672,15.726099370426162,2,solrj,rf4_s1__,12
48,38107.7,0.9938859939575195,2.069239616394043,2,solrj,rf4_s1__,12
528,89855.3,2.827094116356815,16.723434966107398,2,solrj,rf4_s1__,12
576,93976.4,2.9864983575154342,18.411164465247552,2,solrj,rf4_s1__,12
681,95101.1,3.1603492236804542,20.135651631980302,2,solrj,rf4_s1__,12
786,96485.2,3.3170146405544427,22.354646107119976,2,solrj,rf4_s1__,12
891,96297.3,3.578757590251667,25.898169984070588,2,solrj,rf4_s1__,12
96,63721.7,1.1016592687490034,3.804236042256258,2,solrj,rf4_s1__,12
996,96345.7,3.7526863819526133,28.832268004304705,2,solrj,rf4_s1__,12
1101,170509.1,2.7355948874162395,18.256471929983203,4,solrj,rf8_s1__,12
1311,134083.8,3.1633497462183664,21.167742041410914,4,solrj,rf8_s1__,12
144,108757.2,0.9888018647285357,2.8332569827772165,4,solrj,rf8_s1__,12
192,125723.0,1.078276290107019,4.099233863279991,4,solrj,rf8_s1__,12
240,140754.7,1.2847864923398358,4.390824924815785,4,solrj,rf8_s1__,12
288,149588.6,1.4315572278252964,5.0843764995706495,4,solrj,rf8_s1__,12
336,150096.1,1.5913198685504981,6.128109418428862,4,solrj,rf8_s1__,12
384,159561.1,1.6749763735835417,6.759196365435506,4,solrj,rf8_s1__,12
432,163168.8,1.7948656038205195,7.627552555453393,4,solrj,rf8_s1__,12
480,165126.8,1.9110144421272752,8.643884876456992,4,solrj,rf8_s1__,12
48,38028.0,1.0327720642089844,1.8306684494018555,4,solrj,rf8_s1__,12
528,148520.6,2.064479433971903,9.35600011245064,4,solrj,rf8_s1__,12
576,175857.4,2.1682169863008336,10.014206325987184,4,solrj,rf8_s1__,12
681,183128.5,2.298860690172981,11.34226497481851,4,solrj,rf8_s1__,12
786,183541.1,2.467484946178301,13.633477808860352,4,solrj,rf8_s1__,12
891,185725.9,2.581829921882621,15.375664502077829,4,solrj,rf8_s1__,12
96,74474.3,1.0043212345668249,2.1991705407901687,4,solrj,rf8_s1__,12
996,185998.3,2.7815925663915175,17.025068613868697,4,solrj,rf8_s1__,12
