parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
432,84874.4,2.67328919353573,15.652606014831825,2,solrj,rf4_s1__,12
480,86465.8,2.7185821928918608,16.551406551693486,2,solrj,rf4_s1__,12
528,89186.6,2.9203828775657796,17.823938153824717,2,solrj,rf4_s1__,12
576,90805.5,2.9918681379008047,19.417091636921707,2,solrj,rf4_s1__,12
681,94233.6,3.107575581380148,20.247422433850332,2,solrj,rf4_s1__,12
786,93810.7,3.4276785584270653,24.01331354518832,2,solrj,rf4_s1__,12
891,94132.8,3.676255722216961,27.093398464100243,2,solrj,rf4_s1__,12
996,91036.4,3.814409850007397,29.147812875650697,2,solrj,rf4_s1__,12
432,142074.4,1.8200301683527218,9.104314081663347,4,solrj,rf8_s1__,12
480,156390.7,1.968889870911279,9.297581075878501,4,solrj,rf8_s1__,12
528,165949.2,2.0337704224036637,9.648967104733329,4,solrj,rf8_s1__,12
576,165743.7,2.176187442660744,10.696293985967404,4,solrj,rf8_s1__,12
681,171786.2,2.2955237945153915,12.164450111277292,4,solrj,rf8_s1__,12
786,171838.2,2.4074650780218527,14.327090758986515,4,solrj,rf8_s1__,12
891,176041.7,2.6404120948877225,15.775626696897357,4,solrj,rf8_s1__,12
996,170484.0,2.799366452112919,17.469506053363574,4,solrj,rf8_s1__,12
