parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
144,70216.4,1.1908044553782842,3.1670021684202427,7.95320452076115,34.8788810102907,2,solrj,rf2_s1__,11,0.0005323886871337891--0.0007929801940917969--0.0008654594421386719--0.0009098052978515625--0.0009500980377197266--0.0009846687316894531--0.0010199546813964844--0.001056671142578125--0.0010938644409179688--0.0011386871337890625--0.0011920928955078125--0.0012483596801757812--0.0013282299041748047--0.0014216899871826172--0.0015368461608886719--0.001689910888671875--0.0019004344940185547--0.0022611618041992188--0.002887725830078125--0.005395174026489258
192,75123.5,1.2716362156818823,3.2133834878193963,8.709556048678369,49.44772695757679,2,solrj,rf2_s1__,11,0.000507354736328125--0.0008370876312255859--0.0009105205535888672--0.0009591579437255859--0.0010018348693847656--0.0010409355163574219--0.0010802745819091797--0.0011210441589355469--0.0011653900146484375--0.0012135505676269531--0.0012717247009277344--0.0013346672058105469--0.0014102458953857422--0.001506805419921875--0.0016314983367919922--0.0017955303192138672--0.002028226852416992--0.0023796558380126953--0.0030257701873779297--0.005625009536743164
240,73276.7,1.5346757636582555,4.826696451045265,14.31804846140964,67.33882427215576,2,solrj,rf2_s1__,11,0.0005934238433837891--0.0009477138519287109--0.0010349750518798828--0.0010976791381835938--0.0011510848999023438--0.001203298568725586--0.0012564659118652344--0.001313924789428711--0.001377105712890625--0.0014500617980957031--0.0015311241149902344--0.0016226768493652344--0.0017325878143310547--0.0018682479858398438--0.0020439624786376953--0.0022895336151123047--0.0026335716247558594--0.0031774044036865234--0.004326343536376953--0.010442972183227539
288,75863.8,1.595812830431708,5.238592213597791,17.84311163014379,89.35194590996052,2,solrj,rf2_s1__,11,0.0006010532379150391--0.0009853839874267578--0.0010714530944824219--0.001135110855102539--0.001192331314086914--0.0012485980987548828--0.0013034343719482422--0.0013623237609863281--0.0014319419860839844--0.001505136489868164--0.0015883445739746094--0.0016834735870361328--0.0018010139465332031--0.0019443035125732422--0.0021293163299560547--0.00237274169921875--0.0027310848236083984--0.0033249855041503906--0.004525899887084961--0.012450456619262695
336,71547.9,1.4156879052607971,3.6998895498422475,20.918713518853725,143.0390791074764,2,solrj,rf2_s1__,11,0.0005559921264648438--0.0009336471557617188--0.0010120868682861328--0.0010683536529541016--0.0011179447174072266--0.0011622905731201172--0.0012073516845703125--0.0012543201446533203--0.0013017654418945312--0.0013527870178222656--0.0014126300811767578--0.0014808177947998047--0.0015628337860107422--0.0016651153564453125--0.001795053482055664--0.001973390579223633--0.0022325515747070312--0.0026483535766601562--0.0034215450286865234--0.007106304168701172
384,73919.4,1.7515544446638829,6.53919222441362,26.7747677669624,129.62087510163303,2,solrj,rf2_s1__,11,0.0005764961242675781--0.0010652542114257812--0.001163482666015625--0.0012350082397460938--0.0012996196746826172--0.0013616085052490234--0.0014240741729736328--0.0014910697937011719--0.0015621185302734375--0.001644134521484375--0.0017397403717041016--0.0018541812896728516--0.0019884109497070312--0.0021545886993408203--0.0023658275604248047--0.002652406692504883--0.0030684471130371094--0.0037920475006103516--0.005486965179443359--0.018557310104370117
432,76914.7,1.6176414269497983,4.909235115139369,25.224755047099972,171.70962780782864,2,solrj,rf2_s1__,11,0.0005414485931396484--0.0010187625885009766--0.0011096000671386719--0.0011742115020751953--0.0012326240539550781--0.0012874603271484375--0.001344442367553711--0.001401662826538086--0.001463174819946289--0.001529693603515625--0.0016064643859863281--0.0016970634460449219--0.001809835433959961--0.001951456069946289--0.0021295547485351562--0.0023555755615234375--0.002675771713256836--0.0032143592834472656--0.0042879581451416016--0.01089167594909668
480,73922.7,1.8163479215376606,6.332092760014831,33.039741001683154,196.41961348996617,2,solrj,rf2_s1__,11,0.000606536865234375--0.0011093616485595703--0.0012118816375732422--0.0012891292572021484--0.0013561248779296875--0.0014190673828125--0.0014820098876953125--0.0015492439270019531--0.0016200542449951172--0.0017025470733642578--0.0018038749694824219--0.0019207000732421875--0.002055644989013672--0.0022220611572265625--0.002429485321044922--0.002720355987548828--0.003157377243041992--0.0038444995880126953--0.005364656448364258--0.017201662063598633
48,37096.9,1.0113906860351562,1.603531837463379,3.574705123901367,14.992623329162598,2,solrj,rf2_s1__,11,0.0005776882171630859--0.0007655620574951172--0.0008280277252197266--0.0008738040924072266--0.0009007453918457031--0.0009253025054931641--0.0009481906890869141--0.0009670257568359375--0.0009877681732177734--0.0010082721710205078--0.0010292530059814453--0.0010519027709960938--0.0010786056518554688--0.0011091232299804688--0.0011479854583740234--0.0011951923370361328--0.0012695789337158203--0.0013573169708251953--0.0015406608581542969--0.002150297164916992
528,76815.4,1.856505645895904,8.975567907657263,46.710660772503545,164.57930735821995,2,solrj,rf2_s1__,11,0.0005514621734619141--0.0011169910430908203--0.001222848892211914--0.001302480697631836--0.0013730525970458984--0.0014376640319824219--0.0015056133270263672--0.0015752315521240234--0.0016529560089111328--0.0017418861389160156--0.0018453598022460938--0.0019686222076416016--0.0021185874938964844--0.0022957324981689453--0.002537965774536133--0.0028502941131591797--0.003304004669189453--0.004093170166015625--0.006127357482910156--0.03848981857299805
576,81526.5,1.7221308084507714,5.7285962220294255,30.663511744832498,246.51350694544175,2,solrj,rf2_s1__,11,0.0005536079406738281--0.001049041748046875--0.001153707504272461--0.0012316703796386719--0.0012967586517333984--0.0013599395751953125--0.001420736312866211--0.0014824867248535156--0.0015482902526855469--0.0016226768493652344--0.0017094612121582031--0.0018095970153808594--0.0019381046295166016--0.0020914077758789062--0.0022809505462646484--0.002547025680541992--0.0029239654541015625--0.0035288333892822266--0.004790306091308594--0.013052225112915039
681,79390.1,1.8856004535977093,10.018694785333448,61.41985826128739,227.41299710315693,2,solrj,rf2_s1__,11,0.00060272216796875--0.001112222671508789--0.0012273788452148438--0.0013129711151123047--0.0013840198516845703--0.0014526844024658203--0.0015189647674560547--0.0015895366668701172--0.001669168472290039--0.0017619132995605469--0.0018725395202636719--0.001996278762817383--0.002149343490600586--0.0023374557495117188--0.002587556838989258--0.002916097640991211--0.003419637680053711--0.004266977310180664--0.006601810455322266--0.04892230033874512
786,77612.5,1.8223938668609425,6.567280155837915,45.998716050652185,373.23886330719967,2,solrj,rf2_s1__,11,0.0005369186401367188--0.0011072158813476562--0.0012137889862060547--0.0012922286987304688--0.0013606548309326172--0.001425027847290039--0.001489400863647461--0.0015556812286376953--0.0016286373138427734--0.0017113685607910156--0.0018069744110107422--0.0019216537475585938--0.0020592212677001953--0.002225637435913086--0.002441883087158203--0.0027413368225097656--0.0031630992889404297--0.0038497447967529297--0.00530552864074707--0.016300439834594727
891,77431.7,1.9106223961365638,10.780195283407034,76.60338527306126,365.82463476869736,2,solrj,rf2_s1__,11,0.0005884170532226562--0.0011401176452636719--0.001253366470336914--0.0013363361358642578--0.0014102458953857422--0.0014772415161132812--0.0015444755554199219--0.0016167163848876953--0.0016951560974121094--0.0017888545989990234--0.0018968582153320312--0.0020194053649902344--0.002173185348510742--0.002361774444580078--0.0026040077209472656--0.002928018569946289--0.0034139156341552734--0.004271030426025391--0.006463050842285156--0.05442500114440918
96,64107.1,1.1135388393791354,2.514909724799954,4.91606702609938,15.365323241876096,2,solrj,rf2_s1__,11,0.0005495548248291016--0.0007736682891845703--0.0008499622344970703--0.0008931159973144531--0.0009295940399169922--0.0009601116180419922--0.000988006591796875--0.001016378402709961--0.001047372817993164--0.0010802745819091797--0.0011181831359863281--0.00116729736328125--0.0012204647064208984--0.0012891292572021484--0.0013756752014160156--0.0014827251434326172--0.0016546249389648438--0.0019009113311767578--0.0023937225341796875--0.00394439697265625
996,77331.5,1.9506278537934827,12.685695242497228,79.93532476886627,441.317701772336,2,solrj,rf2_s1__,11,0.0005719661712646484--0.00115203857421875--0.001264810562133789--0.0013489723205566406--0.0014221668243408203--0.0014908313751220703--0.0015609264373779297--0.0016360282897949219--0.0017206668853759766--0.0018186569213867188--0.0019335746765136719--0.0020673274993896484--0.002232789993286133--0.002437591552734375--0.002705812454223633--0.0030770301818847656--0.0036368370056152344--0.004671335220336914--0.00762176513671875--0.05054426193237305
144,110094.4,1.0054503401664838,1.7890358624392992,4.110631877428864,15.555223373517599,4,solrj,rf4_s1__,11,0.0005185604095458984--0.0007331371307373047--0.0008053779602050781--0.0008490085601806641--0.0008804798126220703--0.0009055137634277344--0.0009272098541259766--0.0009479522705078125--0.0009672641754150391--0.0009877681732177734--0.0010097026824951172--0.0010335445404052734--0.001062631607055664--0.0010988712310791016--0.001150369644165039--0.0012161731719970703--0.00130462646484375--0.0014357566833496094--0.0016884803771972656--0.0028557777404785156
192,123674.5,1.1122890354431783,2.6592483225556993,4.890790919667666,19.363110827416488,4,solrj,rf4_s1__,11,0.0004894733428955078--0.0007715225219726562--0.0008478164672851562--0.0008955001831054688--0.0009298324584960938--0.0009601116180419922--0.0009884834289550781--0.001016378402709961--0.0010449886322021484--0.0010766983032226562--0.0011105537414550781--0.001154184341430664--0.0012099742889404297--0.0012814998626708984--0.0013713836669921875--0.0014879703521728516--0.001665353775024414--0.0019524097442626953--0.0024955272674560547--0.0043528079986572266
240,135721.8,1.1153792546800345,2.715310774558832,4.947654471909704,32.71635307753382,4,solrj,rf4_s1__,11,0.0004982948303222656--0.0007634162902832031--0.0008344650268554688--0.0008800029754638672--0.0009150505065917969--0.0009467601776123047--0.0009753704071044922--0.001005411148071289--0.0010366439819335938--0.0010704994201660156--0.0011115074157714844--0.001161336898803711--0.0012273788452148438--0.0013077259063720703--0.0014066696166992188--0.0015401840209960938--0.0017473697662353516--0.0020432472229003906--0.002584695816040039--0.004196882247924805
