parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
128,97272.5,1.0494837394127479,1.560213015629695,3.179484147291917,15.764054885277382,8,solrj,rf16_s1_,12,0.0005738735198974609--0.0007846355438232422--0.0008442401885986328--0.0008854866027832031--0.0009160041809082031--0.0009427070617675781--0.0009667873382568359--0.0009884834289550781--0.0010099411010742188--0.0010323524475097656--0.0010535717010498047--0.0010776519775390625--0.0011031627655029297--0.001132965087890625--0.0011658668518066406--0.0012080669403076172--0.0012679100036621094--0.0013575553894042969--0.0015180110931396484--0.0020253658294677734
160,120111.7,1.0358080451871141,1.6038329512984664,3.4251477983262806,18.948859638637966,8,solrj,rf16_s1_,12,0.0005323886871337891--0.0007712841033935547--0.0008335113525390625--0.0008745193481445312--0.0009055137634277344--0.0009315013885498047--0.0009546279907226562--0.0009760856628417969--0.0009963512420654297--0.0010173320770263672--0.0010390281677246094--0.0010623931884765625--0.0010881423950195312--0.0011162757873535156--0.0011544227600097656--0.0012023448944091797--0.0012705326080322266--0.0013740062713623047--0.0015552043914794922--0.002199888229370117
192,141863.7,1.0277376961462277,1.9632725371527917,3.230089993820977,16.481417970559033,8,solrj,rf16_s1_,12,0.00045490264892578125--0.0007572174072265625--0.0008220672607421875--0.0008625984191894531--0.0008940696716308594--0.0009195804595947266--0.0009412765502929688--0.0009624958038330078--0.0009827613830566406--0.0010030269622802734--0.001024484634399414--0.0010466575622558594--0.0010714530944824219--0.001102447509765625--0.0011401176452636719--0.001194000244140625--0.001271963119506836--0.0013911724090576172--0.0016241073608398438--0.003893136978149414
224,163383.0,1.0194862838340017,1.9611637149236898,3.6390260257552156,19.96095201610464,8,solrj,rf16_s1_,12,0.00048351287841796875--0.0007538795471191406--0.0008206367492675781--0.00086212158203125--0.0008916854858398438--0.0009169578552246094--0.00093841552734375--0.0009579658508300781--0.0009779930114746094--0.0009975433349609375--0.001018524169921875--0.0010406970977783203--0.0010666847229003906--0.0010974407196044922--0.0011379718780517578--0.0011944770812988281--0.0012807846069335938--0.0014081001281738281--0.0016574859619140625--0.0037178993225097656
256,191758.2,1.0020714397578276,1.9041318302006685,3.541055575821751,15.87766547535741,8,solrj,rf16_s1_,12,0.0005095005035400391--0.0007402896881103516--0.0008058547973632812--0.0008490085601806641--0.0008780956268310547--0.0009019374847412109--0.00092315673828125--0.0009429454803466797--0.0009620189666748047--0.0009810924530029297--0.001001119613647461--0.0010235309600830078--0.0010480880737304688--0.0010797977447509766--0.0011210441589355469--0.0011816024780273438--0.0012705326080322266--0.0013985633850097656--0.0016674995422363281--0.003123760223388672
288,204535.9,1.0041736813977515,1.9660375522494729,3.842417344090023,31.230768942915443,8,solrj,rf16_s1_,12,0.0004971027374267578--0.0007338523864746094--0.0007989406585693359--0.0008411407470703125--0.0008726119995117188--0.0008974075317382812--0.0009198188781738281--0.0009403228759765625--0.0009598731994628906--0.0009818077087402344--0.0010037422180175781--0.0010280609130859375--0.0010564327239990234--0.0010914802551269531--0.0011403560638427734--0.0012097358703613281--0.0013036727905273438--0.0014467239379882812--0.0017464160919189453--0.0032532215118408203
320,220577.4,1.0225158300459014,2.2808224518106592,4.402398322679982,20.062062310876314,8,solrj,rf16_s1_,12,0.00045680999755859375--0.0007348060607910156--0.0008027553558349609--0.0008463859558105469--0.0008776187896728516--0.000904083251953125--0.0009274482727050781--0.000949859619140625--0.0009717941284179688--0.0009946823120117188--0.001020669937133789--0.0010504722595214844--0.001087188720703125--0.0011358261108398438--0.0012056827545166016--0.001299142837524414--0.0014324188232421875--0.001644134521484375--0.0020978450775146484--0.0037174224853515625
32,23336.2,1.1800597695743336,1.5833237591911764,3.023505210876465,19.27018866819494,8,solrj,rf16_s1_,12,0.000640869140625--0.0008726119995117188--0.0009367465972900391--0.0009832382202148438--0.0010254383087158203--0.00106048583984375--0.0010955333709716797--0.0011255741119384766--0.0011534690856933594--0.0011818408966064453--0.0012121200561523438--0.0012454986572265625--0.0012750625610351562--0.0013117790222167969--0.0013463497161865234--0.0013818740844726562--0.0014252662658691406--0.0014820098876953125--0.00159454345703125--0.0020627975463867188
352,233936.6,1.0471936673094324,2.529423115617138,4.652009845453467,22.945706453700524,8,solrj,rf16_s1_,12,0.0004723072052001953--0.0007445812225341797--0.0008101463317871094--0.0008528232574462891--0.0008852481842041016--0.0009119510650634766--0.0009374618530273438--0.0009624958038330078--0.0009870529174804688--0.0010142326354980469--0.0010437965393066406--0.0010781288146972656--0.0011260509490966797--0.0011892318725585938--0.0012700557708740234--0.0013778209686279297--0.0015354156494140625--0.0018107891082763672--0.0023369789123535156--0.00412440299987793
384,241849.3,1.103278568812779,2.750669826160778,4.885741023274211,21.312408323411816,8,solrj,rf16_s1_,12,0.0004937648773193359--0.0007708072662353516--0.0008382797241210938--0.0008804798126220703--0.0009140968322753906--0.0009438991546630859--0.0009720325469970703--0.0010001659393310547--0.0010290145874023438--0.0010612010955810547--0.0010981559753417969--0.0011444091796875--0.0012030601501464844--0.0012791156768798828--0.0013780593872070312--0.0015130043029785156--0.001705169677734375--0.002034902572631836--0.0026161670684814453--0.004342555999755859
