parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
32,14755.8,0,2,4,solrj,rf16_s1_,14
64,33644.0,0,2,4,solrj,rf16_s1_,14
64,33644.0,0,2,4,solrj,rf16_s1_,14
96,40825.1,1,5,4,solrj,rf16_s1_,14
128,24069.1,1,15,4,solrj,rf16_s1_,14
160,16330.7,6,24,4,solrj,rf16_s1_,14
192,15602.2,10,31,4,solrj,rf16_s1_,14
224,13607.7,12,39,4,solrj,rf16_s1_,14
256,14876.8,13,43,4,solrj,rf16_s1_,14
64,37730.0,0,2,8,solrj,rf16_s1_,12
128,45447.6,1,7,8,solrj,rf16_s1_,12
128,45447.6,1,7,8,solrj,rf16_s1_,12
192,28630.9,4,12,8,solrj,rf16_s1_,12
256,26825.3,6,19,8,solrj,rf16_s1_,12
320,27140.4,9,25,8,solrj,rf16_s1_,12
384,22633.9,11,32,8,solrj,rf16_s1_,12
448,26232.5,16,37,8,solrj,rf16_s1_,12
512,26469.7,12,42,8,solrj,rf16_s1_,12
32,3412.3,3,8,4,solrj,rf16_s2_,24
64,4461.7,5,24,4,solrj,rf16_s2_,24
96,4952.1,8,117,4,solrj,rf16_s2_,24
128,6052.4,9,178,4,solrj,rf16_s2_,24
160,6255.6,11,166,4,solrj,rf16_s2_,24
192,6650.8,13,165,4,solrj,rf16_s2_,24
224,6876.0,15,155,4,solrj,rf16_s2_,24
256,7692.6,16,147,4,solrj,rf16_s2_,24
256,7692.6,16,147,4,solrj,rf16_s2_,24
64,5674.2,3,9,8,solrj,rf16_s2_,22
64,5674.2,3,9,8,solrj,rf16_s2_,22
128,6546.9,5,203,8,solrj,rf16_s2_,22
192,8559.8,6,188,8,solrj,rf16_s2_,22
256,11238.5,6,166,8,solrj,rf16_s2_,22
320,12896.2,7,148,8,solrj,rf16_s2_,22
384,13964.8,8,137,8,solrj,rf16_s2_,22
448,14217.8,8,142,8,solrj,rf16_s2_,22
512,15133.4,7,156,8,solrj,rf16_s2_,22
128,46360.6,1,5,16,solrj,rf32_s1_,12
256,34898.3,6,15,16,solrj,rf32_s1_,12
384,35174.6,8,24,16,solrj,rf32_s1_,12
512,34294.1,7,32,16,solrj,rf32_s1_,12
640,36695.5,14,48,16,solrj,rf32_s1_,12
768,32961.7,10,60,16,solrj,rf32_s1_,12
896,35273.4,19,87,16,solrj,rf32_s1_,12
1024,34629.4,16,109,16,solrj,rf32_s1_,12
64,22564.4,0,3,8,solrj,rf32_s1_,14
64,22564.4,0,3,8,solrj,rf32_s1_,14
128,35530.4,1,6,8,solrj,rf32_s1_,14
192,25925.7,5,13,8,solrj,rf32_s1_,14
256,26418.4,6,19,8,solrj,rf32_s1_,14
320,23396.3,10,26,8,solrj,rf32_s1_,14
384,21800.0,12,32,8,solrj,rf32_s1_,14
448,24590.7,14,38,8,solrj,rf32_s1_,14
512,25354.0,13,43,8,solrj,rf32_s1_,14
128,7178.8,4,176,16,solrj,rf32_s2_,22
128,7178.8,4,176,16,solrj,rf32_s2_,22
256,9153.9,5,248,16,solrj,rf32_s2_,22
384,11607.0,5,214,16,solrj,rf32_s2_,22
512,13805.0,5,215,16,solrj,rf32_s2_,22
640,17591.8,6,202,16,solrj,rf32_s2_,22
