parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
112,16599.1,7,32,8,solrj,rf16_s1_,12
128,18395.7,9,35,8,solrj,rf16_s1_,12
144,21077.1,7,31,8,solrj,rf16_s1_,12
160,22701.2,9,35,8,solrj,rf16_s1_,12
16,4877.8,4,12,8,solrj,rf16_s1_,12
176,25990.3,7,31,8,solrj,rf16_s1_,12
192,28050.7,10,35,8,solrj,rf16_s1_,12
208,30113.4,8,33,8,solrj,rf16_s1_,12
224,30994.7,8,34,8,solrj,rf16_s1_,12
240,35758.3,9,34,8,solrj,rf16_s1_,12
256,33237.2,9,35,8,solrj,rf16_s1_,12
32,4978.2,11,29,8,solrj,rf16_s1_,12
48,8949.4,7,23,8,solrj,rf16_s1_,12
64,9379.8,11,30,8,solrj,rf16_s1_,12
80,12364.4,7,33,8,solrj,rf16_s1_,12
96,14750.6,10,35,8,solrj,rf16_s1_,12
112,11415.6,8,118,8,solrj,rf16_s2_,22
128,13401.6,7,118,8,solrj,rf16_s2_,22
144,13839.3,7,120,8,solrj,rf16_s2_,22
160,14721.5,7,119,8,solrj,rf16_s2_,22
16,3517.1,4,15,8,solrj,rf16_s2_,22
176,15380.9,7,120,8,solrj,rf16_s2_,22
192,15874.4,7,123,8,solrj,rf16_s2_,22
208,15554.2,7,134,8,solrj,rf16_s2_,22
224,16288.6,8,136,8,solrj,rf16_s2_,22
240,16594.3,9,137,8,solrj,rf16_s2_,22
256,16259.8,8,145,8,solrj,rf16_s2_,22
32,3757.6,9,28,8,solrj,rf16_s2_,22
48,5395.2,7,131,8,solrj,rf16_s2_,22
64,5593.2,9,208,8,solrj,rf16_s2_,22
80,8360.4,8,127,8,solrj,rf16_s2_,22
96,9071.8,10,150,8,solrj,rf16_s2_,22
112,6140.9,12,186,8,solrj,rf16_s4_,42
128,6650.3,13,182,8,solrj,rf16_s4_,42
144,7450.0,13,182,8,solrj,rf16_s4_,42
160,7083.9,14,198,8,solrj,rf16_s4_,42
