parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
1024,143818.2,1,19,8,solrj,rf16_s1_,12
1152,114493.9,2,21,8,solrj,rf16_s1_,12
1280,140097.2,2,21,8,solrj,rf16_s1_,12
128,20206.0,2,15,8,solrj,rf16_s1_,12
1408,129274.3,2,29,8,solrj,rf16_s1_,12
1536,183914.9,2,32,8,solrj,rf16_s1_,12
256,44808.1,1,16,8,solrj,rf16_s1_,12
384,67797.4,1,18,8,solrj,rf16_s1_,12
512,81221.3,1,18,8,solrj,rf16_s1_,12
640,104769.3,1,18,8,solrj,rf16_s1_,12
768,84208.2,1,21,8,solrj,rf16_s1_,12
896,129164.9,1,19,8,solrj,rf16_s1_,12
1024,15941.6,14,307,8,solrj,rf16_s2_,22
1152,16768.3,13,338,8,solrj,rf16_s2_,22
1280,16683.8,22,351,8,solrj,rf16_s2_,22
128,5832.6,8,72,8,solrj,rf16_s2_,22
1408,18117.6,22,354,8,solrj,rf16_s2_,22
1536,18613.3,26,357,8,solrj,rf16_s2_,22
256,8469.4,7,285,8,solrj,rf16_s2_,22
384,9571.4,8,334,8,solrj,rf16_s2_,22
512,11221.0,9,303,8,solrj,rf16_s2_,22
640,12086.6,10,293,8,solrj,rf16_s2_,22
768,14902.1,10,257,8,solrj,rf16_s2_,22
896,15761.6,11,266,8,solrj,rf16_s2_,22
1024,5900.0,52,938,8,solrj,rf16_s4_,42
1152,6718.7,89,862,8,solrj,rf16_s4_,42
1280,3677.9,245,2109,8,solrj,rf16_s4_,42
128,2744.1,15,324,8,solrj,rf16_s4_,42
1408,4469.6,212,1339,8,solrj,rf16_s4_,42
1536,4626.9,225,1858,8,solrj,rf16_s4_,42
256,3837.9,14,413,8,solrj,rf16_s4_,42
384,3362.4,44,531,8,solrj,rf16_s4_,42
512,4603.9,55,485,8,solrj,rf16_s4_,42
640,3807.9,62,803,8,solrj,rf16_s4_,42
768,4636.3,59,876,8,solrj,rf16_s4_,42
896,5943.3,71,704,8,solrj,rf16_s4_,42
1024,138634.5,1,19,16,solrj,rf32_s1_,12
1152,125792.1,1,19,16,solrj,rf32_s1_,12
1280,157276.8,1,19,16,solrj,rf32_s1_,12
128,16331.5,2,17,16,solrj,rf32_s1_,12
1408,132343.5,2,19,16,solrj,rf32_s1_,12
1536,175300.8,1,20,16,solrj,rf32_s1_,12
256,47508.1,3,16,16,solrj,rf32_s1_,12
384,52904.6,2,16,16,solrj,rf32_s1_,12
512,72973.9,2,18,16,solrj,rf32_s1_,12
640,113884.6,1,17,16,solrj,rf32_s1_,12
768,97530.4,1,17,16,solrj,rf32_s1_,12
896,112276.5,1,19,16,solrj,rf32_s1_,12
1024,18656.6,6,283,16,solrj,rf32_s2_,22
1152,20008.7,7,279,16,solrj,rf32_s2_,22
1280,21450.1,9,278,16,solrj,rf32_s2_,22
