parallel_requests,QPS,median_lat,P95_latency(ms),clustersize,query,rfshards,GROUP
1024,49986.5,3,42,2,solrj,rf4_s1__,12
1152,50959.9,3,45,2,solrj,rf4_s1__,12
1280,50564.5,3,57,2,solrj,rf4_s1__,12
128,21148.9,1,18,2,solrj,rf4_s1__,12
1408,50616.4,4,69,2,solrj,rf4_s1__,12
1536,50449.7,4,76,2,solrj,rf4_s1__,12
256,49398.1,1,18,2,solrj,rf4_s1__,12
384,63120.7,2,15,2,solrj,rf4_s1__,12
512,38888.7,4,44,2,solrj,rf4_s1__,12
640,46453.1,3,29,2,solrj,rf4_s1__,12
768,51017.3,3,30,2,solrj,rf4_s1__,12
896,50527.5,3,38,2,solrj,rf4_s1__,12
