parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,77059.4,7,20,16,direct,rf16_s1_
1024,73759.3,11,33,16,direct,rf16_s1_
64,25351.2,1,4,16,direct,rf16_s1_
1344,83848.7,13,39,16,direct,rf16_s1_
1664,79744.4,17,54,16,direct,rf16_s1_
384,113514.7,1,6,16,direct,rf16_s1_
128,31791.8,2,8,32,direct,rf16_s1_
256,65541.0,2,20,32,direct,rf16_s1_
384,91691.6,2,57,32,direct,rf16_s1_
512,113468.0,4,101,32,direct,rf16_s1_
640,120778.9,5,105,32,direct,rf16_s1_
768,108608.2,6,112,32,direct,rf16_s1_
1408,88606.0,13,140,32,direct,rf16_s1_
1664,83264.8,16,151,32,direct,rf16_s1_
1920,78796.8,20,164,32,direct,rf16_s1_
2176,83702.8,24,173,32,direct,rf16_s1_
2432,86910.8,27,183,32,direct,rf16_s1_
128,30277.8,2,12,32,direct,rf16_s1_
2688,88035.6,31,195,32,direct,rf16_s1_
2944,94394.5,36,202,32,direct,rf16_s1_
384,88125.6,2,60,32,direct,rf16_s1_
640,114627.2,4,100,32,direct,rf16_s1_
896,105189.8,7,119,32,direct,rf16_s1_
1152,92668.5,10,130,32,direct,rf16_s1_
352,62480.4,3,12,8,direct,rf16_s1_
416,62478.2,4,15,8,direct,rf16_s1_
480,62646.5,4,18,8,direct,rf16_s1_
544,64263.5,5,21,8,direct,rf16_s1_
608,64933.1,5,25,8,direct,rf16_s1_
32,12005.6,1,4,8,direct,rf16_s1_
672,65800.3,6,28,8,direct,rf16_s1_
736,66050.2,6,33,8,direct,rf16_s1_
96,34558.6,1,4,8,direct,rf16_s1_
160,54747.2,1,4,8,direct,rf16_s1_
224,56991.8,2,7,8,direct,rf16_s1_
288,58617.6,3,10,8,direct,rf16_s1_
64,6327.4,5,18,16,direct,rf16_s2_
128,14710.5,4,17,16,direct,rf16_s2_
192,18039.1,4,63,16,direct,rf16_s2_
256,20088.4,5,79,16,direct,rf16_s2_
320,21307.0,6,90,16,direct,rf16_s2_
384,22246.1,6,101,16,direct,rf16_s2_
128,10910.7,5,43,32,direct,rf16_s2_
256,26459.6,4,44,32,direct,rf16_s2_
384,32491.8,4,78,32,direct,rf16_s2_
512,37115.5,4,90,32,direct,rf16_s2_
640,41321.7,5,94,32,direct,rf16_s2_
768,44927.5,5,100,32,direct,rf16_s2_
1408,46395.1,9,134,32,direct,rf16_s2_
2048,53327.9,16,148,32,direct,rf16_s2_
128,12833.9,5,20,32,direct,rf16_s2_
2688,56488.8,23,169,32,direct,rf16_s2_
3328,59470.5,29,188,32,direct,rf16_s2_
768,35817.5,5,118,32,direct,rf16_s2_
352,9952.2,13,192,8,direct,rf16_s2_
416,11054.0,15,189,8,direct,rf16_s2_
480,11696.7,15,200,8,direct,rf16_s2_
544,12308.5,15,204,8,direct,rf16_s2_
608,12122.7,20,207,8,direct,rf16_s2_
32,3920.1,4,10,8,direct,rf16_s2_
672,12695.3,22,229,8,direct,rf16_s2_
736,13102.9,27,223,8,direct,rf16_s2_
96,8186.7,5,54,8,direct,rf16_s2_
160,8369.8,8,129,8,direct,rf16_s2_
224,8593.8,10,168,8,direct,rf16_s2_
288,8576.1,12,185,8,direct,rf16_s2_
88,10252.7,6,16,2,direct,rf2_s1__
128,10284.2,9,25,2,direct,rf2_s1__
8,3079.8,1,3,2,direct,rf2_s1__
168,10361.9,12,34,2,direct,rf2_s1__
208,10346.6,16,43,2,direct,rf2_s1__
48,10702.2,3,7,2,direct,rf2_s1__
176,11820.5,13,121,4,direct,rf2_s1__
208,11873.1,17,130,4,direct,rf2_s1__
240,12114.6,20,135,4,direct,rf2_s1__
272,12117.3,23,165,4,direct,rf2_s1__
304,12049.9,27,182,4,direct,rf2_s1__
16,4103.1,2,6,4,direct,rf2_s1__
336,12256.4,29,193,4,direct,rf2_s1__
368,12281.2,34,199,4,direct,rf2_s1__
48,9857.5,3,63,4,direct,rf2_s1__
80,12381.0,5,77,4,direct,rf2_s1__
112,11843.0,8,109,4,direct,rf2_s1__
144,11747.1,11,116,4,direct,rf2_s1__
704,7067.4,100,250,16,direct,rf2_s16_
1024,8469.3,124,281,16,direct,rf2_s16_
64,3355.5,6,144,16,direct,rf2_s16_
1344,8904.3,159,335,16,direct,rf2_s16_
1664,8995.2,192,419,16,direct,rf2_s16_
384,4911.0,47,231,16,direct,rf2_s16_
88,1140.8,58,211,2,direct,rf2_s16_
128,1066.1,80,279,2,direct,rf2_s16_
8,982.0,5,8,2,direct,rf2_s16_
168,1324.3,103,318,2,direct,rf2_s16_
208,1121.0,131,357,2,direct,rf2_s16_
48,1057.5,31,187,2,direct,rf2_s16_
1408,11722.0,111,290,32,direct,rf2_s16_
2048,14397.7,134,298,32,direct,rf2_s16_
128,4643.4,7,143,32,direct,rf2_s16_
2688,15530.1,164,350,32,direct,rf2_s16_
3328,16130.7,196,404,32,direct,rf2_s16_
768,8166.6,69,250,32,direct,rf2_s16_
176,1694.1,71,238,4,direct,rf2_s16_
256,2097.3,105,299,4,direct,rf2_s16_
16,1637.7,5,14,4,direct,rf2_s16_
336,2067.9,144,386,4,direct,rf2_s16_
416,2220.8,177,408,4,direct,rf2_s16_
96,1657.1,36,214,4,direct,rf2_s16_
352,3499.7,81,237,8,direct,rf2_s16_
512,3985.2,122,296,8,direct,rf2_s16_
32,2524.2,5,25,8,direct,rf2_s16_
672,3911.9,164,384,8,direct,rf2_s16_
832,4292.7,194,405,8,direct,rf2_s16_
192,2965.1,40,185,8,direct,rf2_s16_
176,6998.0,16,109,4,direct,rf2_s2__
256,7784.2,23,110,4,direct,rf2_s2__
16,2788.2,4,7,4,direct,rf2_s2__
336,8209.3,29,128,4,direct,rf2_s2__
416,8553.3,36,142,4,direct,rf2_s2__
96,6862.4,8,33,4,direct,rf2_s2__
704,72248.0,8,21,16,direct,rf32_s1_
832,76620.8,9,24,16,direct,rf32_s1_
960,73324.3,11,30,16,direct,rf32_s1_
1088,75017.8,12,35,16,direct,rf32_s1_
1216,79863.5,12,36,16,direct,rf32_s1_
64,25325.4,1,4,16,direct,rf32_s1_
1344,80585.7,13,41,16,direct,rf32_s1_
1472,76368.1,16,49,16,direct,rf32_s1_
192,78189.3,1,3,16,direct,rf32_s1_
320,117897.3,1,4,16,direct,rf32_s1_
448,112787.4,2,8,16,direct,rf32_s1_
576,76992.1,6,15,16,direct,rf32_s1_
64,24576.9,1,4,16,direct,rf32_s1_
128,51047.6,1,4,16,direct,rf32_s1_
192,78164.7,1,3,16,direct,rf32_s1_
256,100816.8,1,3,16,direct,rf32_s1_
320,116401.0,1,4,16,direct,rf32_s1_
384,114338.6,1,6,16,direct,rf32_s1_
