parallel_requests,QPS,median_lat,P95(ms),clustersize,query,rfshards,Shards,RF,Algo,GROUP
16,2988.2,3,9,2,direct,rf1_s2__,2,1,1,21
32,4105.8,4,9,2,direct,rf1_s2__,2,1,1,21
48,4500.6,8,17,2,direct,rf1_s2__,2,1,1,21
64,4677.6,10,23,2,direct,rf1_s2__,2,1,1,21
80,4676.4,13,30,2,direct,rf1_s2__,2,1,1,21
96,4773.4,15,37,2,direct,rf1_s2__,2,1,1,21
32,4982.0,3,8,4,direct,rf1_s4__,4,1,1,41
64,5146.3,8,21,4,direct,rf1_s4__,4,1,1,41
96,5490.6,12,53,4,direct,rf1_s4__,4,1,1,41
128,5682.0,16,82,4,direct,rf1_s4__,4,1,1,41
160,5705.0,21,89,4,direct,rf1_s4__,4,1,1,41
192,5601.9,27,93,4,direct,rf1_s4__,4,1,1,41
64,23969.3,1,3,8,direct,rf16_s1_,1,16,2,12
128,50011.3,1,4,16,direct,rf16_s1_,1,16,1,11
128,46059.3,1,4,8,direct,rf16_s1_,1,16,2,12
192,57805.3,1,5,8,direct,rf16_s1_,1,16,2,12
256,104598.7,1,3,16,direct,rf16_s1_,1,16,1,11
256,57055.6,2,9,8,direct,rf16_s1_,1,16,2,12
320,63526.4,3,10,8,direct,rf16_s1_,1,16,2,12
384,120910.0,1,5,16,direct,rf16_s1_,1,16,1,11
384,66744.3,3,13,8,direct,rf16_s1_,1,16,2,12
512,87521.8,4,12,16,direct,rf16_s1_,1,16,1,11
640,72687.4,7,19,16,direct,rf16_s1_,1,16,1,11
768,76984.1,8,22,16,direct,rf16_s1_,1,16,1,11
128,10289.2,4,74,16,direct,rf16_s2_,2,16,2,22
256,14944.9,6,122,16,direct,rf16_s2_,2,16,2,22
256,22469.7,5,65,32,direct,rf16_s2_,2,16,1,21
384,16123.0,6,158,16,direct,rf16_s2_,2,16,2,22
512,18800.5,7,165,16,direct,rf16_s2_,2,16,2,22
512,36329.2,4,93,32,direct,rf16_s2_,2,16,1,21
640,21350.5,8,178,16,direct,rf16_s2_,2,16,2,22
768,22816.5,10,184,16,direct,rf16_s2_,2,16,2,22
768,45467.1,5,97,32,direct,rf16_s2_,2,16,1,21
1024,49861.3,6,111,32,direct,rf16_s2_,2,16,1,21
1280,53735.1,8,120,32,direct,rf16_s2_,2,16,1,21
1536,56344.7,10,129,32,direct,rf16_s2_,2,16,1,21
256,12033.7,5,116,32,direct,rf16_s4_,4,16,2,42
512,16405.0,7,170,32,direct,rf16_s4_,4,16,2,42
768,18950.6,9,205,32,direct,rf16_s4_,4,16,2,42
1024,21890.3,12,221,32,direct,rf16_s4_,4,16,2,42
