parallel_requests,QPS,median_lat,P95(ms),clustersize,query,rfshards,Shards,RF,Algo,GROUP,Temp,QPS
384,120910.0,1,5,16,direct,rf16_s1_,1,16,1,11,1611,194786010
384,120255.2,1,5,16,direct,rf32_s1_,1,32,2,12,1612,193851382.4
768,31107.3,11,117,16,direct,rf8_s2__,2,8,1,21,1621,50424933.3
768,22816.5,10,184,16,direct,rf16_s2_,2,16,2,22,1622,37008363
768,18643.8,17,176,16,direct,rf4_s4__,4,4,1,41,1641,30594475.8
768,16014.4,19,211,16,direct,rf8_s4__,4,8,2,42,1642,26295644.8
48,10628.4,3,7,2,direct,rf2_s1__,1,2,1,11,211,2242592.4
48,10611.7,3,7,2,direct,rf4_s1__,1,4,2,12,212,2249680.4
96,4773.4,15,37,2,direct,rf1_s2__,2,1,1,21,221,1054921.4
32,3537.2,5,11,2,direct,rf2_s2__,2,2,2,22,222,785258.4
768,155965.2,3,10,32,direct,rf32_s1_,1,32,1,11,3211,500804257.2
768,155722.8,3,10,32,direct,rf64_s1_,1,64,2,12,3212,500181633.6
1536,56344.7,10,129,32,direct,rf16_s2_,2,16,1,21,3221,181486278.7
1536,47975.0,12,146,32,direct,rf32_s2_,2,32,2,22,3222,154575450
1536,36776.0,16,171,32,direct,rf8_s4__,4,8,1,41,3241,119191016
1536,27155.3,21,232,32,direct,rf16_s4_,4,16,2,42,3242,88037482.6
128,26683.3,3,7,4,direct,rf4_s1__,1,4,1,11,411,10966836.3
192,26772.1,5,12,4,direct,rf8_s1__,1,8,2,12,412,11030105.2
192,7916.1,17,91,4,direct,rf2_s2__,2,2,1,21,421,3332678.1
192,7294.9,17,98,4,direct,rf4_s2__,2,4,2,22,422,3078447.8
160,5705.0,21,89,4,direct,rf1_s4__,4,1,1,41,441,2515905
128,5636.8,17,84,4,direct,rf2_s4__,4,2,2,42,442,2491465.6
384,69173.1,3,12,8,direct,rf8_s1__,1,8,1,11,811,56099384.1
384,66744.3,3,13,8,direct,rf16_s1_,1,16,2,12,812,54196371.6
384,16970.5,14,98,8,direct,rf4_s2__,2,4,1,21,821,13932780.5
384,11896.8,15,182,8,direct,rf8_s2__,2,8,2,22,822,9779169.6
384,7704.5,26,188,8,direct,rf2_s4__,4,2,1,41,841,6479484.5
384,7645.4,26,213,8,direct,rf4_s4__,4,4,2,42,842,6437426.8
