parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,77059.4,7,20,16,direct,rf16_s1_
1024,73759.3,11,33,16,direct,rf16_s1_
64,25351.2,1,4,16,direct,rf16_s1_
1344,83848.7,13,39,16,direct,rf16_s1_
1664,79744.4,17,54,16,direct,rf16_s1_
384,113514.7,1,6,16,direct,rf16_s1_
704,7067.4,100,250,16,direct,rf2_s16_
1024,8469.3,124,281,16,direct,rf2_s16_
64,3355.5,6,144,16,direct,rf2_s16_
1344,8904.3,159,335,16,direct,rf2_s16_
1664,8995.2,192,419,16,direct,rf2_s16_
384,4911.0,47,231,16,direct,rf2_s16_
704,7296.3,79,273,16,direct,rf4_s16_
1024,7429.4,128,333,16,direct,rf4_s16_
64,2490.2,10,167,16,direct,rf4_s16_
1344,8067.9,175,378,16,direct,rf4_s16_
1664,7810.2,225,479,16,direct,rf4_s16_
384,6100.9,40,212,16,direct,rf4_s16_
704,23911.8,9,170,16,direct,rf8_s2__
1024,27264.4,13,201,16,direct,rf8_s2__
64,6339.4,4,20,16,direct,rf8_s2__
1344,28563.3,17,228,16,direct,rf8_s2__
1664,31199.9,26,225,16,direct,rf8_s2__
384,20557.4,6,121,16,direct,rf8_s2__
704,72248.0,8,21,16,direct,rf32_s1_
832,76620.8,9,24,16,direct,rf32_s1_
960,73324.3,11,30,16,direct,rf32_s1_
1088,75017.8,12,35,16,direct,rf32_s1_
1216,79863.5,12,36,16,direct,rf32_s1_
64,25325.4,1,4,16,direct,rf32_s1_
1344,80585.7,13,41,16,direct,rf32_s1_
1472,76368.1,16,49,16,direct,rf32_s1_
192,78189.3,1,3,16,direct,rf32_s1_
320,117897.3,1,4,16,direct,rf32_s1_
448,112787.4,2,8,16,direct,rf32_s1_
576,76992.1,6,15,16,direct,rf32_s1_
704,17836.5,10,202,16,direct,rf32_s2_
832,18370.3,12,211,16,direct,rf32_s2_
960,20918.5,15,215,16,direct,rf32_s2_
1088,22036.7,17,218,16,direct,rf32_s2_
1216,22334.1,23,219,16,direct,rf32_s2_
64,5879.3,5,25,16,direct,rf32_s2_
1344,22908.5,25,231,16,direct,rf32_s2_
1472,24862.2,29,233,16,direct,rf32_s2_
192,12215.2,6,109,16,direct,rf32_s2_
320,12692.0,7,169,16,direct,rf32_s2_
448,14636.1,7,184,16,direct,rf32_s2_
576,16229.0,9,193,16,direct,rf32_s2_
704,19705.7,16,143,16,direct,rf4_s4__
832,20916.6,22,145,16,direct,rf4_s4__
960,21309.1,24,162,16,direct,rf4_s4__
1088,22528.7,29,170,16,direct,rf4_s4__
1216,23372.7,32,179,16,direct,rf4_s4__
64,4714.6,5,44,16,direct,rf4_s4__
1344,23488.0,35,191,16,direct,rf4_s4__
1472,23787.8,41,194,16,direct,rf4_s4__
192,13083.7,6,90,16,direct,rf4_s4__
320,17095.0,10,95,16,direct,rf4_s4__
448,18481.5,13,107,16,direct,rf4_s4__
576,18304.7,15,126,16,direct,rf4_s4__
704,61646.4,13,140,16,direct,rf8_s1__
832,63350.2,16,147,16,direct,rf8_s1__
960,64883.3,19,156,16,direct,rf8_s1__
1088,65646.7,24,173,16,direct,rf8_s1__
1216,66575.1,29,186,16,direct,rf8_s1__
64,15525.5,2,8,16,direct,rf8_s1__
1344,66952.6,33,196,16,direct,rf8_s1__
1472,66811.2,39,210,16,direct,rf8_s1__
192,41792.2,2,62,16,direct,rf8_s1__
320,55898.9,4,107,16,direct,rf8_s1__
448,55733.5,7,114,16,direct,rf8_s1__
576,61739.7,10,125,16,direct,rf8_s1__
704,45980.7,3,83,16,solrj,rf16_s1_
1024,39804.6,3,176,16,solrj,rf16_s1_
64,18336.9,1,5,16,solrj,rf16_s1_
1344,37363.2,3,262,16,solrj,rf16_s1_
1664,36532.8,4,334,16,solrj,rf16_s1_
384,39801.8,2,19,16,solrj,rf16_s1_
704,4697.7,78,767,16,solrj,rf2_s16_
1024,3030.2,153,2273,16,solrj,rf2_s16_
64,4446.4,6,101,16,solrj,rf2_s16_
1344,4376.0,159,2284,16,solrj,rf2_s16_
1664,3413.6,282,1567,16,solrj,rf2_s16_
384,3830.3,38,482,16,solrj,rf2_s16_
704,4901.9,134,467,16,solrj,rf4_s16_
1024,3351.6,177,2613,16,solrj,rf4_s16_
64,3238.6,7,128,16,solrj,rf4_s16_
1344,3071.3,276,2316,16,solrj,rf4_s16_
1664,2236.7,1289,1421,16,solrj,rf4_s16_
384,3693.4,50,295,16,solrj,rf4_s16_
704,21992.7,6,173,16,solrj,rf8_s2__
1024,23261.5,9,217,16,solrj,rf8_s2__
64,8494.1,4,10,16,solrj,rf8_s2__
1344,24819.6,13,250,16,solrj,rf8_s2__
1664,26618.6,21,258,16,solrj,rf8_s2__
384,18125.1,5,127,16,solrj,rf8_s2__
704,45436.6,2,50,16,solrj,rf32_s1_
832,45425.6,3,116,16,solrj,rf32_s1_
960,42736.7,3,161,16,solrj,rf32_s1_
1088,40835.0,3,197,16,solrj,rf32_s1_
1216,40595.2,3,209,16,solrj,rf32_s1_
64,18753.5,1,5,16,solrj,rf32_s1_
1344,38791.7,4,267,16,solrj,rf32_s1_
1472,38453.9,4,304,16,solrj,rf32_s1_
192,35271.0,1,8,16,solrj,rf32_s1_
320,42348.0,2,17,16,solrj,rf32_s1_
448,46709.3,2,34,16,solrj,rf32_s1_
576,50629.7,2,53,16,solrj,rf32_s1_
704,17492.0,9,193,16,solrj,rf32_s2_
832,18248.5,10,210,16,solrj,rf32_s2_
960,17639.1,12,238,16,solrj,rf32_s2_
1088,19490.1,14,239,16,solrj,rf32_s2_
1216,19924.5,17,255,16,solrj,rf32_s2_
64,5852.1,5,20,16,solrj,rf32_s2_
1344,20432.5,21,271,16,solrj,rf32_s2_
1472,20990.9,28,275,16,solrj,rf32_s2_
192,10930.6,5,121,16,solrj,rf32_s2_
320,13250.6,6,144,16,solrj,rf32_s2_
448,14921.1,6,160,16,solrj,rf32_s2_
576,16342.6,7,181,16,solrj,rf32_s2_
704,17131.6,11,176,16,solrj,rf4_s4__
832,18118.2,15,188,16,solrj,rf4_s4__
960,15156.1,15,269,16,solrj,rf4_s4__
1088,18240.7,21,238,16,solrj,rf4_s4__
1216,17192.1,25,286,16,solrj,rf4_s4__
64,8783.9,3,11,16,solrj,rf4_s4__
1344,11748.9,17,737,16,solrj,rf4_s4__
1472,15183.9,24,552,16,solrj,rf4_s4__
192,13410.2,5,91,16,solrj,rf4_s4__
320,13963.2,6,118,16,solrj,rf4_s4__
448,15815.4,8,135,16,solrj,rf4_s4__
576,16069.9,10,157,16,solrj,rf4_s4__
704,45183.5,3,87,16,solrj,rf8_s1__
832,45815.0,3,105,16,solrj,rf8_s1__
