parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,45980.7,3,83,16,solrj,rf16_s1_
1024,39804.6,3,176,16,solrj,rf16_s1_
64,18336.9,1,5,16,solrj,rf16_s1_
1344,37363.2,3,262,16,solrj,rf16_s1_
1664,36532.8,4,334,16,solrj,rf16_s1_
384,39801.8,2,19,16,solrj,rf16_s1_
128,31598.8,1,8,32,solrj,rf16_s1_
256,44939.0,2,12,32,solrj,rf16_s1_
384,51518.2,2,25,32,solrj,rf16_s1_
512,55104.3,2,43,32,solrj,rf16_s1_
640,50070.0,2,55,32,solrj,rf16_s1_
768,49966.9,2,93,32,solrj,rf16_s1_
1408,41145.7,3,253,32,solrj,rf16_s1_
1664,39571.7,3,335,32,solrj,rf16_s1_
1920,39633.9,4,402,32,solrj,rf16_s1_
2176,39364.7,4,461,32,solrj,rf16_s1_
2432,38185.9,4,507,32,solrj,rf16_s1_
128,31906.2,1,6,32,solrj,rf16_s1_
2688,38228.6,4,582,32,solrj,rf16_s1_
2944,38147.2,4,645,32,solrj,rf16_s1_
384,41461.2,2,20,32,solrj,rf16_s1_
640,50383.5,2,65,32,solrj,rf16_s1_
896,45193.3,3,137,32,solrj,rf16_s1_
1152,42860.2,3,205,32,solrj,rf16_s1_
352,37155.6,3,29,8,solrj,rf16_s1_
416,38970.5,3,43,8,solrj,rf16_s1_
480,37891.6,3,59,8,solrj,rf16_s1_
544,38765.7,4,71,8,solrj,rf16_s1_
608,37238.3,4,90,8,solrj,rf16_s1_
32,8811.0,2,5,8,solrj,rf16_s1_
672,37562.2,4,104,8,solrj,rf16_s1_
736,37366.0,4,121,8,solrj,rf16_s1_
96,27179.6,1,5,8,solrj,rf16_s1_
160,32855.6,1,9,8,solrj,rf16_s1_
224,36979.6,2,12,8,solrj,rf16_s1_
288,38646.4,3,19,8,solrj,rf16_s1_
64,7714.5,4,14,16,solrj,rf16_s2_
128,13151.9,4,52,16,solrj,rf16_s2_
192,14592.5,4,95,16,solrj,rf16_s2_
256,16954.1,5,99,16,solrj,rf16_s2_
320,17783.8,5,107,16,solrj,rf16_s2_
384,18537.3,5,117,16,solrj,rf16_s2_
128,13688.7,4,26,32,solrj,rf16_s2_
256,20813.3,4,80,32,solrj,rf16_s2_
384,25393.5,4,95,32,solrj,rf16_s2_
512,28554.7,5,106,32,solrj,rf16_s2_
640,30768.5,6,114,32,solrj,rf16_s2_
768,33079.2,6,122,32,solrj,rf16_s2_
352,10021.2,9,170,8,solrj,rf16_s2_
416,10771.8,10,186,8,solrj,rf16_s2_
480,10714.3,11,209,8,solrj,rf16_s2_
544,10497.4,12,234,8,solrj,rf16_s2_
608,11792.2,15,221,8,solrj,rf16_s2_
32,4231.8,4,9,8,solrj,rf16_s2_
672,11309.7,16,258,8,solrj,rf16_s2_
736,11646.1,19,265,8,solrj,rf16_s2_
96,8184.8,5,58,8,solrj,rf16_s2_
160,8510.4,7,115,8,solrj,rf16_s2_
224,9415.2,8,133,8,solrj,rf16_s2_
288,9238.6,8,160,8,solrj,rf16_s2_
88,15429.3,3,13,2,solrj,rf2_s1__
128,14403.9,5,19,2,solrj,rf2_s1__
8,2534.2,1,4,2,solrj,rf2_s1__
168,14156.6,7,25,2,solrj,rf2_s1__
208,15675.4,9,31,2,solrj,rf2_s1__
48,14466.7,1,5,2,solrj,rf2_s1__
176,17610.4,4,37,4,solrj,rf2_s1__
208,18338.6,4,45,4,solrj,rf2_s1__
240,18250.6,5,52,4,solrj,rf2_s1__
272,18575.3,6,60,4,solrj,rf2_s1__
304,18475.6,6,68,4,solrj,rf2_s1__
16,5224.0,1,4,4,solrj,rf2_s1__
336,18946.8,7,71,4,solrj,rf2_s1__
368,18632.3,8,78,4,solrj,rf2_s1__
48,14966.2,1,5,4,solrj,rf2_s1__
80,16314.9,2,12,4,solrj,rf2_s1__
112,17035.5,2,19,4,solrj,rf2_s1__
144,17666.9,3,27,4,solrj,rf2_s1__
704,4697.7,78,767,16,solrj,rf2_s16_
1024,3030.2,153,2273,16,solrj,rf2_s16_
64,4446.4,6,101,16,solrj,rf2_s16_
1344,4376.0,159,2284,16,solrj,rf2_s16_
1664,3413.6,282,1567,16,solrj,rf2_s16_
384,3830.3,38,482,16,solrj,rf2_s16_
88,1144.3,57,229,2,solrj,rf2_s16_
128,1139.5,86,288,2,solrj,rf2_s16_
8,1003.9,5,8,2,solrj,rf2_s16_
168,1131.4,108,470,2,solrj,rf2_s16_
208,990.5,155,745,2,solrj,rf2_s16_
48,1182.9,30,123,2,solrj,rf2_s16_
176,1577.7,71,408,4,solrj,rf2_s16_
256,1647.7,104,723,4,solrj,rf2_s16_
16,1705.6,6,12,4,solrj,rf2_s16_
336,1861.7,142,676,4,solrj,rf2_s16_
416,1597.5,172,1290,4,solrj,rf2_s16_
96,1766.0,36,173,4,solrj,rf2_s16_
352,2453.3,90,742,8,solrj,rf2_s16_
512,2380.2,118,1695,8,solrj,rf2_s16_
32,2794.7,6,22,8,solrj,rf2_s16_
672,1926.4,154,2253,8,solrj,rf2_s16_
832,2077.4,184,2282,8,solrj,rf2_s16_
192,2665.2,38,232,8,solrj,rf2_s16_
176,7652.4,14,91,4,solrj,rf2_s2__
256,7300.8,20,111,4,solrj,rf2_s2__
16,2891.2,4,7,4,solrj,rf2_s2__
336,7064.8,26,147,4,solrj,rf2_s2__
416,8024.6,33,168,4,solrj,rf2_s2__
96,7674.9,7,33,4,solrj,rf2_s2__
