parallel_requests,QPS,median_lat,P95(ms),clustersize,query,rfshards
640,51045.1,2,71,16,solrj,rf16_s1_
768,46856.8,2,104,16,solrj,rf16_s1_
128,31663.1,1,8,16,solrj,rf16_s1_
256,44998.3,2,10,16,solrj,rf16_s1_
384,50702.5,2,23,16,solrj,rf16_s1_
512,54535.1,2,43,16,solrj,rf16_s1_
640,18146.6,6,189,16,solrj,rf16_s2_
768,19648.3,7,197,16,solrj,rf16_s2_
128,10737.0,4,81,16,solrj,rf16_s2_
256,13122.9,5,125,16,solrj,rf16_s2_
384,15505.9,5,147,16,solrj,rf16_s2_
512,17678.5,6,169,16,solrj,rf16_s2_
640,53231.9,2,64,16,solrj,rf32_s1_
768,47173.6,2,102,16,solrj,rf32_s1_
128,35004.4,1,6,16,solrj,rf32_s1_
256,43214.8,2,10,16,solrj,rf32_s1_
384,50146.3,2,23,16,solrj,rf32_s1_
512,52965.6,2,42,16,solrj,rf32_s1_
640,14854.8,10,191,16,solrj,rf4_s4__
768,16574.9,11,218,16,solrj,rf4_s4__
128,10881.8,4,84,16,solrj,rf4_s4__
256,12269.9,6,121,16,solrj,rf4_s4__
384,14006.5,7,142,16,solrj,rf4_s4__
512,14414.8,8,175,16,solrj,rf4_s4__
640,23678.8,6,137,16,solrj,rf8_s2__
768,24998.6,7,150,16,solrj,rf8_s2__
128,16386.7,3,16,16,solrj,rf8_s2__
256,20089.1,4,83,16,solrj,rf8_s2__
384,22128.1,5,99,16,solrj,rf8_s2__
512,22880.7,5,119,16,solrj,rf8_s2__
640,13986.9,11,213,16,solrj,rf8_s4__
768,15020.2,13,223,16,solrj,rf8_s4__
128,9481.4,5,92,16,solrj,rf8_s4__
256,9437.4,6,151,16,solrj,rf8_s4__
384,12135.9,7,169,16,solrj,rf8_s4__
512,12841.8,10,189,16,solrj,rf8_s4__
80,3734.5,12,28,2,solrj,rf1_s2__
96,4803.5,15,44,2,solrj,rf1_s2__
16,3556.3,3,5,2,solrj,rf1_s2__
32,4797.2,4,9,2,solrj,rf1_s2__
48,4999.3,7,15,2,solrj,rf1_s2__
64,4869.6,9,22,2,solrj,rf1_s2__
80,15316.7,2,12,2,solrj,rf2_s1__
96,15360.8,3,14,2,solrj,rf2_s1__
16,5182.7,1,4,2,solrj,rf2_s1__
32,10798.8,1,4,2,solrj,rf2_s1__
48,14598.9,1,5,2,solrj,rf2_s1__
64,15589.2,2,7,2,solrj,rf2_s1__
80,3106.9,13,52,2,solrj,rf2_s2__
96,4003.8,15,47,2,solrj,rf2_s2__
16,2906.6,3,5,2,solrj,rf2_s2__
32,3930.2,4,10,2,solrj,rf2_s2__
48,4362.9,7,14,2,solrj,rf2_s2__
64,4138.7,9,21,2,solrj,rf2_s2__
80,15471.4,2,12,2,solrj,rf4_s1__
96,15714.2,3,13,2,solrj,rf4_s1__
16,5272.9,1,4,2,solrj,rf4_s1__
32,10778.9,1,4,2,solrj,rf4_s1__
48,14746.1,1,4,2,solrj,rf4_s1__
64,15949.4,2,7,2,solrj,rf4_s1__
1280,37129.4,9,156,32,solrj,rf16_s2_
1536,37936.3,10,177,32,solrj,rf16_s2_
256,20955.0,4,81,32,solrj,rf16_s2_
512,29141.8,5,104,32,solrj,rf16_s2_
768,32322.0,6,127,32,solrj,rf16_s2_
1024,35720.3,7,136,32,solrj,rf16_s2_
1280,22297.6,16,246,32,solrj,rf16_s4_
1536,23346.9,25,262,32,solrj,rf16_s4_
256,11181.6,5,151,32,solrj,rf16_s4_
512,15752.2,6,173,32,solrj,rf16_s4_
768,18860.5,8,197,32,solrj,rf16_s4_
1024,20845.3,11,220,32,solrj,rf16_s4_
1280,37962.4,3,230,32,solrj,rf32_s1_
1536,36026.9,4,299,32,solrj,rf32_s1_
256,41092.9,2,14,32,solrj,rf32_s1_
512,53069.6,2,32,32,solrj,rf32_s1_
768,48802.4,3,83,32,solrj,rf32_s1_
1024,40778.2,3,163,32,solrj,rf32_s1_
1280,32762.4,11,181,32,solrj,rf32_s2_
1536,34314.7,13,192,32,solrj,rf32_s2_
256,18459.7,5,93,32,solrj,rf32_s2_
512,24540.4,6,120,32,solrj,rf32_s2_
768,29102.4,7,138,32,solrj,rf32_s2_
1024,30959.3,9,161,32,solrj,rf32_s2_
1280,37819.4,3,229,32,solrj,rf64_s1_
1536,36343.3,4,293,32,solrj,rf64_s1_
256,44112.7,2,9,32,solrj,rf64_s1_
512,55590.7,3,34,32,solrj,rf64_s1_
768,47231.5,3,86,32,solrj,rf64_s1_
1024,39170.8,3,167,32,solrj,rf64_s1_
1280,27812.8,13,202,32,solrj,rf8_s4__
1536,28983.6,17,221,32,solrj,rf8_s4__
256,16654.7,4,99,32,solrj,rf8_s4__
512,21508.3,6,128,32,solrj,rf8_s4__
768,24249.5,7,156,32,solrj,rf8_s4__
1024,26441.2,9,178,32,solrj,rf8_s4__
160,5373.9,20,98,4,solrj,rf1_s4__
192,5254.4,25,112,4,solrj,rf1_s4__
32,5288.1,3,8,4,solrj,rf1_s4__
64,5648.4,7,23,4,solrj,rf1_s4__
96,5484.2,12,71,4,solrj,rf1_s4__
128,5570.9,16,86,4,solrj,rf1_s4__
160,7995.9,12,82,4,solrj,rf2_s2__
192,7915.6,15,95,4,solrj,rf2_s2__
32,5933.9,3,7,4,solrj,rf2_s2__
64,7329.7,5,16,4,solrj,rf2_s2__
96,7650.1,8,35,4,solrj,rf2_s2__
128,7678.6,10,75,4,solrj,rf2_s2__
160,5251.8,20,104,4,solrj,rf2_s4__
192,5432.5,24,113,4,solrj,rf2_s4__
32,4857.3,4,9,4,solrj,rf2_s4__
64,5202.5,8,27,4,solrj,rf2_s4__
96,5381.1,12,77,4,solrj,rf2_s4__
128,5272.2,16,94,4,solrj,rf2_s4__
160,25950.6,3,13,4,solrj,rf4_s1__
192,26064.6,4,17,4,solrj,rf4_s1__
32,10218.0,1,4,4,solrj,rf4_s1__
64,21879.1,1,4,4,solrj,rf4_s1__
96,24953.5,1,8,4,solrj,rf4_s1__
128,25771.1,2,11,4,solrj,rf4_s1__
160,7067.4,14,91,4,solrj,rf4_s2__
192,7040.4,16,104,4,solrj,rf4_s2__
32,5321.7,3,7,4,solrj,rf4_s2__
64,6680.6,5,18,4,solrj,rf4_s2__
96,6830.6,8,69,4,solrj,rf4_s2__
128,6886.1,11,84,4,solrj,rf4_s2__
160,25070.0,3,14,4,solrj,rf8_s1__
192,25153.0,4,17,4,solrj,rf8_s1__
32,10002.8,1,4,4,solrj,rf8_s1__
64,21152.6,1,4,4,solrj,rf8_s1__
96,24363.9,1,8,4,solrj,rf8_s1__
128,26059.6,2,11,4,solrj,rf8_s1__
320,37560.1,3,27,8,solrj,rf16_s1_
384,38954.6,3,31,8,solrj,rf16_s1_
64,20242.0,1,4,8,solrj,rf16_s1_
128,34196.6,1,7,8,solrj,rf16_s1_
192,37151.2,2,10,8,solrj,rf16_s1_
256,39427.1,3,15,8,solrj,rf16_s1_
320,6276.2,15,226,8,solrj,rf2_s4__
384,6363.8,17,336,8,solrj,rf2_s4__
64,6723.5,4,13,8,solrj,rf2_s4__
128,7042.3,7,119,8,solrj,rf2_s4__
192,7458.8,10,135,8,solrj,rf2_s4__
256,7436.0,13,165,8,solrj,rf2_s4__
320,14482.8,8,102,8,solrj,rf4_s2__
384,14895.9,10,114,8,solrj,rf4_s2__
64,10789.7,3,8,8,solrj,rf4_s2__
128,13724.9,4,26,8,solrj,rf4_s2__
192,12679.2,6,81,8,solrj,rf4_s2__
256,13936.2,7,93,8,solrj,rf4_s2__
