parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
64,2387.3,9,136,16,direct,rf16_s16
128,2829.1,17,198,16,direct,rf16_s16
192,2554.9,29,259,16,direct,rf16_s16
256,2875.8,48,277,16,direct,rf16_s16
320,3456.3,55,301,16,direct,rf16_s16
384,3735.3,78,308,16,direct,rf16_s16
64,4473.1,5,79,16,direct,rf16_s4_
128,9855.4,5,94,16,direct,rf16_s4_
192,10953.0,7,104,16,direct,rf16_s4_
256,11287.5,9,119,16,direct,rf16_s4_
320,11697.2,10,133,16,direct,rf16_s4_
384,12759.6,11,137,16,direct,rf16_s4_
64,3792.3,6,113,16,direct,rf16_s8_
128,4302.4,10,151,16,direct,rf16_s8_
192,5055.3,14,166,16,direct,rf16_s8_
256,5961.4,18,157,16,direct,rf16_s8_
320,6473.4,23,177,16,direct,rf16_s8_
384,7022.6,29,185,16,direct,rf16_s8_
64,1792.2,12,144,16,direct,rf32_s16
128,1977.4,23,218,16,direct,rf32_s16
192,1953.0,50,295,16,direct,rf32_s16
256,2132.0,100,384,16,direct,rf32_s16
320,2855.4,85,333,16,direct,rf32_s16
384,2791.6,137,386,16,direct,rf32_s16
64,2699.5,7,135,16,direct,rf32_s8_
128,3550.2,12,172,16,direct,rf32_s8_
192,3656.5,17,217,16,direct,rf32_s8_
256,3997.5,24,240,16,direct,rf32_s8_
320,4574.3,30,252,16,direct,rf32_s8_
384,5074.7,38,252,16,direct,rf32_s8_
