parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,77059.4,7,20,16,direct,rf16_s1_
1024,73759.3,11,33,16,direct,rf16_s1_
64,25351.2,1,4,16,direct,rf16_s1_
1344,83848.7,13,39,16,direct,rf16_s1_
1664,79744.4,17,54,16,direct,rf16_s1_
384,113514.7,1,6,16,direct,rf16_s1_
704,7067.4,100,250,16,direct,rf2_s16_
1024,8469.3,124,281,16,direct,rf2_s16_
64,3355.5,6,144,16,direct,rf2_s16_
1344,8904.3,159,335,16,direct,rf2_s16_
1664,8995.2,192,419,16,direct,rf2_s16_
384,4911.0,47,231,16,direct,rf2_s16_
704,7296.3,79,273,16,direct,rf4_s16_
1024,7429.4,128,333,16,direct,rf4_s16_
64,2490.2,10,167,16,direct,rf4_s16_
1344,8067.9,175,378,16,direct,rf4_s16_
1664,7810.2,225,479,16,direct,rf4_s16_
384,6100.9,40,212,16,direct,rf4_s16_
704,23911.8,9,170,16,direct,rf8_s2__
1024,27264.4,13,201,16,direct,rf8_s2__
64,6339.4,4,20,16,direct,rf8_s2__
1344,28563.3,17,228,16,direct,rf8_s2__
1664,31199.9,26,225,16,direct,rf8_s2__
384,20557.4,6,121,16,direct,rf8_s2__
