parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,72248.0,8,21,16,direct,rf32_s1_
832,76620.8,9,24,16,direct,rf32_s1_
960,73324.3,11,30,16,direct,rf32_s1_
1088,75017.8,12,35,16,direct,rf32_s1_
1216,79863.5,12,36,16,direct,rf32_s1_
64,25325.4,1,4,16,direct,rf32_s1_
1344,80585.7,13,41,16,direct,rf32_s1_
1472,76368.1,16,49,16,direct,rf32_s1_
192,78189.3,1,3,16,direct,rf32_s1_
320,117897.3,1,4,16,direct,rf32_s1_
448,112787.4,2,8,16,direct,rf32_s1_
576,76992.1,6,15,16,direct,rf32_s1_
704,17836.5,10,202,16,direct,rf32_s2_
832,18370.3,12,211,16,direct,rf32_s2_
960,20918.5,15,215,16,direct,rf32_s2_
1088,22036.7,17,218,16,direct,rf32_s2_
1216,22334.1,23,219,16,direct,rf32_s2_
64,5879.3,5,25,16,direct,rf32_s2_
1344,22908.5,25,231,16,direct,rf32_s2_
1472,24862.2,29,233,16,direct,rf32_s2_
192,12215.2,6,109,16,direct,rf32_s2_
320,12692.0,7,169,16,direct,rf32_s2_
448,14636.1,7,184,16,direct,rf32_s2_
576,16229.0,9,193,16,direct,rf32_s2_
704,19705.7,16,143,16,direct,rf4_s4__
832,20916.6,22,145,16,direct,rf4_s4__
960,21309.1,24,162,16,direct,rf4_s4__
1088,22528.7,29,170,16,direct,rf4_s4__
1216,23372.7,32,179,16,direct,rf4_s4__
64,4714.6,5,44,16,direct,rf4_s4__
1344,23488.0,35,191,16,direct,rf4_s4__
1472,23787.8,41,194,16,direct,rf4_s4__
192,13083.7,6,90,16,direct,rf4_s4__
320,17095.0,10,95,16,direct,rf4_s4__
448,18481.5,13,107,16,direct,rf4_s4__
576,18304.7,15,126,16,direct,rf4_s4__
704,61646.4,13,140,16,direct,rf8_s1__
832,63350.2,16,147,16,direct,rf8_s1__
960,64883.3,19,156,16,direct,rf8_s1__
1088,65646.7,24,173,16,direct,rf8_s1__
1216,66575.1,29,186,16,direct,rf8_s1__
64,15525.5,2,8,16,direct,rf8_s1__
1344,66952.6,33,196,16,direct,rf8_s1__
1472,66811.2,39,210,16,direct,rf8_s1__
192,41792.2,2,62,16,direct,rf8_s1__
320,55898.9,4,107,16,direct,rf8_s1__
448,55733.5,7,114,16,direct,rf8_s1__
576,61739.7,10,125,16,direct,rf8_s1__
