parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
64,24576.9,1,4,16,direct,rf32_s1_
128,51047.6,1,4,16,direct,rf32_s1_
192,78164.7,1,3,16,direct,rf32_s1_
256,100816.8,1,3,16,direct,rf32_s1_
320,116401.0,1,4,16,direct,rf32_s1_
384,114338.6,1,6,16,direct,rf32_s1_
64,6437.4,5,22,16,direct,rf32_s2_
128,11273.1,5,72,16,direct,rf32_s2_
192,11713.1,6,122,16,direct,rf32_s2_
256,13064.6,6,142,16,direct,rf32_s2_
320,14012.6,6,152,16,direct,rf32_s2_
384,15449.9,7,150,16,direct,rf32_s2_
64,15480.2,2,7,16,direct,rf8_s1__
128,30717.9,2,21,16,direct,rf8_s1__
192,43274.2,2,59,16,direct,rf8_s1__
256,53544.9,4,105,16,direct,rf8_s1__
320,58153.6,5,108,16,direct,rf8_s1__
384,58598.9,6,111,16,direct,rf8_s1__
64,5591.0,5,31,16,direct,rf8_s2__
128,14029.3,3,35,16,direct,rf8_s2__
192,17534.7,4,69,16,direct,rf8_s2__
256,19504.9,5,83,16,direct,rf8_s2__
320,21190.8,6,91,16,direct,rf8_s2__
384,23475.3,6,93,16,direct,rf8_s2__
