parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
64,2118.1,10,176,16,solrj,rf16_s16
128,2543.2,17,207,16,solrj,rf16_s16
192,2739.9,24,270,16,solrj,rf16_s16
256,2900.1,43,321,16,solrj,rf16_s16
320,3051.9,52,425,16,solrj,rf16_s16
384,3367.1,88,374,16,solrj,rf16_s16
64,6121.0,4,62,16,solrj,rf16_s4_
128,8634.8,5,105,16,solrj,rf16_s4_
192,9294.1,6,121,16,solrj,rf16_s4_
256,9593.4,7,143,16,solrj,rf16_s4_
320,10530.9,8,151,16,solrj,rf16_s4_
384,10339.8,8,172,16,solrj,rf16_s4_
64,4050.0,6,110,16,solrj,rf16_s8_
128,4871.2,9,126,16,solrj,rf16_s8_
192,5270.6,12,158,16,solrj,rf16_s8_
256,5414.6,16,186,16,solrj,rf16_s8_
320,5738.5,22,201,16,solrj,rf16_s8_
384,6038.8,29,228,16,solrj,rf16_s8_
64,1533.9,14,207,16,solrj,rf32_s16
128,1906.1,23,242,16,solrj,rf32_s16
192,2094.3,53,284,16,solrj,rf32_s16
256,2211.1,80,372,16,solrj,rf32_s16
320,2507.3,101,378,16,solrj,rf32_s16
384,2761.8,119,425,16,solrj,rf32_s16
64,2610.7,8,147,16,solrj,rf32_s8_
128,3303.5,12,188,16,solrj,rf32_s8_
192,3883.7,16,210,16,solrj,rf32_s8_
256,4198.8,21,233,16,solrj,rf32_s8_
320,4775.0,27,264,16,solrj,rf32_s8_
384,5000.5,38,281,16,solrj,rf32_s8_
