parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,45980.7,3,83,16,solrj,rf16_s1_
1024,39804.6,3,176,16,solrj,rf16_s1_
64,18336.9,1,5,16,solrj,rf16_s1_
1344,37363.2,3,262,16,solrj,rf16_s1_
1664,36532.8,4,334,16,solrj,rf16_s1_
384,39801.8,2,19,16,solrj,rf16_s1_
704,4697.7,78,767,16,solrj,rf2_s16_
1024,3030.2,153,2273,16,solrj,rf2_s16_
64,4446.4,6,101,16,solrj,rf2_s16_
1344,4376.0,159,2284,16,solrj,rf2_s16_
1664,3413.6,282,1567,16,solrj,rf2_s16_
384,3830.3,38,482,16,solrj,rf2_s16_
704,4901.9,134,467,16,solrj,rf4_s16_
1024,3351.6,177,2613,16,solrj,rf4_s16_
64,3238.6,7,128,16,solrj,rf4_s16_
1344,3071.3,276,2316,16,solrj,rf4_s16_
1664,2236.7,1289,1421,16,solrj,rf4_s16_
384,3693.4,50,295,16,solrj,rf4_s16_
704,21992.7,6,173,16,solrj,rf8_s2__
1024,23261.5,9,217,16,solrj,rf8_s2__
64,8494.1,4,10,16,solrj,rf8_s2__
1344,24819.6,13,250,16,solrj,rf8_s2__
1664,26618.6,21,258,16,solrj,rf8_s2__
384,18125.1,5,127,16,solrj,rf8_s2__
