parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
704,45436.6,2,50,16,solrj,rf32_s1_
832,45425.6,3,116,16,solrj,rf32_s1_
960,42736.7,3,161,16,solrj,rf32_s1_
1088,40835.0,3,197,16,solrj,rf32_s1_
1216,40595.2,3,209,16,solrj,rf32_s1_
64,18753.5,1,5,16,solrj,rf32_s1_
1344,38791.7,4,267,16,solrj,rf32_s1_
1472,38453.9,4,304,16,solrj,rf32_s1_
192,35271.0,1,8,16,solrj,rf32_s1_
320,42348.0,2,17,16,solrj,rf32_s1_
448,46709.3,2,34,16,solrj,rf32_s1_
576,50629.7,2,53,16,solrj,rf32_s1_
704,17492.0,9,193,16,solrj,rf32_s2_
832,18248.5,10,210,16,solrj,rf32_s2_
960,17639.1,12,238,16,solrj,rf32_s2_
1088,19490.1,14,239,16,solrj,rf32_s2_
1216,19924.5,17,255,16,solrj,rf32_s2_
64,5852.1,5,20,16,solrj,rf32_s2_
1344,20432.5,21,271,16,solrj,rf32_s2_
1472,20990.9,28,275,16,solrj,rf32_s2_
192,10930.6,5,121,16,solrj,rf32_s2_
320,13250.6,6,144,16,solrj,rf32_s2_
448,14921.1,6,160,16,solrj,rf32_s2_
576,16342.6,7,181,16,solrj,rf32_s2_
704,17131.6,11,176,16,solrj,rf4_s4__
832,18118.2,15,188,16,solrj,rf4_s4__
960,15156.1,15,269,16,solrj,rf4_s4__
1088,18240.7,21,238,16,solrj,rf4_s4__
1216,17192.1,25,286,16,solrj,rf4_s4__
64,8783.9,3,11,16,solrj,rf4_s4__
1344,11748.9,17,737,16,solrj,rf4_s4__
1472,15183.9,24,552,16,solrj,rf4_s4__
192,13410.2,5,91,16,solrj,rf4_s4__
320,13963.2,6,118,16,solrj,rf4_s4__
448,15815.4,8,135,16,solrj,rf4_s4__
576,16069.9,10,157,16,solrj,rf4_s4__
704,45183.5,3,87,16,solrj,rf8_s1__
832,45815.0,3,105,16,solrj,rf8_s1__
960,44609.5,3,125,16,solrj,rf8_s1__
1088,43502.3,4,164,16,solrj,rf8_s1__
1216,42215.6,4,198,16,solrj,rf8_s1__
64,20340.5,1,4,16,solrj,rf8_s1__
1344,40513.0,4,237,16,solrj,rf8_s1__
1472,39485.3,4,278,16,solrj,rf8_s1__
192,36113.3,1,10,16,solrj,rf8_s1__
320,40350.5,2,21,16,solrj,rf8_s1__
448,41937.9,3,45,16,solrj,rf8_s1__
576,44067.6,3,69,16,solrj,rf8_s1__
