parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
88,4702.5,14,31,2,direct,rf1_s2__
128,4727.7,22,80,2,direct,rf1_s2__
8,1612.6,3,6,2,direct,rf1_s2__
168,4816.7,29,90,2,direct,rf1_s2__
208,4673.2,37,104,2,direct,rf1_s2__
48,4604.1,7,15,2,direct,rf1_s2__
88,1140.8,58,211,2,direct,rf2_s16_
128,1066.1,80,279,2,direct,rf2_s16_
8,982.0,5,8,2,direct,rf2_s16_
168,1324.3,103,318,2,direct,rf2_s16_
208,1121.0,131,357,2,direct,rf2_s16_
48,1057.5,31,187,2,direct,rf2_s16_
88,10252.7,6,16,2,direct,rf2_s1__
128,10284.2,9,25,2,direct,rf2_s1__
8,3079.8,1,3,2,direct,rf2_s1__
168,10361.9,12,34,2,direct,rf2_s1__
208,10346.6,16,43,2,direct,rf2_s1__
48,10702.2,3,7,2,direct,rf2_s1__
88,1064.9,59,241,2,direct,rf4_s16_
128,1129.5,84,338,2,direct,rf4_s16_
8,712.8,6,23,2,direct,rf4_s16_
168,1065.0,115,385,2,direct,rf4_s16_
208,1108.4,145,462,2,direct,rf4_s16_
48,999.0,33,177,2,direct,rf4_s16_
