parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
88,5677.7,12,151,2,direct,rf1_s1__
104,5730.6,15,197,2,direct,rf1_s1__
120,5764.4,18,204,2,direct,rf1_s1__
136,5781.5,21,224,2,direct,rf1_s1__
152,5778.7,24,231,2,direct,rf1_s1__
8,2035.6,2,5,2,direct,rf1_s1__
168,5813.4,27,238,2,direct,rf1_s1__
184,5820.8,30,242,2,direct,rf1_s1__
24,4788.2,3,60,2,direct,rf1_s1__
40,5889.7,5,100,2,direct,rf1_s1__
56,5744.7,7,106,2,direct,rf1_s1__
72,5684.2,10,112,2,direct,rf1_s1__
88,10128.9,6,15,2,direct,rf4_s1__
104,10173.8,8,19,2,direct,rf4_s1__
120,10226.2,9,23,2,direct,rf4_s1__
136,10274.0,10,26,2,direct,rf4_s1__
152,10247.4,11,30,2,direct,rf4_s1__
8,3035.1,1,3,2,direct,rf4_s1__
168,10355.7,12,33,2,direct,rf4_s1__
184,10327.6,14,37,2,direct,rf4_s1__
24,8061.1,1,4,2,direct,rf4_s1__
40,11006.0,2,5,2,direct,rf4_s1__
56,10370.2,4,8,2,direct,rf4_s1__
72,10140.5,5,12,2,direct,rf4_s1__
88,4369.5,15,41,2,direct,rf4_s2__
104,4317.9,19,60,2,direct,rf4_s2__
120,4425.0,21,80,2,direct,rf4_s2__
136,4538.0,24,88,2,direct,rf4_s2__
152,4385.6,28,96,2,direct,rf4_s2__
8,1528.4,4,6,2,direct,rf4_s2__
168,4609.9,30,96,2,direct,rf4_s2__
184,4520.1,34,104,2,direct,rf4_s2__
24,3831.8,4,8,2,direct,rf4_s2__
40,4234.9,6,13,2,direct,rf4_s2__
56,4241.8,9,22,2,direct,rf4_s2__
72,4290.8,12,31,2,direct,rf4_s2__
88,2844.7,24,114,2,direct,rf4_s4__
104,2864.1,28,125,2,direct,rf4_s4__
120,2739.1,35,134,2,direct,rf4_s4__
136,2944.9,37,138,2,direct,rf4_s4__
152,2930.5,41,148,2,direct,rf4_s4__
8,1292.6,3,10,2,direct,rf4_s4__
168,2945.6,45,152,2,direct,rf4_s4__
184,2934.1,50,165,2,direct,rf4_s4__
24,2873.6,5,11,2,direct,rf4_s4__
40,2681.2,10,23,2,direct,rf4_s4__
56,2850.1,14,34,2,direct,rf4_s4__
72,2492.7,18,60,2,direct,rf4_s4__
