parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
88,4347.4,13,34,2,solrj,rf1_s2__
128,4882.1,21,74,2,solrj,rf1_s2__
8,1591.1,3,6,2,solrj,rf1_s2__
168,4432.6,28,97,2,solrj,rf1_s2__
208,4313.8,34,100,2,solrj,rf1_s2__
48,5231.3,7,14,2,solrj,rf1_s2__
88,1144.3,57,229,2,solrj,rf2_s16_
128,1139.5,86,288,2,solrj,rf2_s16_
8,1003.9,5,8,2,solrj,rf2_s16_
168,1131.4,108,470,2,solrj,rf2_s16_
208,990.5,155,745,2,solrj,rf2_s16_
48,1182.9,30,123,2,solrj,rf2_s16_
88,15429.3,3,13,2,solrj,rf2_s1__
128,14403.9,5,19,2,solrj,rf2_s1__
8,2534.2,1,4,2,solrj,rf2_s1__
168,14156.6,7,25,2,solrj,rf2_s1__
208,15675.4,9,31,2,solrj,rf2_s1__
48,14466.7,1,5,2,solrj,rf2_s1__
88,1075.2,60,251,2,solrj,rf4_s16_
128,1051.7,89,358,2,solrj,rf4_s16_
8,856.6,6,10,2,solrj,rf4_s16_
168,1043.4,124,450,2,solrj,rf4_s16_
208,947.5,151,740,2,solrj,rf4_s16_
48,1026.8,32,185,2,solrj,rf4_s16_
