parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
88,10336.7,4,24,2,solrj,rf1_s1__
104,10365.6,4,31,2,solrj,rf1_s1__
120,10474.7,5,38,2,solrj,rf1_s1__
136,10255.4,5,46,2,solrj,rf1_s1__
152,10284.5,6,56,2,solrj,rf1_s1__
8,2782.5,1,3,2,solrj,rf1_s1__
168,10371.2,6,61,2,solrj,rf1_s1__
184,10403.9,7,66,2,solrj,rf1_s1__
24,8353.2,1,4,2,solrj,rf1_s1__
40,8849.8,2,8,2,solrj,rf1_s1__
56,10133.5,3,12,2,solrj,rf1_s1__
72,10277.8,3,18,2,solrj,rf1_s1__
88,14868.0,3,14,2,solrj,rf4_s1__
104,15418.4,3,16,2,solrj,rf4_s1__
120,14733.3,4,19,2,solrj,rf4_s1__
136,14799.5,6,20,2,solrj,rf4_s1__
152,14437.9,7,24,2,solrj,rf4_s1__
8,2422.0,1,4,2,solrj,rf4_s1__
168,14811.2,7,25,2,solrj,rf4_s1__
184,14729.1,8,29,2,solrj,rf4_s1__
24,7852.7,1,4,2,solrj,rf4_s1__
40,12744.8,1,4,2,solrj,rf4_s1__
56,14666.8,2,6,2,solrj,rf4_s1__
72,14740.1,2,10,2,solrj,rf4_s1__
88,4561.3,14,41,2,solrj,rf4_s2__
104,4636.9,16,56,2,solrj,rf4_s2__
120,4820.1,19,59,2,solrj,rf4_s2__
136,4519.8,24,82,2,solrj,rf4_s2__
152,4621.3,25,92,2,solrj,rf4_s2__
8,1551.4,3,6,2,solrj,rf4_s2__
168,4529.3,29,103,2,solrj,rf4_s2__
184,4559.3,32,106,2,solrj,rf4_s2__
24,3956.4,4,8,2,solrj,rf4_s2__
40,4597.9,6,13,2,solrj,rf4_s2__
56,4705.8,8,20,2,solrj,rf4_s2__
72,4600.8,11,30,2,solrj,rf4_s2__
88,2585.1,22,103,2,solrj,rf4_s4__
104,2898.4,27,112,2,solrj,rf4_s4__
120,2960.9,32,118,2,solrj,rf4_s4__
136,2944.8,36,125,2,solrj,rf4_s4__
152,2847.4,41,144,2,solrj,rf4_s4__
8,1518.1,3,6,2,solrj,rf4_s4__
168,2991.7,44,147,2,solrj,rf4_s4__
184,2894.0,50,160,2,solrj,rf4_s4__
24,2788.2,6,11,2,solrj,rf4_s4__
40,3049.2,9,19,2,solrj,rf4_s4__
56,2917.9,14,33,2,solrj,rf4_s4__
72,2968.6,18,57,2,solrj,rf4_s4__
