parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
128,31791.8,2,8,32,direct,rf16_s1_
256,65541.0,2,20,32,direct,rf16_s1_
384,91691.6,2,57,32,direct,rf16_s1_
512,113468.0,4,101,32,direct,rf16_s1_
640,120778.9,5,105,32,direct,rf16_s1_
768,108608.2,6,112,32,direct,rf16_s1_
128,10910.7,5,43,32,direct,rf16_s2_
256,26459.6,4,44,32,direct,rf16_s2_
384,32491.8,4,78,32,direct,rf16_s2_
512,37115.5,4,90,32,direct,rf16_s2_
640,41321.7,5,94,32,direct,rf16_s2_
768,44927.5,5,100,32,direct,rf16_s2_
128,52053.1,1,4,32,direct,rf64_s1_
256,106314.5,1,4,32,direct,rf64_s1_
384,123892.4,1,5,32,direct,rf64_s1_
512,152102.7,2,6,32,direct,rf64_s1_
640,155013.4,2,8,32,direct,rf64_s1_
768,155941.5,3,10,32,direct,rf64_s1_
128,9380.1,7,64,32,direct,rf64_s2_
256,16493.6,6,98,32,direct,rf64_s2_
384,20019.5,6,115,32,direct,rf64_s2_
512,23196.3,7,128,32,direct,rf64_s2_
640,26099.6,8,132,32,direct,rf64_s2_
768,29041.0,8,136,32,direct,rf64_s2_
