parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
128,3067.0,13,153,32,direct,rf32_s16
256,4182.2,24,199,32,direct,rf32_s16
384,4577.7,56,261,32,direct,rf32_s16
512,5427.8,88,283,32,direct,rf32_s16
640,6111.7,104,307,32,direct,rf32_s16
768,6909.9,113,309,32,direct,rf32_s16
128,7539.4,6,104,32,direct,rf32_s4_
256,14924.7,6,105,32,direct,rf32_s4_
384,17809.6,7,115,32,direct,rf32_s4_
512,20114.7,8,124,32,direct,rf32_s4_
640,21033.8,10,140,32,direct,rf32_s4_
768,22335.2,11,152,32,direct,rf32_s4_
128,4810.1,8,130,32,direct,rf32_s8_
256,7050.6,10,158,32,direct,rf32_s8_
384,8123.9,14,193,32,direct,rf32_s8_
512,9630.7,18,205,32,direct,rf32_s8_
640,10959.9,25,216,32,direct,rf32_s8_
768,11793.9,32,233,32,direct,rf32_s8_
128,1876.8,24,221,32,direct,rf64_s16
256,3043.1,58,253,32,direct,rf64_s16
384,3497.9,114,316,32,direct,rf64_s16
512,3874.6,134,363,32,direct,rf64_s16
640,4377.1,154,377,32,direct,rf64_s16
768,4780.5,170,393,32,direct,rf64_s16
128,3295.8,12,157,32,direct,rf64_s8_
256,4968.5,16,195,32,direct,rf64_s8_
384,5895.0,24,230,32,direct,rf64_s8_
512,6947.8,36,262,32,direct,rf64_s8_
640,7707.3,58,278,32,direct,rf64_s8_
768,8503.7,73,288,32,direct,rf64_s8_
