parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
1408,46395.1,9,134,32,direct,rf16_s2_
2048,53327.9,16,148,32,direct,rf16_s2_
128,12833.9,5,20,32,direct,rf16_s2_
2688,56488.8,23,169,32,direct,rf16_s2_
3328,59470.5,29,188,32,direct,rf16_s2_
768,35817.5,5,118,32,direct,rf16_s2_
1408,11722.0,111,290,32,direct,rf2_s16_
2048,14397.7,134,298,32,direct,rf2_s16_
128,4643.4,7,143,32,direct,rf2_s16_
2688,15530.1,164,350,32,direct,rf2_s16_
3328,16130.7,196,404,32,direct,rf2_s16_
768,8166.6,69,250,32,direct,rf2_s16_
1408,137071.8,6,23,32,direct,rf32_s1_
2048,131571.9,11,38,32,direct,rf32_s1_
128,45803.5,1,4,32,direct,rf32_s1_
2688,127899.3,15,53,32,direct,rf32_s1_
3328,125409.4,19,70,32,direct,rf32_s1_
768,142203.2,3,10,32,direct,rf32_s1_
1408,12917.3,95,269,32,direct,rf4_s16_
2048,13597.7,137,331,32,direct,rf4_s16_
128,3573.8,11,187,32,direct,rf4_s16_
2688,15015.6,170,379,32,direct,rf4_s16_
3328,15818.5,200,422,32,direct,rf4_s16_
768,8482.8,50,289,32,direct,rf4_s16_
