parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
1408,88606.0,13,140,32,direct,rf16_s1_
1664,83264.8,16,151,32,direct,rf16_s1_
1920,78796.8,20,164,32,direct,rf16_s1_
2176,83702.8,24,173,32,direct,rf16_s1_
2432,86910.8,27,183,32,direct,rf16_s1_
128,30277.8,2,12,32,direct,rf16_s1_
2688,88035.6,31,195,32,direct,rf16_s1_
2944,94394.5,36,202,32,direct,rf16_s1_
384,88125.6,2,60,32,direct,rf16_s1_
640,114627.2,4,100,32,direct,rf16_s1_
896,105189.8,7,119,32,direct,rf16_s1_
1152,92668.5,10,130,32,direct,rf16_s1_
1408,21602.0,44,260,32,direct,rf4_s4__
1664,22867.7,57,282,32,direct,rf4_s4__
1920,23632.3,69,303,32,direct,rf4_s4__
2176,24114.0,81,328,32,direct,rf4_s4__
2432,24083.6,97,348,32,direct,rf4_s4__
128,6420.1,7,111,32,direct,rf4_s4__
2688,24460.5,110,369,32,direct,rf4_s4__
2944,24729.9,123,382,32,direct,rf4_s4__
384,14876.8,11,155,32,direct,rf4_s4__
640,17981.1,14,175,32,direct,rf4_s4__
896,19684.4,23,208,32,direct,rf4_s4__
1152,20937.3,32,233,32,direct,rf4_s4__
1408,148288.1,7,23,32,direct,rf64_s1_
1664,144911.7,8,29,32,direct,rf64_s1_
1920,143620.1,10,34,32,direct,rf64_s1_
2176,141215.2,12,41,32,direct,rf64_s1_
2432,139550.8,13,47,32,direct,rf64_s1_
128,52562.9,1,4,32,direct,rf64_s1_
2688,139057.4,15,53,32,direct,rf64_s1_
2944,138219.0,17,60,32,direct,rf64_s1_
384,120742.4,1,5,32,direct,rf64_s1_
640,155511.3,2,8,32,direct,rf64_s1_
896,155121.8,3,13,32,direct,rf64_s1_
1152,152223.4,5,18,32,direct,rf64_s1_
1408,34560.2,14,189,32,direct,rf64_s2_
1664,36966.5,16,203,32,direct,rf64_s2_
1920,36709.0,21,210,32,direct,rf64_s2_
2176,38877.1,23,230,32,direct,rf64_s2_
2432,40202.4,29,240,32,direct,rf64_s2_
128,6805.4,8,91,32,direct,rf64_s2_
2688,42077.8,35,241,32,direct,rf64_s2_
2944,43893.4,38,249,32,direct,rf64_s2_
384,20653.9,6,111,32,direct,rf64_s2_
640,26036.7,7,136,32,direct,rf64_s2_
896,30128.9,9,156,32,direct,rf64_s2_
1152,31921.7,11,175,32,direct,rf64_s2_
