parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
128,31598.8,1,8,32,solrj,rf16_s1_
256,44939.0,2,12,32,solrj,rf16_s1_
384,51518.2,2,25,32,solrj,rf16_s1_
512,55104.3,2,43,32,solrj,rf16_s1_
640,50070.0,2,55,32,solrj,rf16_s1_
768,49966.9,2,93,32,solrj,rf16_s1_
128,13688.7,4,26,32,solrj,rf16_s2_
256,20813.3,4,80,32,solrj,rf16_s2_
384,25393.5,4,95,32,solrj,rf16_s2_
512,28554.7,5,106,32,solrj,rf16_s2_
640,30768.5,6,114,32,solrj,rf16_s2_
768,33079.2,6,122,32,solrj,rf16_s2_
128,32598.1,1,6,32,solrj,rf64_s1_
256,43397.7,2,10,32,solrj,rf64_s1_
384,51043.0,2,20,32,solrj,rf64_s1_
512,55850.5,3,34,32,solrj,rf64_s1_
640,52491.3,3,57,32,solrj,rf64_s1_
768,49487.4,3,80,32,solrj,rf64_s1_
128,8588.2,8,80,32,solrj,rf64_s2_
256,13720.4,7,115,32,solrj,rf64_s2_
384,17146.3,7,128,32,solrj,rf64_s2_
512,19564.0,7,138,32,solrj,rf64_s2_
640,21077.5,8,154,32,solrj,rf64_s2_
768,22676.4,8,168,32,solrj,rf64_s2_
