parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
128,2948.4,15,166,32,solrj,rf32_s16
256,3882.3,28,221,32,solrj,rf32_s16
384,4783.3,56,265,32,solrj,rf32_s16
512,5319.7,92,291,32,solrj,rf32_s16
640,5911.0,108,314,32,solrj,rf32_s16
768,6246.0,124,346,32,solrj,rf32_s16
128,8315.6,6,101,32,solrj,rf32_s4_
256,11764.9,6,126,32,solrj,rf32_s4_
384,13832.7,7,145,32,solrj,rf32_s4_
512,15923.2,8,160,32,solrj,rf32_s4_
640,16778.3,9,179,32,solrj,rf32_s4_
768,17717.2,10,199,32,solrj,rf32_s4_
128,5336.2,9,132,32,solrj,rf32_s8_
256,7142.5,11,159,32,solrj,rf32_s8_
384,8126.5,14,192,32,solrj,rf32_s8_
512,8993.5,18,224,32,solrj,rf32_s8_
640,9592.4,28,252,32,solrj,rf32_s8_
768,10215.4,40,277,32,solrj,rf32_s8_
128,1866.1,25,227,32,solrj,rf64_s16
256,2622.4,67,302,32,solrj,rf64_s16
384,3386.8,107,330,32,solrj,rf64_s16
512,3569.7,128,453,32,solrj,rf64_s16
640,4078.0,157,430,32,solrj,rf64_s16
768,4060.6,174,735,32,solrj,rf64_s16
128,3463.3,14,162,32,solrj,rf64_s8_
256,4889.1,17,198,32,solrj,rf64_s8_
384,5738.2,26,245,32,solrj,rf64_s8_
512,6530.9,47,274,32,solrj,rf64_s8_
640,7131.9,68,298,32,solrj,rf64_s8_
768,7710.9,83,319,32,solrj,rf64_s8_
