parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
1408,41145.7,3,253,32,solrj,rf16_s1_
1664,39571.7,3,335,32,solrj,rf16_s1_
1920,39633.9,4,402,32,solrj,rf16_s1_
2176,39364.7,4,461,32,solrj,rf16_s1_
2432,38185.9,4,507,32,solrj,rf16_s1_
128,31906.2,1,6,32,solrj,rf16_s1_
2688,38228.6,4,582,32,solrj,rf16_s1_
2944,38147.2,4,645,32,solrj,rf16_s1_
384,41461.2,2,20,32,solrj,rf16_s1_
640,50383.5,2,65,32,solrj,rf16_s1_
896,45193.3,3,137,32,solrj,rf16_s1_
1152,42860.2,3,205,32,solrj,rf16_s1_
1408,12613.5,23,603,32,solrj,rf4_s4__
1664,14495.0,31,727,32,solrj,rf4_s4__
1920,10467.1,25,2195,32,solrj,rf4_s4__
2176,14936.9,56,928,32,solrj,rf4_s4__
2432,10973.9,44,2852,32,solrj,rf4_s4__
128,12446.8,4,72,32,solrj,rf4_s4__
2688,5458.5,583,2708,32,solrj,rf4_s4__
2944,9287.8,84,3099,32,solrj,rf4_s4__
384,15033.8,8,131,32,solrj,rf4_s4__
640,15946.6,11,178,32,solrj,rf4_s4__
896,17843.3,14,218,32,solrj,rf4_s4__
1152,13107.5,14,532,32,solrj,rf4_s4__
1408,38105.8,3,271,32,solrj,rf64_s1_
1664,37642.3,4,323,32,solrj,rf64_s1_
1920,37243.1,4,399,32,solrj,rf64_s1_
2176,37024.3,4,458,32,solrj,rf64_s1_
2432,36778.4,4,515,32,solrj,rf64_s1_
128,32356.0,1,6,32,solrj,rf64_s1_
2688,36792.1,4,573,32,solrj,rf64_s1_
2944,36519.3,4,638,32,solrj,rf64_s1_
384,46579.5,2,14,32,solrj,rf64_s1_
640,49733.1,2,36,32,solrj,rf64_s1_
896,43744.3,3,131,32,solrj,rf64_s1_
1152,39603.3,3,205,32,solrj,rf64_s1_
1408,27307.3,15,221,32,solrj,rf64_s2_
1664,25389.3,17,257,32,solrj,rf64_s2_
1920,29303.5,26,262,32,solrj,rf64_s2_
2176,27144.2,24,328,32,solrj,rf64_s2_
2432,30714.3,40,297,32,solrj,rf64_s2_
128,8798.5,7,75,32,solrj,rf64_s2_
2688,30708.5,50,319,32,solrj,rf64_s2_
2944,22027.5,36,1493,32,solrj,rf64_s2_
384,17463.3,7,126,32,solrj,rf64_s2_
640,21146.7,7,157,32,solrj,rf64_s2_
896,22265.6,9,188,32,solrj,rf64_s2_
1152,25625.2,11,208,32,solrj,rf64_s2_
