parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
16,1834.4,5,10,4,direct,rf4_s16_
32,1866.7,11,44,4,direct,rf4_s16_
48,1867.1,17,120,4,direct,rf4_s16_
64,1950.5,23,126,4,direct,rf4_s16_
80,1936.8,29,137,4,direct,rf4_s16_
96,1879.0,36,149,4,direct,rf4_s16_
16,1870.3,4,18,4,direct,rf4_s4__
32,4559.2,4,9,4,direct,rf4_s4__
48,4749.0,6,17,4,direct,rf4_s4__
64,4920.0,8,25,4,direct,rf4_s4__
80,4782.6,11,80,4,direct,rf4_s4__
96,4714.1,13,94,4,direct,rf4_s4__
16,2250.8,4,9,4,direct,rf4_s8__
32,2698.0,7,17,4,direct,rf4_s8__
48,2916.4,10,62,4,direct,rf4_s8__
64,2888.6,14,106,4,direct,rf4_s8__
80,3262.1,18,106,4,direct,rf4_s8__
96,3018.8,22,121,4,direct,rf4_s8__
16,1406.2,6,12,4,direct,rf8_s16_
32,1411.4,12,158,4,direct,rf8_s16_
48,1462.8,19,161,4,direct,rf8_s16_
64,1501.0,27,165,4,direct,rf8_s16_
80,1519.2,34,176,4,direct,rf8_s16_
96,1533.3,42,191,4,direct,rf8_s16_
16,2117.4,4,8,4,direct,rf8_s8__
32,2481.2,7,17,4,direct,rf8_s8__
48,2573.0,11,105,4,direct,rf8_s8__
64,2681.5,15,125,4,direct,rf8_s8__
80,2654.3,20,128,4,direct,rf8_s8__
96,2726.8,24,131,4,direct,rf8_s8__
