parallel_requests,QPS,median_lat,tail_lat,clustersize,query,rfshards
176,1694.1,71,238,4,direct,rf2_s16_
256,2097.3,105,299,4,direct,rf2_s16_
16,1637.7,5,14,4,direct,rf2_s16_
336,2067.9,144,386,4,direct,rf2_s16_
416,2220.8,177,408,4,direct,rf2_s16_
96,1657.1,36,214,4,direct,rf2_s16_
176,6998.0,16,109,4,direct,rf2_s2__
256,7784.2,23,110,4,direct,rf2_s2__
16,2788.2,4,7,4,direct,rf2_s2__
336,8209.3,29,128,4,direct,rf2_s2__
416,8553.3,36,142,4,direct,rf2_s2__
96,6862.4,8,33,4,direct,rf2_s2__
176,1746.8,78,242,4,direct,rf4_s16_
256,1936.2,106,330,4,direct,rf4_s16_
16,1323.3,6,27,4,direct,rf4_s16_
336,1872.8,156,450,4,direct,rf4_s16_
416,1972.9,188,507,4,direct,rf4_s16_
96,1747.5,40,170,4,direct,rf4_s16_
176,26399.8,5,11,4,direct,rf4_s1__
256,26412.7,7,17,4,direct,rf4_s1__
16,6157.2,1,3,4,direct,rf4_s1__
336,26432.9,10,24,4,direct,rf4_s1__
416,26927.6,13,31,4,direct,rf4_s1__
96,25396.4,2,5,4,direct,rf4_s1__
